Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
-40.499	0.000386836
-39.999	0.00038171
-39.499	0.000380637
-38.999	0.000382187
-38.4993	0.000377776
-37.999	0.000382425
-37.499	0.00038171
-36.999	0.000384809
-36.499	0.000385763
-35.999	0.000385167
-35.499	0.000386836
-34.999	0.000385525
-34.499	0.000389339
-33.999	0.00038922
-33.499	0.000390889
-32.999	0.000392916
-32.4991	0.0003953
-32.0002	0.000397803
-31.4991	0.000397565
-30.9991	0.000399353
-30.4991	0.000401022
-29.9991	0.000403525
-29.4991	0.000404956
-28.9991	0.000406506
-28.4991	0.000412228
-27.9991	0.000409128
-27.4991	0.000412585
-26.9991	0.00041795
-26.4991	0.000418069
-25.9991	0.000419857
-25.4991	0.000420572
-24.9991	0.000423195
-24.4991	0.000427486
-23.9991	0.000427963
-23.4991	0.000432732
-22.9991	0.000432136
-22.4991	0.000434401
-22.0003	0.000435116
-21.4991	0.000439884
-20.9991	0.000443341
-20.4991	0.000444891
-19.9991	0.00044656
-19.4992	0.000445487
-18.9992	0.000452759
-18.4992	0.000450971
-17.9992	0.000452997
-17.4992	0.000456335
-16.9992	0.000457527
-16.4992	0.000459792
-15.9992	0.000462892
-15.4992	0.000465514
-14.9992	0.000470879
-14.4992	0.000469329
-13.9992	0.000472547
-13.4992	0.000475647
-12.9992	0.000478985
-12.4992	0.000482203
-12.0003	0.000485064
-11.4992	0.000488285
-10.9992	0.000491265
-10.4992	0.000493769
-9.99924	0.000497583
-9.49924	0.00050116
-8.99924	0.000504497
-8.49942	0.000505332
-7.99924	0.000507955
-7.49924	0.000510696
-6.99925	0.000514273
-6.49926	0.000518922
-5.99926	0.000521664
-5.49927	0.000525836
-4.99928	0.000529651
-4.49927	0.000530127
-3.99928	0.000530247
-3.49928	0.000535134
-2.99929	0.000534657
-2.49929	0.000539545
-2.00086	0.000539783
-1.4993	0.000540022
-0.999298	0.000540856
-0.499298	0.000540379
0.000694275	0.000541333
0.500694	0.000542048
1.00069	0.000541095
1.50046	0.000540618
2.00068	0.000539068
2.50067	0.000540618
3.00067	0.000539783
3.50067	0.00054336
4.00066	0.000542287
4.50066	0.000542644
5.00066	0.000545148
5.50065	0.00054789
6.00064	0.000549082
6.50064	0.000549559
7.00064	0.000547532
7.50063	0.000546698
7.99953	0.000550393
8.50063	0.000548128
9.00063	0.000548247
9.50062	0.00054789
10.0006	0.000548009
10.5006	0.000545029
11.0006	0.000549082
11.5006	0.000550035
12.0006	0.000550035
12.5006	0.000549559
13.0006	0.000546698
13.5005	0.000551943
14.0006	0.000552896
14.5006	0.000551943
15.0006	0.000552181
15.5006	0.000554327
16.0006	0.000556711
16.5006	0.00055695
17.0006	0.000560764
17.5006	0.000561479
18.0005	0.000564341
18.5005	0.000565533
19.0005	0.000565294
19.5005	0.000565294
20	0.00056744
20.5005	0.000567917
21.0005	0.000568155
21.5005	0.000570063
22.0005	0.000570778
22.5005	0.000575069
23.0005	0.000574593
23.5005	0.00057793
24.0005	0.000576977
24.5005	0.00058103
25.0005	0.000582937
25.5005	0.000586752
26.0005	0.000592235
26.5005	0.000593428
27.0005	0.00059462
27.5005	0.000592474
28.0005	0.000599388
28.5005	0.000603918
29.0005	0.000612263
29.5005	0.0006187
29.9993	0.000624899
30.5005	0.00062919
31.0005	0.000636104
31.5005	0.000637058
32.0004	0.000636581
32.5004	0.000634674
33.0004	0.000637773
33.5002	0.000639681
34.0004	0.000642065
34.5004	0.000651363
35.0004	0.00065041
35.5004	0.000659946
36.0004	0.000661854
36.5004	0.000670437
37.0004	0.000673775
37.5004	0.000682596
38.0004	0.000688557
38.5004	0.000697378
39.0004	0.000705484
39.5004	0.000713591
40.0004	0.000724558
40.5004	0.000729565
41.0004	0.000739578
41.5004	0.0007484
42.0004	0.000763182
42.5004	0.000776056
43.0004	0.000785593
43.5003	0.000802282
44.0004	0.000817779
44.5003	0.000828747
45.0003	0.000844244
45.5003	0.000859741
46.0003	0.000874761
46.5003	0.000890497
47.0003	0.000907902
47.5003	0.000926737
48.0003	0.00095344
48.5003	0.000977762
49.0003	0.000998981
49.5003	0.00102831
49.9991	0.0010562
50.5003	0.00108648
51.0003	0.00112463
51.5003	0.00116158
52.0003	0.00120188
52.5003	0.00124908
53.0003	0.00129104
53.5002	0.00134421
54.0003	0.0013919
54.5003	0.00144697
55.0003	0.00150538
55.5003	0.00157047
56.0003	0.00163914
56.5003	0.00172091
57.0002	0.00179792
57.5002	0.00188733
58.0002	0.00198676
58.5002	0.00209571
59.0002	0.00221731
59.5002	0.00234605
59.9996	0.00248171
60.5002	0.00263382
61.0002	0.00280549
61.5002	0.00299884
62.0002	0.00320841
62.5002	0.00345208
63.0002	0.00372387
63.5	0.00402263
64.0002	0.00434831
64.5002	0.00469401
65.0002	0.00506023
65.5002	0.00546649
66.0002	0.00595477
66.5002	0.00655368
67.0002	0.00721934
67.5002	0.00790411
68.0002	0.00870138
68.5002	0.00954252
69.0002	0.0104218
69.5002	0.0114575
69.9986	0.0127164
70.5001	0.0140744
71.0001	0.0155774
71.5001	0.017296
72.0001	0.0191327
72.5001	0.0209676
73.0001	0.022915
73.4999	0.0249025
74.0001	0.0267507
74.5001	0.0282022
75.0001	0.0297357
75.5001	0.0310308
76.0001	0.0320342
76.5001	0.0323622
77.0001	0.032366
77.5001	0.0322535
78.0001	0.0319788
78.5001	0.0315001
79.0001	0.0306989
79.5001	0.0297109
79.999	0.0287801
80.5001	0.0274831
81.0001	0.0260907
81.5001	0.0248033
82.0001	0.0235063
82.5001	0.0221616
83	0.020857
83.4996	0.0196267
84	0.0184594
84.5	0.0174714
85	0.0163156
85.5	0.0152894
86	0.014103
86.5	0.0131493
87	0.0120507
87.5	0.0111046
88	0.0100766
88.5	0.00914675
89	0.00783592
89.5	0.00637153
90	0.00493911
-40.499	0.000727896
-39.999	0.000724081
-39.499	0.000722889
-38.999	0.000721935
-38.499	0.000721458
-37.999	0.000720266
-37.499	0.000722889
-36.999	0.00072575
-36.499	0.00072718
-35.9998	0.000727896
-35.499	0.000727896
-34.999	0.00073028
-34.499	0.000730041
-33.999	0.000732664
-33.499	0.000735525
-32.999	0.000740055
-32.4996	0.000738624
-31.9991	0.000745777
-31.4991	0.000749115
-30.9991	0.00075293
-30.4991	0.000753406
-29.9991	0.000756744
-29.4991	0.000758652
-28.9991	0.000766281
-28.4991	0.000767235
-27.9991	0.00076795
-27.4991	0.000776771
-26.9991	0.000778679
-26.4991	0.000780348
-26.0002	0.000784162
-25.4991	0.000791077
-24.9991	0.000791553
-24.4991	0.000798944
-23.9991	0.000803236
-23.4991	0.000807289
-22.9991	0.000811581
-22.4993	0.000813726
-21.9991	0.000814442
-21.4991	0.000823501
-20.9991	0.000825647
-20.4991	0.000833038
-19.9991	0.000831608
-19.4992	0.000835899
-18.9992	0.000840668
-18.4992	0.000844721
-17.9992	0.000848774
-17.4992	0.000853065
-16.9992	0.000854734
-16.4992	0.000858549
-16.0003	0.000865225
-15.4992	0.000869278
-14.9992	0.000871424
-14.4992	0.000878576
-13.9992	0.000880484
-13.4992	0.000885252
-12.9992	0.000890974
-12.4997	0.000899319
-11.9992	0.000904564
-11.4992	0.000909571
-10.9992	0.000918154
-10.4992	0.000920776
-9.99924	0.000929121
-9.49924	0.000933889
-8.99924	0.000941757
-8.49924	0.000946764
-7.99924	0.000953916
-7.49924	0.00096393
-6.99925	0.000971083
-6.49926	0.000980385
-5.9998	0.000987299
-5.49927	0.000996359
-4.99927	0.000998743
-4.49927	0.00100709
-3.99928	0.00100876
-3.49928	0.00101066
-2.99929	0.001014
-2.49974	0.0010171
-1.99929	0.00101972
-1.4993	0.00101996
