Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
-40.499	0.000220538
-39.9993	0.000217141
-39.499	0.000214697
-38.999	0.000214339
-38.499	0.000213207
-37.999	0.000211478
-37.499	0.000210882
-36.999	0.000211776
-36.499	0.000208975
-35.999	0.000211001
-35.499	0.000211001
-34.999	0.000207365
-34.499	0.000206233
-33.999	0.000207246
-33.4995	0.00020671
-32.999	0.000209094
-32.4991	0.000207544
-31.9991	0.000208081
-31.4991	0.00020969
-30.9991	0.00020814
-30.4991	0.000206829
-29.9991	0.000213088
-29.4991	0.000212909
-28.9991	0.000211776
-28.4991	0.00021577
-27.9991	0.000218333
-27.4991	0.000218035
-26.9991	0.000221015
-26.4991	0.000225903
-25.9991	0.000227214
-25.4991	0.000230611
-24.9991	0.000231684
-24.4991	0.00023234
-23.9991	0.000240506
-23.4991	0.000246109
-22.9991	0.000250103
-22.4991	0.000255646
-21.9991	0.000258388
-21.4991	0.000266375
-20.9991	0.00027472
-20.4991	0.000283243
-19.9992	0.000284733
-19.4992	0.000290157
-18.9992	0.000290873
-18.4992	0.000291111
-17.9992	0.000291111
-17.4992	0.000292005
-16.9992	0.000293197
-16.4992	0.000294151
-15.9992	0.000291349
-15.4992	0.00029278
-14.9992	0.00028968
-14.4994	0.000286939
-13.9992	0.000284376
-13.4992	0.000278058
-12.9992	0.000275197
-12.4992	0.000272037
-11.9992	0.000268998
-11.4993	0.000269951
-10.9992	0.000268461
-10.4992	0.000264348
-9.99923	0.00026268
-9.49923	0.000259163
-8.99923	0.000257911
-8.49924	0.000254454
-7.99924	0.000253798
-7.49925	0.000251355
-6.99925	0.000246765
-6.49925	0.000247719
-5.99926	0.000247361
-5.49949	0.000244082
-4.99926	0.000244202
-4.49927	0.000240088
-3.99927	0.000239194
-3.49927	0.000238539
-2.99928	0.0002383
-2.49928	0.000234903
-1.99929	0.000239075
-1.49929	0.000236393
-0.99929	0.000234724
-0.499298	0.000234605
0.000701904	0.000234366
0.500694	0.000230373
1.00069	0.000234605
1.50068	0.000235141
2.00068	0.000232757
2.50068	0.000233294
3.00067	0.000231505
3.50067	0.00023383
4.00067	0.000235797
4.50066	0.000232936
5.00047	0.000236393
5.50065	0.000235201
6.00065	0.000237287
6.50065	0.000236631
7.00064	0.000239433
7.50064	0.000239135
8.00064	0.000240088
8.50063	0.000239016
9.00063	0.000240744
9.50062	0.000240386
10.0006	0.000240506
10.5006	0.000243844
11.0006	0.000245275
11.5006	0.000243546
12.0006	0.000245931
12.5006	0.000248017
13.0006	0.000244858
13.5006	0.000255587
14.0006	0.000267627
14.5006	0.000269832
15.0006	0.000275912
15.5006	0.000275793
16.0006	0.000274839
16.5006	0.000270369
17.0006	0.00026113
17.5006	0.000256242
18.0006	0.00025654
18.5005	0.000257136
19.0005	0.000257732
19.5005	0.000260474
20.0005	0.000263574
20.5	0.000266375
21.0005	0.000272335
21.5005	0.000275375
22.0005	0.000276567
22.5005	0.000282587
23.0005	0.000284137
23.5005	0.00028831
24.0005	0.000287475
24.5005	0.000292124
25.0005	0.000293674
25.5005	0.000296773
26.0005	0.000301959
26.5005	0.000301125
26.9992	0.000306906
27.5005	0.000304999
28.0005	0.000309648
28.5005	0.000312092
29.0005	0.000315847
29.5005	0.000323238
30.0005	0.00032437
30.5002	0.000330867
31.0005	0.00033796
31.5005	0.000340821
32.0005	0.000349225
32.5004	0.000352921
33.0004	0.000363173
33.5004	0.000369908
34.0004	0.000374259
34.5004	0.000386002
35.0004	0.000394167
35.5004	0.00040883
36.0004	0.000415446
36.5004	0.000428202
36.9992	0.000436129
37.5004	0.000453057
38.0004	0.000459792
38.5004	0.000477614
39.0004	0.000493411
39.5004	0.000509027
40.0004	0.000523511
40.5002	0.000543181
41.0004	0.000567023
41.5004	0.000585023
42.0004	0.000615839
42.5004	0.000638966
43.0004	0.000670437
43.5004	0.000705961
44.0004	0.000741009
44.5004	0.000779156
45.0003	0.000818018
45.5003	0.000861887
46.0003	0.000909571
46.5003	0.000968222
47.0003	0.00103045
47.5003	0.00109888
48.0003	0.00117589
48.5003	0.00125623
49.0003	0.00135184
49.5003	0.00145674
50.0003	0.00157238
50.5003	0.00169397
51.0003	0.00183702
51.5003	0.00200845
