Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
-35.4991	0.00029269
-34.9998	0.000295999
-34.4997	0.000295373
-33.9991	0.000293793
-33.4991	0.000294538
-32.9991	0.000298144
-32.4991	0.000302227
-31.9991	0.000307204
-31.4991	0.000309529
-30.9991	0.000310155
-30.4991	0.000306489
-29.9995	0.000311347
-29.4991	0.000314625
-28.9991	0.000315638
-28.4991	0.000317695
-27.9991	0.000314506
-27.4991	0.000310423
-26.9991	0.000313105
-26.4991	0.000319691
-25.9991	0.000327291
-25.4991	0.000331732
-24.9991	0.000336172
-24.4991	0.000341626
-23.9992	0.000341268
-23.4992	0.000344338
-22.9992	0.000334444
-22.4992	0.00033042
-21.9992	0.000328513
-21.4992	0.000331791
-20.9992	0.000333609
-20.4992	0.00033501
-19.9992	0.000339242
-19.4992	0.000340762
-18.9992	0.000346156
-18.4992	0.000347825
-17.9992	0.000349255
-17.4992	0.000357242
-16.9992	0.000359597
-16.4992	0.000367166
-15.9992	0.000366392
-15.4992	0.000369133
-14.9992	0.000364574
-14.4992	0.000361802
-13.9992	0.000362994
-13.4992	0.000367464
-12.9993	0.000373365
-12.4993	0.000371905
-11.9993	0.000375153
-11.4993	0.000376048
-10.9993	0.000383856
-10.4993	0.000385137
-9.99927	0.000385584
-9.49927	0.000385733
-8.99928	0.000388267
-8.49928	0.000399651
-7.99928	0.000405373
-7.49928	0.000410439
-6.99929	0.000412764
-6.4993	0.000421705
-5.99931	0.00042689
-5.49931	0.000432732
-4.99931	0.000438156
-4.49931	0.000451567
-3.99931	0.000461103
-3.49931	0.000465693
-2.99932	0.000470581
-2.49932	0.000474097
-1.99934	0.000475409
-1.49934	0.000484886
-0.999336	0.000486018
-0.499344	0.000483992
0.000656128	0.000482203
0.500656	0.000484349
1.00065	0.000493113
1.50065	0.000508312
2.00063	0.000533763
2.50063	0.000557367
3.00063	0.000563804
3.50063	0.000556592
4.00063	0.000535313
4.50062	0.000532452
5.00062	0.000545625
5.50062	0.000567023
6.0006	0.000572626
6.5006	0.000567798
7.0006	0.000556711
7.49991	0.000556592
8.0006	0.000575129
8.50059	0.000580076
9.00059	0.000580017
9.50059	0.000582103
10.0006	0.000584487
10.5006	0.000590507
11.0006	0.000589255
11.5006	0.00059605
12.0006	0.000609521
12.5006	0.000621501
13.0006	0.000635628
13.5005	0.000653569
14.0005	0.000667278
14.5005	0.000679914
15.0005	0.000700299
15.5005	0.000714306
16.0005	0.00071663
16.5005	0.000720982
17.0005	0.000731055
17.5005	0.000737909
18.0005	0.000743572
18.5005	0.000758234
19.0005	0.000779871
19.5005	0.000791911
20.0005	0.00079966
20.5005	0.000815991
21.0005	0.000812177
21.5005	0.000814799
22.0005	0.000823501
22.5005	0.000836972
23.0005	0.000842217
23.5005	0.000850443
24.0005	0.000854377
24.5005	0.000868086
25.0005	0.000888471
25.5005	0.000916604
26.0005	0.000926498
26.5005	0.000931744
27.0004	0.000941161
27.5004	0.000967626
28.0004	0.000971798
28.5004	0.000980146
29.0004	0.000997789
29.5004	0.00101329
30.0004	0.00103272
30.5004	0.00104857
31.0004	0.00106812
31.5004	0.00108016
32.0004	0.00111521
32.5004	0.00114752
33.0004	0.00119496
33.5004	0.00121761
34.0004	0.00125075
34.5004	0.00125576
35.0004	0.00125945
35.5004	0.00127304
36.0004	0.00130177
36.5004	0.00133813
37.0004	0.00138689
37.5004	0.00143195
38.0004	0.00144888
38.5004	0.00146104
39.0004	0.00149132
39.5004	0.00152303
40.0003	0.00154854
40.5003	0.00155259
41.0003	0.00154675
41.5003	0.00156165
42.0003	0.00156749
42.5003	0.00158561
43.0003	0.00160933
43.5003	0.0016234
44.0002	0.00164295
44.5003	0.00167228
45.0003	0.00175501
45.5003	0.00181723
46.0003	0.00188733
46.5003	0.00195146
47.0003	0.00200082
47.5003	0.00202419
48.0003	0.00204112
48.5003	0.00204684
49.0003	0.00208308
49.5003	0.00215484
50.0003	0.00223233
50.5003	0.00227715
51.0003	0.00233389
51.5003	0.00239111
52.0003	0.002414
52.5002	0.0024078
52.9982	0.00237085
53.4987	0.0024171
54.0002	0.00248648
54.5002	0.00251462
55.0002	0.00252678
55.5002	0.00255801
56.0002	0.00263025
56.5002	0.0027125
57.0002	0.00269581
57.5002	0.00265695
58.0002	0.00265361
58.5002	0.0026734
59.0002	0.00268723
59.5002	0.00265147
60.0002	0.00265051
60.5002	0.00267769
61.0002	0.00273277
61.5002	0.00275399
62.0002	0.00272347
62.5002	0.00269963
63.0002	0.00265361
63.5002	0.0026529
64.0002	0.0026715
64.5002	0.0027125
65.0001	0.00273062
65.5001	0.00276591
66.0001	0.00275733
66.5001	0.00271083
67.0001	0.00277831
67.5001	0.00284316
68.0001	0.00284387
68.5001	0.00284769
69.0001	0.00285102
69.4998	0.00285102
70.0001	0.00279404
70.5001	0.00275327
71.0001	0.00272061
71.5001	0.00266363
72.0001	0.00265934
72.5001	0.00264217
73.0001	0.00267912
73.5001	0.00270464
74.0001	0.00270058
74.5	0.00272156
75.0001	0.00277521
75.5001	0.00285365
76.0001	0.00293066
76.5001	0.00291373
77.0001	0.00288154
77.5	0.00281622
78	0.00270011
78.5	0.00260331
79	0.00250818
79.5	0.00218429
80	0.00218429
80.5	0.0024965
81	0.00248314
81.5	0.00244667
82	0.00218429
82.5	0.00218429
83	0.00218429
83.5	0.00211217
84	0.00204982
84.5	0.00198294
85	0.00192929
85	0.00191773
-20.4992	0.000456752
-19.9992	0.000465812
-19.4992	0.000474514
-18.9992	0.000477018
-18.4992	0.000477256
-17.9992	0.000485661
-17.4992	0.000493351
-16.9992	0.000493232
-16.4992	0.000494424
-15.9992	0.000503901
-15.4992	0.000514273
-14.9992	0.000518087
-14.4992	0.000516478
-13.9992	0.000510994
-13.4992	0.000518028
-12.9992	0.000530425
-12.4992	0.000553671
-11.9992	0.000575129
-11.4993	0.00058401
-10.9993	0.000593308
-10.4993	0.000586275
-9.99925	0.000579182
-9.49925	0.000582937
-8.99927	0.000592116
-8.49927	0.000605945
-7.99928	0.000608388
-7.49928	0.000610713
-6.99928	0.000605766
-6.49928	0.00061113
-5.99928	0.000617806
-5.49928	0.000630502
-4.9993	0.000636462
-4.4993	0.000640038
-3.99931	0.000649754
-3.49931	0.000651423
-2.99931	0.000664119
-2.49931	0.000682775
-1.99931	0.000688259
-1.49931	0.000698689
-0.999329	0.000714604
-0.499329	0.000731472
0.000656128	0.000740472
0.500656	0.000753287
1.00066	0.000759844
1.50066	0.000758711
2.00066	0.00075293
2.50064	0.000748459
3.00064	0.000753585
3.50063	0.000770334
4.00063	0.000780944
4.50063	0.000791077
5.00063	0.000805859
5.50063	0.00081015
6.00063	0.000814561
6.50061	0.00082982
7.00061	0.000842635
7.5006	0.000863437
8.0006	0.000881556
8.5006	0.00089455
9.0006	0.000904087
9.50059	0.0009051
10.0006	0.000910465
10.5006	0.000927869
11.0006	0.000955228
11.5006	0.000971917
12.0006	0.000980385
12.5006	0.000984438
13.0006	0.000978239
13.5006	0.000979908
14.0006	0.000998743
14.5006	0.00101615
15.0005	0.00103832
15.4996	0.00105692
15.9996	0.00107933
16.4993	0.00109554
16.9994	0.00109816
17.5005	0.00110174
18.0005	0.00111008
18.5005	0.00113941
19.0005	0.00117231
19.5005	0.00119162
20.0005	0.00120259
20.5005	0.00120545
21.0005	0.00121332
21.5005	0.0012169
22.0005	0.00123573
22.5005	0.00126506
23.0005	0.00129653
23.5005	0.00132871
24.0005	0.00133301
24.5005	0.00133372
25.0005	0.00134445
25.5005	0.00136591
26.0005	0.00139237
26.5005	0.00143648
27.0005	0.00144721
27.5005	0.00144769
28.0005	0.00146127
28.5004	0.00150109
29.0004	0.00152136
29.5004	0.00155402
30.0004	0.00159288
30.5004	0.00170065
31.0004	0.00179387
31.5004	0.00184966
32.0004	0.00188566
32.5004	0.00189472
33.0004	0.00191832
33.5004	0.00189901
34.0004	0.00186516
34.5004	0.00185896
35.0004	0.00187183
35.5004	0.00193597
36.0004	0.00200678
36.5004	0.00206353
37.0004	0.002064
37.5004	0.00206353
38.0004	0.00203134
38.5004	0.00200154
39.0004	0.00197627
39.5004	0.0019486
40.0004	0.00190974
40.5004	0.00189734
41.0003	0.00192929
41.5003	0.00193883
42.0003	0.00196554
42.5003	0.00202323
43.0003	0.00207378
43.5003	0.00211336
44.0003	0.00211431
44.5003	0.0021167
45.0003	0.0021403
