Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
-40.499	0.000127465
-39.999	0.000124962
-39.499	0.000127912
-38.999	0.0001283
-38.499	0.000126631
-37.9991	0.000127167
-37.4991	0.000126989
-36.9991	0.000127376
-36.4991	0.000124694
-35.9991	0.00012374
-35.4991	0.00012833
-35.0001	0.000128807
-34.4991	0.00012833
-33.9998	0.000127436
-33.4991	0.000125677
-32.9991	0.000127018
-32.4991	0.000125409
-31.9991	0.000126631
-31.4991	0.000127853
-30.9991	0.000125379
-30.4991	0.000126959
-29.9991	0.000127495
-29.4991	0.00012985
-28.9991	0.000126095
-28.4991	0.000125797
-27.9991	0.000128568
-27.4991	0.000128777
-26.9991	0.000127376
-26.4991	0.000125975
-25.9991	0.000129432
-25.4991	0.000127346
-24.9991	0.000128598
-24.4991	0.00012824
-23.9991	0.000127495
-23.4992	0.000126452
-22.9992	0.000132264
-22.4992	0.000127614
-21.9992	0.000129552
-21.4992	0.000128509
-20.9992	0.000130833
-20.4992	0.000128687
-19.9992	0.000131072
-19.4992	0.000131191
-18.9992	0.000129045
-18.4992	0.000134827
-17.9992	0.000131668
-17.4992	0.000134618
-16.9993	0.000134231
-16.4992	0.000136585
-15.9992	0.000135721
-15.4992	0.000138194
-14.9992	0.000141324
-14.4992	0.000137181
-13.9992	0.000137598
-13.4992	0.000138135
-12.9992	0.000140966
-12.4992	0.000140519
-11.9992	0.000143887
-11.4993	0.000143082
-10.9993	0.000142814
-10.4993	0.000144632
-9.99969	0.000144006
-9.49927	0.000146003
-8.99928	0.000145079
-8.49928	0.000151218
-7.99928	0.000148297
-7.49928	0.000148655
-6.99928	0.000152321
-6.4993	0.000153244
-5.9993	0.000156404
-5.4993	0.000155271
-4.99931	0.00015697
-4.49931	0.000164927
-3.99931	0.000159205
-3.49931	0.000164003
-2.99931	0.000165672
-2.49933	0.000168444
-1.99933	0.00016904
-1.49934	0.000170887
-0.999336	0.00017655
-0.499336	0.00017658
0.000656128	0.000179709
0.500656	0.000178874
1.00066	0.000183226
1.50064	0.000185461
2.00033	0.000184239
2.50005	0.000190348
3.00024	0.000192971
3.50063	0.000194133
4.00063	0.000200004
4.50063	0.000201614
5.00063	0.000201226
5.50062	0.000202687
6.0006	0.000205965
6.5006	0.000208677
7.0006	0.000213356
7.5006	0.000218363
8.0006	0.000218571
8.5006	0.000218661
9.00059	0.0002248
9.50059	0.000225932
10.0006	0.00022775
10.5006	0.000233592
11.0006	0.000238062
11.5006	0.000243009
12.0006	0.000239314
12.5006	0.000249447
13.0006	0.000249268
13.5006	0.000255944
14.0005	0.000258269
14.5005	0.000266792
15.0005	0.000268461
15.5005	0.000275316
16.0005	0.000280442
16.4996	0.000286879
17.0005	0.000290098
17.5005	0.000296058
18.0005	0.000301542
18.5005	0.000303926
19.0005	0.000312986
19.5005	0.000322463
20.0005	0.00032592
20.5005	0.000335397
21.0005	0.000338675
21.5005	0.000345172
22.0005	0.000353159
22.5005	0.000357511
23.0005	0.00036365
23.5005	0.000375153
24.0005	0.000381174
24.5005	0.000387253
25.0005	0.000400068
25.5005	0.000407519
26.0005	0.000415327
26.5005	0.000420989
27.0005	0.000431718
27.5004	0.000437023
27.9997	0.000449421
28.4995	0.000461938
29.0004	0.000470879
29.5004	0.000485184
30.0004	0.000489477
30.5004	0.000507597
31.0004	0.000520114
31.5004	0.000531081
32.0004	0.000544433
32.5004	0.000560764
33.0004	0.000576142
33.5004	0.000590447
34.0004	0.000604991
34.5004	0.000621561
35.0004	0.000639562
35.5004	0.000660781
36.0004	0.000677709
36.5004	0.000689749
37.0004	0.000706676
37.5004	0.000723723
38.0004	0.000742916
38.5004	0.000759248
39.0004	0.000780467
39.5004	0.000801209
40.0003	0.00081623
40.5003	0.000847343
41.0003	0.000866774
41.5003	0.000889663
42.0003	0.000910524
42.5003	0.000934724
43.0003	0.00097144
43.5003	0.000996359
44.0003	0.00101794
44.5003	0.00104011
45.0003	0.00106526
45.5003	0.00108755
46.0003	0.00111736
46.5003	0.00115038
47.0003	0.0011778
47.5003	0.00119949
48.0003	0.00123382
48.5003	0.00126267
49.0003	0.00130201
49.5003	0.00132585
50.0003	0.00135494
50.5003	0.00140239
51.0003	0.00143839
51.5003	0.00147343
52.0003	0.00151468
52.5002	0.00154591
53.0002	0.00158168
53.5002	0.00162888
54.0002	0.00168467
54.5002	0.00171424
55.0002	0.00175548
55.5002	0.00179554
56.0002	0.00184155
56.5002	0.00188304
57.0002	0.00193406
57.5002	0.00197317
58.0002	0.00202586
58.5002	0.00209357
59.0002	0.00215293
59.5002	0.00219943
60.0002	0.00225665
60.5002	0.00232126
61.0002	0.0023904
61.5002	0.00245
62.0002	0.0025015
62.5002	0.00254966
63.0002	0.00261022
63.5002	0.00266506
64.0002	0.00274898
64.5002	0.0027857
65.0002	0.00285293
65.5001	0.0029278
66.0001	0.00297643
66.5001	0.00302269
67.0001	0.00309326
67.5001	0.00315382
68.0001	0.00323106
68.5001	0.00327779
69.0001	0.00334074
69.5001	0.00342371
70.0001	0.00349762
70.5001	0.00356866
71.0001	0.00364734
71.5001	0.00372459
72.0001	0.0037985
72.5001	0.00387575
73.0001	0.00395301
73.5001	0.00405219
74.0001	0.00413421
74.5001	0.00422385
75.0001	0.00431827
75.5001	0.00438502
76.0001	0.00443843
76.5001	0.004509
77.0001	0.00454238
77.5001	0.00463393
78	0.00473884
78.5	0.00483707
79	0.00500682
