Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
-0.499298	0.000176073
0.000701904	0.0001795
0.500694	0.000181616
1.00069	0.000183315
1.50068	0.000183911
2.00068	0.000186742
2.50068	0.000189454
3.00067	0.000193537
3.50067	0.000196249
4.00067	0.000199617
4.50012	0.000200928
4.9996	0.000207246
5.4995	0.000206024
6.00065	0.0002082
6.50065	0.000210227
7.00064	0.000215233
7.50064	0.000215949
8.00064	0.000221343
8.50063	0.000219972
9.00063	0.000225515
9.50062	0.000230611
10.0006	0.000231416
10.5006	0.000233711
11.0006	0.000237764
11.5006	0.000240148
12.0006	0.000243993
12.5006	0.000246199
13.0006	0.000251951
13.5006	0.000259401
14.0006	0.000259878
14.5006	0.000266315
15.0006	0.000266494
15.5006	0.000277044
16.0006	0.000284614
16.5006	0.000289025
17.0006	0.000289978
17.5006	0.000297548
18.0006	0.00030184
18.5005	0.000307323
19.0005	0.000313165
19.5005	0.000322582
20.0005	0.000324609
20.5005	0.000331642
21.0005	0.000337245
21.5005	0.000346364
22.0005	0.000354471
22.5005	0.000359239
23.0005	0.000368061
23.5005	0.000373306
24.0005	0.00038165
24.5005	0.000389339
25.0005	0.000393691
25.5005	0.000405671
26.0005	0.000415565
26.5005	0.000423433
27.0004	0.000433804
27.5005	0.00044048
28.0004	0.000453593
28.5005	0.000463964
29.0005	0.000468733
29.5005	0.000486137
30.0005	0.000494722
30.5005	0.000509743
31.0005	0.000525121
31.5005	0.000536446
32.0005	0.000543717
32.5004	0.00056291
33.0004	0.000577811
33.5004	0.00059307
34.0004	0.000605348
34.5004	0.000620846
35.0004	0.000641111
35.5004	0.000656608
35.9993	0.000680689
36.5004	0.000692014
37.0004	0.000709537
37.5004	0.000724081
38.0004	0.000744347
38.5004	0.000765566
39.0004	0.00077999
39.5004	0.000803355
40.0004	0.00082064
40.5004	0.000848297
41.0004	0.000873808
41.5004	0.000890974
42.0004	0.000910286
42.5004	0.000940565
43.0004	0.00097454
43.5004	0.000994213
44.0004	0.00102306
44.5004	0.00104476
45.0003	0.00106037
45.5003	0.00108767
46.0003	0.00111724
46.5003	0.00115371
47.0003	0.00118137
47.5003	0.0011983
48.0003	0.00123835
48.5003	0.00126816
49.0003	0.00130344
49.4999	0.00133491
50.0003	0.00136162
50.5003	0.00141168
51.0003	0.00144554
51.5003	0.00147987
52.0003	0.00151683
52.5003	0.00155521
53.0003	0.00158668
53.5003	0.00163246
54.0003	0.00168968
54.5003	0.00171996
55.0003	0.0017643
55.5003	0.00179888
56.0003	0.00184274
56.5003	0.00189067
57.0003	0.00193835
57.5003	0.00198318
58.0002	0.00202753
58.5002	0.00209214
59.0002	0.00215651
59.5002	0.00220419
59.9994	0.00226857
60.4995	0.00232889
60.9985	0.00240184
61.4979	0.00245143
62.0002	0.00251009
62.5002	0.00255682
63.0002	0.00261308
63.5002	0.00267412
64.0002	0.00275232
64.5002	0.0027919
65.0002	0.00286151
65.5002	0.00293066
66.0002	0.0029812
66.5002	0.00303032
67.0002	0.00310136
67.5002	0.00315382
68.0002	0.00324489
68.5002	0.0032859
69.0002	0.00334741
69.5002	0.00343086
70.0002	0.00350763
70.5001	0.00358059
71.0001	0.00365306
71.5001	0.00372697
72.0001	0.00381137
72.5001	0.00388147
73.0001	0.00396302
73.4994	0.00405076
73.999	0.00413373
74.4988	0.00422004
75.0001	0.0043216
75.5001	0.00439504
76.0001	0.00444701
76.5001	0.00450519
77.0001	0.00454524
77.5001	0.00463489
78.0001	0.00474647
78.5001	0.00485232
79	0.00501826
79.5	0.00510982
79.9999	0.00517944
80.5001	0.00528625
80.9995	0.00540927
81.4996	0.00549892
81.9998	0.00561622
82.4989	0.00575641
82.9992	0.00591376
83.5	0.00612739
84	0.00618079
84.5	0.00633052
85	0.006403
85.5	0.00652602
86	0.00674728
86.5	0.00696471
87	0.00714973
87.5	0.00735381
88	0.00729755
88.5	0.00677446
89	0.00565532
89.4995	0.00435165
90	0.00312187
90	0.00247385
