Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
-50.4989	0.000185729
-49.9989	0.000186504
-49.4989	0.000188948
-48.999	0.000184477
-48.499	0.000174821
-47.999	0.000173331
-47.499	0.000171364
-46.999	0.000169159
-46.499	0.000166417
-45.999	0.00016296
-45.499	0.000160576
-44.999	0.000156642
-44.499	0.000160755
-43.9996	0.000161947
-43.499	0.000164569
-43.0004	0.000164271
-42.499	0.000164867
-41.999	0.000162841
-41.499	0.000162364
-40.999	0.000165046
-40.499	0.000167132
-39.999	0.000171722
-39.499	0.000178755
-38.999	0.000180186
-38.499	0.000182212
-37.9991	0.000177146
-37.4991	0.000169457
-36.9991	0.000168503
-36.4991	0.000172199
-35.9991	0.000176908
-35.4991	0.000185789
-34.9991	0.000182391
-34.4991	0.000193478
-33.9991	0.000228644
-33.4991	0.000273647
-32.9991	0.000314536
-32.4991	0.000338675
-31.9991	0.00031841
-31.4991	0.00026268
-30.9991	0.000213982
-30.4991	0.000191332
-29.9991	0.000190199
-29.4991	0.000190378
-28.9991	0.000189484
-28.4991	0.000187934
-27.9991	0.000190617
-27.4991	0.00019008
-26.9991	0.000191213
-26.4991	0.000186504
-25.9991	0.000186087
-25.4991	0.000189663
-24.9991	0.000191809
-24.4991	0.000193001
-23.9991	0.000191809
-23.4992	0.00018704
-22.9992	0.000180007
-22.4992	0.000180186
-21.9992	0.000179888
-21.4992	0.000186265
-20.9992	0.000186623
-20.4992	0.000191153
-19.9992	0.000185967
-19.4992	0.000183285
-18.9992	0.000182749
-18.4992	0.000186444
-17.9992	0.000183285
-17.4992	0.000187994
-16.9992	0.000185908
-16.4992	0.000185371
-15.9992	0.000183822
-15.4992	0.000181974
-14.9992	0.000180067
-14.4992	0.000180424
-14	0.000183345
-13.5001	0.000186385
-12.9992	0.000184418
-12.5004	0.000193776
-12.0009	0.000190855
-11.4993	0.000193835
-10.9993	0.000191034
-10.4993	0.000189246
-10.0005	0.000190617
-9.49927	0.000193478
-8.99928	0.000192941
-8.49928	0.000192345
-7.99928	0.000191272
-7.49928	0.000189603
-6.99928	0.000195683
-6.4993	0.0001992
-5.9993	0.000202836
-5.4993	0.000206948
-4.99931	0.000211419
-4.49931	0.000213862
-3.99931	0.000211299
-3.49931	0.000215174
-2.99931	0.000219227
-2.49933	0.000226677
-1.99933	0.0002293
-1.49934	0.000230611
-0.999336	0.000234307
-0.499336	0.000234724
0.000656128	0.000234128
0.500656	0.000236333
1.00066	0.000237585
1.50064	0.000241877
2.00064	0.000246944
2.50063	0.000246825
3.00063	0.000248017
3.50063	0.000250997
4.00063	0.000252547
4.50063	0.000252368
5.00063	0.000254096
5.50062	0.000260355
6.0006	0.000262739
6.5006	0.000267806
7.0006	0.00027168
7.5006	0.000271024
8.0006	0.000276269
8.5006	0.000280382
9.00059	0.000284197
9.50059	0.000286581
10.0006	0.000291111
10.5006	0.000294449
11.0006	0.000296833
11.5006	0.000305356
12.0006	0.000308098
12.5006	0.000303866
13.0006	0.00031078
13.5006	0.000313642
14.0005	0.000322403
14.5005	0.000329198
15.0005	0.000336589
15.5005	0.000346364
16.0005	0.000349345
16.5005	0.000352861
17.0005	0.000354053
17.5005	0.000359537
18.0005	0.00036657
18.5005	0.000370504
19.0005	0.000377776
19.5005	0.000389041
20.0005	0.000393512
20.5005	0.000405433
21.0005	0.000414195
21.5005	0.000417592
22.0005	0.000426592
22.5005	0.000432612
23.0005	0.00043595
23.5005	0.000446739
24.0005	0.000458064
24.5005	0.000474991
25.0005	0.000482859
25.5005	0.000489656
26.0005	0.000504736
26.5005	0.000515882
27.0005	0.000520412
27.5004	0.000531916
28.0004	0.000542585
28.5004	0.000548247
29.0004	0.000559811
29.5004	0.000575069
30.0004	0.000586752
30.5004	0.00059915
31.0004	0.000621323
31.5004	0.000635628
32.0004	0.00065494
32.5004	0.000667576
33.0004	0.000681642
33.5004	0.00068951
34.0004	0.0007031
34.5004	0.000723127
35.0004	0.000739578
35.5004	0.00075746
36.0004	0.00077844
36.5004	0.000792984
37.0003	0.000813726
37.5003	0.000838999
38.0004	0.000857595
38.5004	0.000874761
39.0004	0.000904564
39.5004	0.000925545
40.0003	0.000942949
40.5003	0.000972752
41.0003	0.000998981
41.5003	0.00101543
42.0003	0.00103546
42.5003	0.0010562
43.0003	0.00108457
43.5003	0.00111652
44.0003	0.00115062
44.5003	0.0011797
45.0003	0.00122166
45.5003	0.00125242
46.0003	0.00132275
46.5003	0.00137282
47.0003	0.0014062
47.5003	0.00145341
48.0003	0.00148989
48.5003	0.00153709
49.0003	0.0015812
49.5003	0.00161339
50.0003	0.00165177
50.5003	0.00169087
51.0003	0.00173856
51.5003	0.00176764
52.0003	0.00181008
52.5002	0.00183488
53.0002	0.00189448
53.5002	0.00192786
54.0002	0.00192118
54.5002	0.00196077
55.0002	0.00200321
55.5002	0.0020795
56.0002	0.00214435
56.5002	0.00218917
57.0002	0.0022216
57.5002	0.00227453
58.0002	0.00234605
58.5002	0.00239326
59.0001	0.00247242
59.5002	0.00258972
60.0002	0.0026684
