Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
-35.4991	0.000165404
-34.9991	0.000163139
-34.4991	0.000164718
-33.9991	0.000168205
-33.4991	0.000168801
-32.9991	0.00016454
-32.4991	0.000164033
-31.9991	0.000168742
-31.4991	0.000166894
-30.9991	0.000167848
-30.4991	0.000168026
-29.9991	0.000174881
-29.4991	0.000170649
-28.9991	0.000165702
-28.4991	0.000166328
-27.9991	0.000164629
-27.4991	0.000169189
-26.9999	0.000168384
-26.5009	0.000174553
-26.0006	0.000176431
-25.5014	0.000177086
-24.9991	0.000178487
-24.4991	0.000176371
-23.9991	0.000173719
-23.4992	0.000176252
-22.9992	0.000176967
-22.4992	0.000174225
-21.9992	0.000170172
-21.4992	0.000168742
-20.9992	0.000171483
-20.4992	0.000171185
-19.9992	0.000169517
-19.4992	0.00017196
-18.9992	0.000173689
-18.4992	0.000171722
-17.9992	0.000174106
-17.4992	0.000179471
-16.9993	0.000175179
-16.4992	0.000180484
-15.9992	0.000179053
-15.4992	0.000178219
-14.9992	0.000179471
-14.4992	0.000177265
-13.9992	0.000177861
-13.4992	0.000185669
-12.9992	0.000182928
-12.4992	0.000183285
-11.9992	0.000186325
-11.4993	0.00018257
-10.9993	0.000185371
-10.4993	0.000184716
-9.99927	0.000187696
-9.49927	0.000187458
-8.99928	0.000189067
-8.49928	0.000193537
-7.99928	0.000195087
-7.49928	0.000195385
-6.99928	0.000199438
-6.4993	0.000203432
-5.9993	0.000204683
-5.4993	0.000207306
-4.99931	0.000210346
-4.49931	0.000213624
-3.99931	0.000224114
-3.49931	0.000225605
-3.0005	0.000227571
-2.50025	0.00022924
-1.99933	0.000228942
-1.50092	0.000232697
-1.00063	0.000236095
-0.499336	0.000238241
0.000656128	0.000239671
0.500656	0.000243247
1.00066	0.000241817
1.50064	0.000245513
2.00064	0.000250222
2.50063	0.000252308
3.00063	0.000257434
3.50063	0.000257136
4.00063	0.000263812
4.50063	0.00026715
5.00063	0.000269951
5.50062	0.000274541
6.0006	0.000285031
6.5006	0.000289561
7.0006	0.00029278
7.5006	0.000292303
8.0006	0.000289919
8.5006	0.000289859
9.00059	0.000295879
9.50059	0.000299932
10.0006	0.00030327
10.5006	0.000308694
11.0006	0.000317039
11.5006	0.000329556
12.0006	0.00033504
12.5006	0.00034106
13.0006	0.000339212
13.5006	0.000341775
14.0005	0.000342848
14.5005	0.000342848
15.0005	0.000350239
15.5005	0.000355663
16.0005	0.000364842
16.5005	0.000370862
17.0005	0.000386002
17.5005	0.000384452
18.0005	0.000388684
18.5005	0.000394823
19.0005	0.00039679
19.5005	0.000398161
20.0005	0.000415565
20.5005	0.000419142
21.0005	0.000429155
21.5005	0.000440599
22.0005	0.000441076
22.5005	0.000454547
23.0005	0.000469686
23.5005	0.000485661
24.0005	0.000499491
24.5005	0.000507239
25.0005	0.000515465
25.5005	0.000518683
26.0005	0.000521187
26.5005	0.000532869
27.0005	0.000541929
27.5004	0.000547532
28.0004	0.000557069
28.5004	0.000573043
29.0004	0.000584725
29.5004	0.000600342
30.0004	0.000612978
30.5004	0.000629548
31.0004	0.000647906
31.5004	0.000663046
32.0004	0.000685457
32.5004	0.000707988
33.0004	0.00072265
33.5004	0.00074387
34.0004	0.000757817
34.5004	0.000771407
35.0004	0.000787262
35.5004	0.000816468
36.0004	0.000830058
36.5004	0.000845674
37.0004	0.000868682
37.5004	0.000890616
38.0004	0.000907067
38.5004	0.000927929
39.0004	0.000941757
39.5004	0.000960235
40.0003	0.00098408
40.5003	0.00100125
41.0003	0.00102354
41.5003	0.00103784
42.0003	0.00105739
42.5003	0.00108386
43.0003	0.00110973
43.5003	0.00114537
44.0003	0.00119079
44.5003	0.00121749
45.0003	0.00122584
45.5003	0.00124205
46.0003	0.00126792
46.4996	0.0013069
46.9995	0.00135947
47.4993	0.00136591
47.9992	0.00139046
48.5003	0.00141896
49.0003	0.00146235
49.5003	0.00150824
50.0003	0.00155569
50.5003	0.00159741
51.0003	0.00164152
51.5003	0.00169302
52.0003	0.00175286
52.5002	0.001822
53.0002	0.00187088
53.5002	0.00190402
54.0002	0.00193167
54.5002	0.00194121
55.0002	0.00196077
55.5002	0.00199915
56.0002	0.00203063
56.5002	0.00204469
56.9995	0.00209381
57.4993	0.00211836
57.9992	0.00216676
58.4988	0.00224711
58.9988	0.0023153
59.4999	0.00237562
60.0002	0.00244643
60.5002	0.00250842
61.0002	0.00256278
61.5002	0.00260045
62.0002	0.00260378
62.5002	0.00264265
63.0002	0.00271751
63.5002	0.00277664
64.0002	0.00282623
64.5002	0.00286342
64.9999	0.0029216
65.4996	0.00294115
65.9997	0.00297238
66.5001	0.00303127
67.0001	0.00306226
67.5001	0.00311114
68.0001	0.00313403
68.5001	0.00317074
69.0001	0.003217
69.5001	0.00325824
70.0001	0.0032921
70.5001	0.00327779
71.0001	0.00329997
71.5001	0.00335242
72.0001	0.00342323
72.5001	0.00351144
73.0001	0.0035639
73.5001	0.00357296
74.0001	0.0035267
74.5001	0.00346114
75.0001	0.00341727
75.5001	0.00341679
75.999	0.00344731
76.4989	0.00343825
76.9997	0.00340463
77.5001	0.00340201
78	0.00335862
78.5	0.00334002
79	0.00328018
79.5	0.00316311
80	0.00307657
80.5	0.00302054
81	0.00297906
81.5	0.00295164
82	0.0028844
82.5	0.00275232
83	0.00265123
83.5	0.00257017
84	0.00253607
84.5	0.00240518
85	0.002373
85	0.00227095
-35.4991	0.000252904
-34.9991	0.000264885
-34.4991	0.000271859
-33.9991	0.000281813
-33.4991	0.000282945
-32.9991	0.000281872
-32.4991	0.000280978
-31.9991	0.00027913
-31.4991	0.000281038
-30.9991	0.000276985
-30.4991	0.000272574
-29.9991	0.000265362
-29.4991	0.000263276
-28.9991	0.000263574
-28.4991	0.000263991
-27.9991	0.000254931
-27.4991	0.000262441
-26.9991	0.000266137
-26.4991	0.000264945
-25.9991	0.000271084
-25.4992	0.000268104
-24.9991	0.000266554
-24.4991	0.00026864
-23.9992	0.000270845
-23.4992	0.000272037
-22.9992	0.000273766
-22.4992	0.000276031
-21.9992	0.000281157
-21.4992	0.000282111
-20.9992	0.000285329
-20.4992	0.000287475
-19.9992	0.00028968
-19.4992	0.000286283
-18.9992	0.000290336
-18.4992	0.000290098
-17.9992	0.000292959
-17.4992	0.00029278
-16.9992	0.000295462
-16.4992	0.000301184
-15.9992	0.000301423
-15.4992	0.000307621
-14.9992	0.000308754
-14.4992	0.000316979
-13.9992	0.000322225
-13.4992	0.0003289
-12.9993	0.000331642
-12.4993	0.000339272
-11.9993	0.000346543
-11.4993	0.000351908
-10.9993	0.000365617
-10.4993	0.000372173
-10.0004	0.000373365
-9.49927	0.000378491
-9.00117	0.000379087
-8.50066	0.000375153
-8.00102	0.000382544
-7.49928	0.00038326
-6.99929	0.000383975
-6.4993	0.000393154
-5.99931	0.000400068
-5.49931	0.000404717
-4.99931	0.00040579
-4.49931	0.000401618
-3.99931	0.000398995
-3.49931	0.000403525
-2.99932	0.000414016
-2.49932	0.000424625
-1.99934	0.000434758
-1.49934	0.000443103
-0.999336	0.000453474
-0.499344	0.000460031
0.000656128	0.000465037
0.500656	0.00047374
1.00065	0.000494484
1.50065	0.000496749
2.00063	0.000488285
2.50063	0.000477435
3.00063	0.000475528
3.50063	0.000491861
4.00063	0.000521425
4.50062	0.00054026
5.00062	0.000550631
5.50062	0.000542168
6.0006	0.000526074
6.5006	0.000510816
7.0006	0.00051761
7.5006	0.000528816
8.0006	0.000541452
8.50059	0.00053728
9.00059	0.000535969
9.50059	0.000542644
10.0006	0.000552539
10.5006	0.000564341
11.0006	0.000570659
11.4999	0.00058246
11.9989	0.000590686
12.4988	0.00060058
13.0006	0.000605229
13.5005	0.000616793
14.0005	0.000628117
14.5005	0.000642899
15.0005	0.000659589
15.5005	0.000670556
16.0005	0.000678424
16.5005	0.000688676
17.0005	0.000700478
17.5005	0.000711326
18.0005	0.000709299
18.5005	0.000714187
19.0005	0.000718955
19.5005	0.000717524
20.0005	0.00073028
20.5005	0.000749115
21.0005	0.000773314
21.5005	0.000784043
22.0005	0.000796441
22.5005	0.000810031
23.0005	0.000815991
23.5005	0.000828627
24.0005	0.000848297
24.5005	0.000870232
25.0005	0.000896577
25.5005	0.000896458
26.0005	0.000901941
26.5005	0.000913147
27.0004	0.000925068
27.5004	0.000940327
28.0004	0.000939373
28.5004	0.000947241
29.0004	0.000957254
29.5004	0.000985153
30.0004	0.000992067
30.5004	0.0010047
31.0004	0.00101424
31.5004	0.0010407
32.0004	0.00105048
32.5004	0.00107861
33.0004	0.00110317
33.5004	0.00111366
34.0004	0.00111962
34.5004	0.00112391
35.0004	0.00112582
35.5004	0.00114346
36.0004	0.00115848
36.5004	0.00119568
37.0004	0.00121237
37.5004	0.0012405
38.0004	0.00126124
38.5004	0.00128675
39.0004	0.0013125
39.5004	0.00132871
40.0003	0.00133324
40.5003	0.00136352
41.0003	0.00139619
41.5003	0.00146056
42.0003	0.00149442
42.5003	0.00151873
43.0003	0.0015452
43.5003	0.00156093
44.0003	0.00158931
44.5003	0.00163317
45.0003	0.00166107
45.5003	0.00167204
46.0003	0.00167156
46.5003	0.00167037
47.0003	0.00169373
47.5003	0.00174332
48.0003	0.00179053
48.5003	0.00183154
49.0003	0.00185371
49.5003	0.00190926
50.0003	0.00192834
50.5003	0.00196911
51.0003	0.00200106
51.5003	0.00204016
52.0003	0.00210573
52.5002	0.0021527
53.0002	0.00218226
53.5002	0.00220467
54.0002	0.0022123
54.5002	0.00221492
55.0002	0.00218393
55.5002	0.00218774
56.0002	0.00221683
56.5002	0.00224353
57.0002	0.00228216
57.5002	0.00234415
58.0002	0.00241233
58.5002	0.00244428
59.0002	0.00245573
59.5002	0.00247265
60.0002	0.00250174
60.5002	0.00258328
61.0002	0.00264408
61.5002	0.00272919
61.9987	0.00277998
62.4985	0.00280549
62.9986	0.00275804
63.4993	0.00276114
63.998	0.00279976
64.5002	0.00287534
65.0001	0.00293352
65.5001	0.0028763
66.0001	0.0028577
66.5001	0.00285961
67.0001	0.00280739
67.5001	0.0028031
68.0001	0.00278093
