Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
0.999672	6.10E-05
1.99968	6.49E-05
2.99968	7.06E-05
3.99969	7.25E-05
4.9997	7.82E-05
5.9997	8.01E-05
6.99971	8.58E-05
7.99971	9.16E-05
8.99972	9.73E-05
9.99972	9.92E-05
10.9997	0.000106812
11.9997	0.000116349
12.9997	0.000122071
13.9997	0.000305178
14.9997	0.00106049
15.9998	0.00303842
16.9998	0.00646213
17.9998	0.0079518
18.9998	0.00737002
19.9998	0.0056496
20.9998	0.0058575
21.9998	0.00740817
22.9998	0.00905424
23.9998	0.0102311
24.9998	0.0110093
25.9998	0.0115796
26.9998	0.011982
27.9998	0.0122758
28.9998	0.012476
29.9998	0.0126839
30.9998	0.0128422
31.9998	0.0129414
32.9999	0.0129414
33.9999	0.012888
34.9999	0.0127831
35.9999	0.0126324
36.9999	0.0124665
37.9999	0.0123444
38.9999	0.0122471
39.9989	0.0121766
40.9999	0.0121422
41.9999	0.0120907
42.9999	0.0119877
43.9999	0.0118428
44.9999	0.011612
45.9999	0.0113526
46.9999	0.0110055
47.9999	0.010645
48.9999	0.0102273
49.9999	0.00983626
51	0.00949293
52	0.00918394
53	0.00892264
54	0.00867468
55	0.00838095
56	0.00804144
56.9984	0.00768855
58	0.00734904
59	0.00705722
60	0.00676349
60	0.0064564
0.999672	5.91E-05
1.99968	6.49E-05
2.99968	6.49E-05
3.99969	7.44E-05
4.9997	7.82E-05
5.99928	8.20E-05
6.99971	8.20E-05
7.99971	8.96E-05
8.99972	9.54E-05
9.99972	9.92E-05
10.9997	0.000104905
11.9997	0.000114441
12.9997	0.000122071
13.9997	0.000307085
14.9997	0.00106049
15.9998	0.00304414
16.9998	0.00646976
17.9998	0.00797087
18.9998	0.00738338
19.9998	0.00566295
20.9998	0.00585559
21.9998	0.00741389
22.9992	0.0090695
23.9998	0.0102425
24.9998	0.0110322
25.9998	0.0115834
26.9998	0.0119877
27.9998	0.0122929
28.9982	0.0125085
29.9998	0.0126877
30.9998	0.012867
31.9998	0.0129471
