Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
0.999672	6.10E-05
1.99968	6.29E-05
2.99968	6.49E-05
3.99969	6.87E-05
4.9997	7.44E-05
5.99923	7.82E-05
6.99971	8.39E-05
7.99971	8.77E-05
8.99972	9.35E-05
9.99972	0.00010109
10.9997	0.000104905
11.9997	0.000116349
12.9994	0.000123979
13.9997	0.000265123
14.9997	0.000810627
15.9998	0.00244714
16.9998	0.00582126
17.9998	0.00777629
18.9998	0.00759128
19.9998	0.00594142
20.9998	0.00559619
21.9998	0.00701144
22.9998	0.00872618
23.9998	0.0100365
24.9998	0.0108815
25.9998	0.0114823
26.9998	0.0119267
27.9998	0.0122166
28.9998	0.0124379
29.9998	0.0126076
30.9998	0.0127297
31.9998	0.0127888
32.9999	0.0127946
33.9999	0.0127164
34.9999	0.0126172
35.9999	0.0124665
36.9999	0.0123025
37.9999	0.0121956
38.9999	0.0121327
39.9999	0.012085
40.9999	0.0120488
41.9999	0.0120526
42.9999	0.0119992
43.9999	0.0119267
44.9999	0.0117417
45.9999	0.011488
46.9999	0.0111657
47.9999	0.0108357
48.9997	0.0104542
49.9999	0.0100461
51	0.00970083
52	0.00939947
53	0.00911719
54	0.00883871
55	0.00848776
56	0.00810438
57	0.00773814
58	0.00742534
59	0.00713161
60	0.00682071
60	0.0065079
0.999672	6.10E-05
1.99968	6.29E-05
2.99955	6.68E-05
3.99969	7.25E-05
4.9997	7.82E-05
5.9997	8.01E-05
6.99971	8.20E-05
7.99971	9.16E-05
8.99972	9.54E-05
9.99972	0.00010109
10.9997	0.000104905
11.9997	0.000112534
12.9997	0.000120163
13.9997	0.000263216
14.9997	0.00080872
15.9998	0.00244333
16.9998	0.00582126
17.9998	0.00778201
18.9998	0.00760081
19.9998	0.00594524
20.9997	0.00559047
21.9998	0.00701335
22.9998	0.0087319
23.9998	0.010048
24.9998	0.0108853
25.9998	0.0114804
26.9998	0.0119095
27.9998	0.0122243
28.9998	0.0124245
29.9998	0.0125886
30.9998	0.0127316
31.9998	0.0127946
32.9999	0.0127888
33.9999	0.012745
34.9999	0.012621
35.9999	0.0124817
36.9999	0.0123101
