Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
0.999672	8.01E-05
1.99968	8.58E-05
2.99968	9.54E-05
3.99969	0.000104905
4.9997	0.000106812
5.9997	0.000116349
6.99971	0.000123979
7.99971	0.000131608
8.99972	0.00013733
9.99972	0.000146867
10.9997	0.000223161
11.9996	0.000623707
12.9997	0.00190926
13.9997	0.00475314
14.9997	0.0071049
15.9998	0.00749019
16.9998	0.00625613
17.9978	0.00531963
18.9998	0.00639728
19.9998	0.0080052
20.9998	0.00926214
21.9998	0.0101662
22.9998	0.0107766
23.9998	0.0112744
24.9998	0.011654
25.9998	0.0119782
26.9998	0.0122986
27.9998	0.012661
28.9998	0.0130444
29.9998	0.0133687
30.9998	0.0136471
31.9998	0.0138398
32.9999	0.0139828
33.9999	0.0140515
34.9999	0.0141125
35.9999	0.0141354
36.9999	0.0142193
37.9999	0.0143071
38.9999	0.0144177
39.9999	0.0146008
40.9999	0.0147534
41.9999	0.0147572
42.9999	0.0145608
43.9999	0.0140801
44.9988	0.0133877
45.9999	0.0126553
46.9999	0.0119591
47.9999	0.0113946
48.9999	0.0109063
49.9999	0.0104752
51	0.0100403
51.9987	0.00957495
53	0.00912482
54	0.00868994
55	0.00830275
56	0.00794798
57	0.00760463
58	0.00726321
59	0.00697711
60	0.00669864
60	0.0064297
0.999672	8.01E-05
1.99968	8.96E-05
2.99968	9.54E-05
3.99969	0.000102997
4.9997	0.000108719
5.9997	0.000118256
6.99971	0.000122071
7.99971	0.000131608
8.99972	0.000139237
9.99972	0.000146867
10.9997	0.000221253
11.9997	0.000619892
12.9997	0.00189973
13.9997	0.00472644
14.9988	0.00709155
15.9998	0.00749591
16.9998	0.00626186
17.9998	0.0053139
18.9998	0.00637439
19.9998	0.00799757
20.9998	0.0092507
21.9996	0.0101395
22.9998	0.0107747
23.9998	0.011263
24.9998	0.011654
25.9998	0.0119744
26.9998	0.012312
27.9998	0.012682
28.9997	0.0130387
29.9998	0.0133629
30.9998	0.0136319
31.9998	0.0138283
32.9999	0.0139638
33.9999	0.0140343
34.9999	0.0140916
35.9999	0.0141411
36.9995	0.014185
37.9999	0.0142747
38.9999	0.0144082
39.9999	0.014576
40.9999	0.014742
41.9999	0.0147286
42.9999	0.0145321
43.9999	0.0140515
44.9999	0.0133877
45.9999	0.0126286
46.9999	0.011961
47.9999	0.0114079
48.9999	0.0109082
49.998	0.0104676
51	0.0100346
52	0.00956923
53	0.00911719
54	0.00868803
55	0.00830466
56	0.00794798
57	0.00759128
58	0.0072594
59	0.00695804
60	0.00669101
60	0.00642398
0.999672	7.82E-05
1.99968	8.77E-05
2.99968	9.54E-05
3.99969	0.000102997
4.9997	0.000110627
5.9997	0.000116349
6.99971	0.000123979
7.99971	0.000133515
8.99972	0.000133515
9.99955	0.000144959
10.9997	0.000219346
11.9997	0.000616077
12.9997	0.00188447
13.9997	0.00470737
14.9997	0.00707629
15.9998	0.00748637
16.9998	0.00625613
17.9998	0.00529674
18.9998	0.00636867
19.9998	0.00797659
20.9998	0.00923163
21.9998	0.0101414
22.9998	0.0107556
23.9998	0.0112572
24.9998	0.0116444
25.9998	0.0119477
26.9998	0.0122738
27.9998	0.0126591
28.9988	0.0130311
29.9998	0.013342
30.9998	0.0136262
31.9998	0.0137845
32.9999	0.0139332
33.9999	0.014
34.9999	0.0140591
35.9999	0.014082
36.9999	0.0141621
37.9999	0.0142556
38.9999	0.0143681
39.9999	0.0145646
40.9997	0.0147133
41.9999	0.014721
42.9999	0.0145054
43.9999	0.0140496
44.9999	0.0133687
45.9999	0.0126305
46.9999	0.0119458
47.9996	0.0113907
48.9999	0.0108739
49.9999	0.0104333
51	0.010006
52	0.00956923
53	0.00908858
54	0.00867659
55	0.00827795
56	0.00793654
57	0.00758556
58	0.00724033
59	0.00694469
60	0.00667956
60	0.00641635
0.999672	7.82E-05
1.99968	8.58E-05
2.99968	9.54E-05
3.99969	0.000104905
4.9997	0.000104905
5.9997	0.000116349
6.99971	0.000123979
7.99971	0.000131608
8.99972	0.000135423
9.99972	0.000146867
10.9997	0.000219346
11.9997	0.000610355
12.9988	0.00187493
13.9997	0.00467876
14.9997	0.00703624
15.9998	0.00746539
16.9998	0.00625423
17.9998	0.00528148
18.9998	0.00633815
19.9998	0.00794607
20.9998	0.00920492
21.9998	0.0101128
22.9998	0.0107384
23.9998	0.0112229
24.9998	0.0116044
25.9998	0.0119153
26.9998	0.0122452
27.9998	0.0126038
28.9998	0.0129758
29.9998	0.0133095
30.9998	0.013567
31.9998	0.0137368
32.9999	0.0138875
33.9998	0.0139504
34.9999	0.0139828
35.9999	0.0140477
36.9999	0.0140935
37.9999	0.0141926
38.9999	0.0143242
39.9999	0.0145054
40.9999	0.0146561
41.9999	0.0146466
42.9999	0.0144559
43.9999	0.0139981
44.999	0.0133229
45.9999	0.0125714
46.9999	0.0118962
47.9999	0.0113354
48.9999	0.0108548
49.9999	0.0104008
51	0.00995833
52	0.00951964
53	0.00905615
54	0.00863272
55	0.00825125
56	0.00788885
57	0.0075455
58	0.00720599
59	0.00691417
60	0.00664523
60	0.00638202
0.999672	7.82E-05
1.99968	8.77E-05
2.99968	9.35E-05
3.99969	0.000102997
4.9997	0.000108719
5.9997	0.000112534
6.99971	0.000122071
7.9982	0.000131608
8.99972	0.00013733
9.99972	0.000148774
10.9997	0.000219346
11.9997	0.000606541
12.9997	0.00185395
13.9997	0.0046387
14.9997	0.00700954
15.9998	0.00743678
16.9998	0.00623325
17.9998	0.00525096
18.9998	0.00630191
19.9998	0.00789648
20.9998	0.0091477
21.9998	0.0100461
22.9998	0.0106736
23.9998	0.0111638
24.9998	0.01153
25.9998	0.0118619
26.9998	0.0121689
27.9998	0.0125428
28.9998	0.012888
29.9998	0.0132123
30.9998	0.0134678
31.998	0.0136662
32.9999	0.013773
33.9999	0.0138398
34.9999	0.0138856
35.9999	0.0139313
36.9999	0.0140076
37.9999	0.014103
38.9992	0.0142098
39.9999	0.0143929
40.9999	0.0145398
41.9999	0.0145646
42.9999	0.0143662
43.9999	0.0138894
44.9999	0.0132275
45.9999	0.0124989
46.9999	0.0118294
47.9999	0.0112687
48.9999	0.0107594
49.9999	0.0103303
50.9999	0.00988966
52	0.00946242
53	0.00899321
54	0.00857931
55	0.00818449
56	0.00783163
57	0.00748447
58	0.0071564
58.9995	0.00686458
60	0.0065842
60	0.00632861
