Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
15.9997	0.000459673
16.9993	0.00123978
17.9997	0.00325967
18.9997	0.00577167
19.9997	0.00670055
20.9997	0.00593188
21.9997	0.00464633
22.9997	0.00501636
23.9997	0.00625804
24.9997	0.00742343
25.9997	0.00814444
26.9997	0.00856787
27.9997	0.00881582
28.9995	0.00897795
29.9997	0.00908476
30.9998	0.00920683
31.9998	0.00941283
32.9998	0.00970274
33.9998	0.0101109
34.9998	0.0106221
35.9998	0.0112439
36.9998	0.0119496
37.9998	0.012703
38.9998	0.0134774
39.9998	0.0143853
40.9998	0.0152779
41.9998	0.0162011
42.9998	0.0169755
43.9998	0.017624
44.9998	0.018036
45.9998	0.0181314
46.9998	0.017851
47.9999	0.0173208
48.9999	0.016575
49.9999	0.0157377
50.9999	0.0147877
51.9999	0.0138436
52.9999	0.0129815
53.9999	0.0121995
54.9999	0.0114689
55.9999	0.010748
56.9999	0.0100423
57.9999	0.00940329
58.9999	0.00883108
59.9999	0.00832373
60.9999	0.00786024
61.9999	0.0074425
62.9999	0.00708011
63.9999	0.00674632
64.9999	0.00640109
66	0.00599292
67	0.00554469
68	0.00508311
69	0.00460437
70	0.00398639
71	0.00331689
72	0.00280382
73	0.00299074
74	0.0031357
75	0.00278474
75	0.00234224
15.9997	0.000457766
16.9997	0.00123215
17.9997	0.00323869
18.9997	0.00576213
19.9997	0.00670817
20.9997	0.00594333
21.9997	0.00465968
22.9997	0.00501254
23.9997	0.00625423
24.9997	0.00740626
25.9997	0.00814825
26.9997	0.00856787
27.9997	0.00881392
28.9975	0.00897413
29.9997	0.00908095
30.9998	0.00921255
31.9998	0.00941283
32.9998	0.009718
33.9998	0.010109
34.9998	0.0106412
35.999	0.0112439
36.9998	0.0119477
37.9998	0.012703
38.9998	0.0134755
39.9998	0.0143681
40.9998	0.0152875
41.9998	0.0161935
42.9998	0.0169832
43.9998	0.0176011
44.9998	0.0180379
45.9998	0.0181485
46.9998	0.0178605
47.9999	0.0173112
48.9999	0.0165941
49.9999	0.0157262
50.9999	0.0148011
51.9999	0.0138436
52.9999	0.0129834
53.9999	0.0121899
54.9999	0.011488
55.9999	0.0107442
56.9999	0.0100308
57.9999	0.00938803
58.9999	0.00884253
59.9989	0.0083428
60.9999	0.0078755
61.9999	0.00744632
62.9999	0.00708202
63.9999	0.00674632
64.9999	0.00639537
66	0.00599292
67	0.00555423
68	0.00508502
69	0.00460055
70	0.00398639
71	0.00331308
72	0.00280572
73	0.00299646
74	0.0031357
75	0.00278474
75	0.00234605
15.9997	0.000459673
16.9997	0.00122643
17.9997	0.0032406
18.9997	0.00575641
19.9997	0.00670817
20.9997	0.00594905
21.9997	0.00465968
22.9997	0.00501445
23.9997	0.00624278
24.9997	0.00740817
25.9997	0.00814253
26.9997	0.00856787
27.9978	0.00880629
28.9997	0.00897032
29.9997	0.00909621
30.9998	0.00919729
31.9998	0.00941092
32.9998	0.00970465
33.9998	0.01013
34.9998	0.0106354
35.9998	0.011263
36.9998	0.0119534
37.9998	0.0127106
38.9998	0.0134774
39.9998	0.0143681
40.9998	0.0153008
41.9993	0.0161878
42.9998	0.0170003
43.9998	0.0176049
44.9998	0.018015
45.9998	0.0181142
46.9998	0.0178777
47.9999	0.0173284
48.9999	0.016575
49.9999	0.0157548
50.9999	0.0148202
51.9999	0.0138684
52.9999	0.0129891
53.9999	0.0121995
54.9999	0.0114632
55.9999	0.0107499
56.9999	0.0100346
57.9999	0.00938612
58.9999	0.00883871
59.9999	0.00834471
60.9999	0.00786024
61.9999	0.00745586
62.9999	0.00708964
63.9999	0.00674441
64.9999	0.00638965
66	0.00598338
67	0.00555232
68	0.00508502
