Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
15.9997	0.000322344
16.9997	0.000593189
17.9997	0.00112153
18.9997	0.00262643
19.9997	0.0048714
20.9997	0.00593379
21.9997	0.0055199
22.9997	0.0043259
23.9997	0.00452235
24.9993	0.00564578
25.9997	0.00675586
26.9997	0.00749782
27.9997	0.00790793
28.9997	0.00814635
29.9997	0.00824934
30.9998	0.00828558
31.9998	0.00830656
32.9998	0.00840575
33.9998	0.00858122
34.9998	0.00881392
35.9998	0.00910956
36.9998	0.00945479
37.9998	0.00989538
38.9998	0.0104142
39.9998	0.0109845
40.9998	0.0116673
41.9998	0.012436
42.9998	0.0134583
43.9998	0.0146599
44.9998	0.0162793
45.9998	0.0184766
46.9988	0.0211221
47.9999	0.0243474
48.9999	0.027651
49.9999	0.029339
50.9999	0.0286828
51.9999	0.0256673
52.9999	0.0222837
53.9999	0.0194436
54.9999	0.0172693
55.9999	0.0154458
56.9999	0.0138856
57.9999	0.0125294
58.9999	0.0114232
59.9999	0.0104466
60.9999	0.00961882
61.9999	0.00883299
62.9999	0.00813109
63.9999	0.0075188
64.9999	0.00701335
66	0.00656703
67	0.00610355
68	0.00562862
69	0.005106
70	0.00449184
70.9995	0.00376703
72	0.00309183
73	0.00321008
74	0.00343515
75	0.00310709
75	0.00264169
15.9997	0.000322344
16.9997	0.000593189
17.9997	0.00111581
18.9997	0.00260736
19.9997	0.0048714
20.9997	0.00594714
21.9996	0.00552753
22.9997	0.00434116
23.9997	0.00452045
24.9997	0.00563243
25.9997	0.00675014
26.9997	0.00750163
27.9997	0.00792128
28.9997	0.0081597
29.9997	0.00826842
30.9998	0.00830275
31.9998	0.00831801
32.9998	0.00840575
33.9998	0.00859457
34.9998	0.00882536
35.9998	0.00911528
36.9998	0.00946814
37.9998	0.00991255
38.9998	0.0104313
39.9998	0.0110226
40.9998	0.0116711
41.9998	0.0124684
42.9998	0.0134755
43.9998	0.0146943
44.9998	0.0162812
45.9998	0.0184842
46.9998	0.0210916
47.9999	0.0243608
48.9988	0.0276586
49.9999	0.0293523
50.9999	0.0287572
51.9999	0.0257207
52.9999	0.0223943
53.9999	0.0194913
54.9999	0.0172979
55.9999	0.0154858
56.9999	0.0138989
57.9999	0.012558
58.9999	0.0114346
59.9999	0.0104695
60.9999	0.009615
61.9999	0.00883681
62.9999	0.00813109
63.9999	0.00753787
64.9999	0.00702479
66	0.00657466
67	0.00612262
68	0.00562862
69	0.00511172
70	0.00449374
71	0.00376894
72	0.00309755
73	0.00321008
74	0.00343515
75	0.0031109
75	0.00264551
15.9997	0.000322344
16.9997	0.000591282
17.9997	0.00110818
18.9997	0.00259973
19.9997	0.00485995
20.9997	0.00595286
21.9997	0.00554278
22.9997	0.00434306
23.9997	0.00452617
24.9997	0.00563815
25.9997	0.00675777
26.9997	0.00752071
27.9997	0.00793272
28.9997	0.0081597
29.9997	0.00827605
30.9998	0.00830275
31.9998	0.00832945
32.9998	0.00842863
33.9998	0.0086022
34.9998	0.00883871
35.9998	0.00912291
36.9977	0.00946242
37.9998	0.00990492
38.9998	0.0104352
39.9998	0.0110379
40.9998	0.0116864
41.9998	0.0124531
42.9998	0.0134812
43.9998	0.0147057
44.9998	0.0162946
45.9998	0.0184709
46.9998	0.0211259
47.9997	0.0243226
48.9999	0.0276471
49.9999	0.0293771
50.9999	0.0287801
51.9999	0.0258409
52.9999	0.0224267
53.9999	0.01956
54.9999	0.0173723
55.9999	0.0155144
56.9999	0.0139409
57.9999	0.0125943
58.9999	0.0114632
59.9999	0.0105038
60.9999	0.00963408
61.9999	0.00885016
62.9999	0.0081597
63.9999	0.00754741
64.9999	0.00702289
66	0.0065842
67	0.00612643
68	0.00563625
69	0.00512126
70	0.00450519
71	0.00377275
72	0.00310136
73	0.00321199
74	0.00344087
75	0.00311662
75	0.00264741
15.9997	0.000320436
16.9997	0.000593189
17.9997	0.00110245
18.9997	0.00257303
19.9997	0.0048447
20.9997	0.00594333
21.9997	0.00556758
22.9997	0.00436404
23.9997	0.00452235
24.9997	0.00563625
25.9997	0.0067654
26.9997	0.00752452
27.9997	0.00793463
28.9997	0.00818259
29.9997	0.00829512
30.9998	0.00832373
31.9996	0.0083428
32.9998	0.00844389
33.9998	0.00861365
34.9998	0.00886732
35.9998	0.00914389
36.9998	0.00948721
37.9998	0.00993162
38.9996	0.010439
39.9998	0.0110341
40.9998	0.0117093
41.9998	0.0124741
42.9998	0.0135022
43.9998	0.0147
44.9998	0.0163137
45.9998	0.0184842
46.9998	0.0211107
47.9999	0.0242978
48.9999	0.0276033
49.9999	0.0294534
50.9999	0.0289022
51.9999	0.0259572
52.9999	0.0225736
53.999	0.0196592
54.9999	0.0174142
55.9999	0.0155583
56.9999	0.0139695
57.9999	0.0126439
58.9999	0.0114956
59.9999	0.0105305
60.9999	0.00965506
61.9999	0.00888258
62.9999	0.00817305
63.9999	0.00755122
64.9999	0.00704768
66	0.00658992
67	0.00613216
68	0.00563815
69	0.0051327
70	0.00450328
71	0.00378801
72	0.00310327
73	0.0032158
74	0.00344087
75	0.00311662
75	0.00264932
15.9997	0.000318529
16.9997	0.000591282
17.9997	0.00109864
18.9997	0.00255968
19.9997	0.00484088
20.9997	0.00595477
21.9997	0.00557902
22.9997	0.00437358
23.9997	0.00452235
24.9997	0.00562671
25.9997	0.00676158
26.9997	0.00752452
27.9995	0.00794798
28.9997	0.00817877
29.9997	0.00831419
30.9998	0.00833899
31.9998	0.00836188
32.9995	0.00844389
33.9998	0.00863463
34.9998	0.00886732
35.9998	0.00915724
36.9998	0.00950629
37.9998	0.00994307
38.9998	0.0104695
39.9998	0.0110608
40.9998	0.0117303
41.9998	0.0125008
42.9998	0.0135022
43.9998	0.014721
44.9998	0.0163671
45.9998	0.0185262
46.9998	0.0211278
47.9999	0.0243417
48.9999	0.0276242
49.9996	0.0294973
50.9999	0.029009
51.9999	0.0260755
52.9999	0.022688
53.9999	0.0197564
54.9999	0.0175134
55.9999	0.0156404
56.9999	0.0140172
57.9999	0.0126649
58.9999	0.0115376
59.9999	0.0105515
60.9999	0.00968367
61.9999	0.00890356
62.9999	0.0081864
63.9999	0.00756457
64.9992	0.0070515
66	0.00660136
67	0.00613597
68	0.00565723
69	0.00513461
70	0.00451091
71	0.00377847
72	0.00309755
73	0.00323106
74	0.00344659
75	0.00309946
75	0.00265314
