Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
15.9997	0.00663379
16.9997	0.00719646
17.9997	0.00650027
18.9997	0.00623134
19.9997	0.00655368
20.9996	0.00700381
21.9997	0.00730136
22.9997	0.00737765
23.9997	0.00729373
24.9997	0.00715449
25.9997	0.00708774
26.9997	0.00703624
27.9997	0.00704959
28.9997	0.0070782
29.9997	0.0071564
30.9998	0.00721553
31.9998	0.00728419
32.9998	0.00737956
33.9998	0.00752643
34.9998	0.00771526
35.9998	0.00793082
36.9998	0.0081349
37.9998	0.00836951
38.9998	0.00863463
39.9998	0.00890166
40.9998	0.00913626
41.9998	0.00934416
42.9998	0.00948721
43.9998	0.00954634
44.9998	0.00951391
45.9998	0.00941473
46.9998	0.00924879
47.9999	0.00903136
48.9999	0.00878149
49.9999	0.00853926
50.9999	0.0082646
51.9999	0.00800139
52.9999	0.00772288
53.9999	0.00741962
54.9999	0.00716212
55.9999	0.00690654
56.9999	0.00669292
57.9999	0.00652125
58.9999	0.00636867
59.9999	0.00624278
60.9999	0.00608638
61.9999	0.00594714
62.9999	0.00580218
63.9999	0.00566676
64.9999	0.00550464
66	0.00532916
67	0.00511745
68	0.00485042
69	0.00457576
70	0.00430492
71	0.00401309
72	0.00366594
73	0.00321962
74	0.00273134
75	0.00249864
75	0.00242235
15.9997	0.00664523
16.9997	0.00720981
17.9997	0.00650981
18.9997	0.00624469
19.9997	0.00655559
20.9997	0.00702289
21.9997	0.00731471
22.9997	0.00737384
23.9997	0.00728419
24.9997	0.00715831
25.9997	0.0070782
26.9997	0.00702861
27.9997	0.00702289
28.9997	0.00706485
29.9997	0.00714687
30.9998	0.00722125
31.9998	0.00727656
32.9998	0.00736621
33.9998	0.00752452
34.9998	0.00771335
35.9998	0.00792128
36.9998	0.00812727
37.9998	0.00836378
38.9998	0.0086289
39.9998	0.00888258
40.9998	0.00912291
41.9998	0.00933462
42.9998	0.00948721
43.9998	0.00954252
44.9998	0.00950056
45.9998	0.00941283
46.9998	0.00924498
47.9999	0.00904089
48.9999	0.00879675
49.9999	0.00852972
50.9999	0.00827795
51.9999	0.00801474
52.9999	0.00771526
53.9999	0.00742725
54.9999	0.0071564
55.9999	0.00691417
56.9999	0.00670055
57.9999	0.00652125
58.9999	0.00637439
59.9999	0.00623134
60.9999	0.00609019
61.9999	0.00594524
62.9999	0.00580218
63.9999	0.00566295
64.9999	0.00550845
66	0.00532725
67	0.00511363
67.9997	0.00485614
69	0.00458339
70	0.0043011
71	0.00401309
72	0.00366975
73	0.00321199
74	0.00272943
75	0.00249483
75	0.00242235
15.9997	0.00664333
16.9997	0.00720599
17.9997	0.00650027
18.9997	0.00622562
19.9997	0.00655368
20.9997	0.00700954
21.9997	0.00729945
22.9997	0.00737002
23.9997	0.00729182
24.9997	0.0071564
25.9997	0.0070782
26.9997	0.00703052
27.9997	0.00704005
28.9997	0.00708011
29.9997	0.00715259
30.9998	0.00721934
31.9998	0.00729373
32.9998	0.00738528
33.9998	0.00751498
34.9998	0.00770572
35.9998	0.00790983
36.9998	0.0081349
37.9998	0.00837523
38.9998	0.00861365
39.9997	0.00888449
40.9998	0.00911909
41.9998	0.00934035
42.9998	0.00947958
43.9998	0.00952536
44.9998	0.00951201
45.9998	0.00939947
46.9998	0.00924116
47.9999	0.00903136
48.9999	0.00879103
49.9999	0.00853544
50.9999	0.00826651
51.9999	0.00800329
52.9999	0.00770763
53.9999	0.00741962
54.9999	0.00716022
55.9999	0.00690845
56.9999	0.00669292
57.9999	0.00651935
58.998	0.00635913
59.9999	0.00622562
60.9999	0.00607875
61.9999	0.00594142
62.9999	0.00579074
63.9999	0.00566104
64.9999	0.00550845
66	0.00533107
67	0.00512126
68	0.00484279
69	0.00457767
70	0.00429729
71	0.00401309
72	0.00366594
73	0.00321771
74	0.00272943
75	0.00249864
75	0.00241663
15.9997	0.0066357
16.9997	0.00718883
17.9996	0.00651363
18.9997	0.00623134
19.9997	0.00654224
20.9997	0.00699809
21.9997	0.00730518
22.9997	0.00737193
23.9997	0.00727847
24.9997	0.00715449
25.9997	0.00708202
26.9997	0.00703433
27.9997	0.00702861
28.9997	0.00707629
29.9997	0.00714877
30.9998	0.0072079
31.9998	0.00728229
32.9998	0.00737575
33.9998	0.00750735
34.9998	0.00770953
35.9998	0.00790602
36.9998	0.00812155
37.9998	0.00834662
38.9998	0.00860029
39.9998	0.00886542
40.9998	0.009121
41.9998	0.00930792
42.9998	0.00946242
43.9998	0.00952536
44.9998	0.00950247
45.9998	0.00938231
46.9998	0.0092259
47.9999	0.00899512
48.9999	0.00875288
49.9999	0.0084973
50.9999	0.00824553
51.9999	0.00798613
52.9999	0.00768474
53.9999	0.00739864
54.9999	0.00713351
55.9999	0.00688556
