Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
15.9997	0.000301363
16.9997	0.000494007
17.9997	0.000717167
18.9997	0.000986107
19.9997	0.00205995
20.9997	0.00330545
21.9997	0.00361063
22.9997	0.00303079
23.9997	0.0023327
24.9997	0.00283815
25.9997	0.00359918
26.9992	0.00424388
27.9997	0.00461581
28.9997	0.00484088
29.9997	0.00498965
30.9998	0.00516513
31.9998	0.00529101
32.9998	0.00547794
33.9998	0.00573733
34.9998	0.00617793
35.9998	0.00664523
36.9998	0.0072594
37.9998	0.00805098
38.9998	0.00906187
39.9998	0.0103779
40.9998	0.0117417
41.9998	0.0135289
42.9998	0.0154114
43.9998	0.0174638
44.9998	0.0196859
45.9998	0.0213758
46.9998	0.0217496
47.9999	0.0216447
48.9999	0.0215474
49.9999	0.0210344
50.9999	0.020197
51.9995	0.0183698
52.9999	0.015896
53.9999	0.0134297
54.9999	0.0115243
55.9999	0.00989157
56.9999	0.00889021
57.9999	0.00805861
58.9999	0.00734714
59.9991	0.00674632
60.9999	0.00620845
61.9999	0.00569156
62.9999	0.005209
63.9999	0.0047169
64.9999	0.00430682
66	0.00400928
67	0.00369836
68	0.00340463
69	0.00310136
70	0.00275041
71	0.00235178
72	0.0019455
73	0.00191117
74	0.00204279
75	0.00188638
75	0.00163461
15.9997	0.000297548
16.9997	0.000482561
17.9997	0.000703815
18.9997	0.000965122
19.9997	0.00201036
20.9997	0.00323106
21.9997	0.0035248
22.9997	0.00296594
23.9997	0.0022793
24.9997	0.00276186
25.9997	0.00350572
26.9995	0.00414088
27.9997	0.00450328
28.9997	0.00472072
29.9997	0.00485614
30.9998	0.00502399
31.9998	0.00514033
32.9998	0.00532916
33.9998	0.0055714
34.9998	0.00599673
35.9998	0.00646213
36.9998	0.00703242
37.9998	0.00781256
38.9998	0.0088101
39.9998	0.0100651
40.9998	0.0114022
41.9998	0.0130959
42.9988	0.0149289
43.9998	0.0169164
44.9998	0.0190431
45.9998	0.0207196
46.9998	0.0210344
47.9999	0.0209924
48.9999	0.0208608
49.9999	0.0203592
50.9999	0.0195752
51.9998	0.0177709
52.9999	0.015379
53.9999	0.0130139
54.9999	0.0111561
55.9999	0.00958067
56.9999	0.00859839
57.9999	0.00781062
58.9999	0.00712016
59.9996	0.00653651
60.9999	0.00603297
61.9999	0.00551799
62.9999	0.00506595
63.9999	0.00457767
64.9999	0.00418094
66	0.00390054
67	0.00359537
67.9992	0.00331308
69	0.00302126
70	0.00267984
71	0.00229456
72	0.00189973
73	0.00186349
74	0.0019951
75	0.00184441
75	0.00159646
15.9997	0.000291826
16.9997	0.000480654
17.9995	0.000694279
18.9997	0.000951771
19.9997	0.00198175
20.9997	0.00318719
21.9997	0.00347902
22.9997	0.00292017
23.9997	0.0022545
24.9997	0.00273515
25.9988	0.00347139
26.9997	0.00408748
27.9997	0.00445369
28.9997	0.0046654
29.9997	0.00480464
30.9998	0.00498393
31.9998	0.00509456
32.9992	0.00526431
33.9998	0.0055218
34.9998	0.00594142
35.9998	0.00639728
36.9998	0.00698283
37.9998	0.00775149
38.9998	0.00871474
39.9992	0.00998694
40.9998	0.0112935
41.9998	0.0129948
42.9998	0.014845
43.9998	0.0168134
44.9998	0.0189706
45.9998	0.0206395
46.9998	0.0209867
47.9986	0.0209085
48.9999	0.0208265
49.9999	0.0203458
50.9999	0.019581
51.9999	0.0177976
52.9999	0.0154229
53.9996	0.0130559
54.9999	0.0111848
55.9999	0.00963026
56.9999	0.00864416
57.9999	0.00783736
58.9999	0.00715831
59.9999	0.00657085
60.9999	0.00606158
61.9982	0.00555232
62.9999	0.00509074
63.9999	0.00460818
64.9999	0.00421336
66	0.00392154
67	0.00362398
68	0.00333978
69	0.00304033
70	0.00269891
71	0.00230791
72	0.00191117
73	0.00188256
74	0.00201799
75	0.00186158
75	0.00161172
15.9997	0.000293734
16.9997	0.000482561
17.9997	0.000703815
18.9997	0.000963215
19.9997	0.00200655
20.9997	0.00322534
21.9995	0.00351717
22.9997	0.00296213
23.9997	0.0022793
24.9997	0.00276949
25.9997	0.00351526
26.9997	0.00414851
27.9997	0.00451854
28.9997	0.00473216
29.9992	0.00487712
30.9998	0.0050545
31.9998	0.00516894
32.9998	0.00535968
33.9998	0.00560954
34.9998	0.00604442
35.9998	0.006506
36.9998	0.0071049
37.9998	0.00788313
38.9998	0.00887114
39.9998	0.0101777
40.9998	0.01153
41.9998	0.0132962
42.9998	0.0151654
43.9994	0.0171949
44.9998	0.0193559
45.9998	0.0210553
46.9998	0.021412
47.9999	0.0213357
48.9999	0.0212651
49.9999	0.0207559
50.9994	0.0199605
51.9999	0.0181218
52.9999	0.0156919
53.9999	0.0132561
54.9999	0.0113812
55.9999	0.00980002
56.9999	0.00879103
57.9999	0.00798422
58.9985	0.00727847
59.9999	0.00668719
60.9999	0.00617221
61.9999	0.00564769
62.9999	0.0051823
63.9999	0.00468829
64.9999	0.00427631
