Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
15.9997	0.000160218
16.9997	0.000169755
17.9997	0.000280382
18.9987	0.000425341
19.9997	0.000537876
20.9997	0.000566486
21.9997	0.000967029
22.9997	0.00221445
23.9997	0.0030594
24.9997	0.00310518
25.9997	0.00233842
26.9997	0.00222971
27.9997	0.00290681
28.9997	0.00355341
29.9997	0.00406268
30.9998	0.00434306
31.9998	0.00446513
32.9998	0.00453189
33.9998	0.00455478
34.9998	0.00455096
35.9998	0.00461009
36.9998	0.00473979
37.9998	0.00496295
38.9998	0.00519565
39.9998	0.00540736
40.9998	0.0056515
41.9998	0.00594142
42.9998	0.00647929
43.9998	0.00691035
44.9996	0.00720409
45.9998	0.00726131
46.9998	0.00733569
47.9999	0.00745586
48.9999	0.00753215
49.9999	0.00775531
50.9999	0.00813872
51.9983	0.00883108
52.9999	0.00975996
53.9999	0.0103322
54.9999	0.0101605
55.9999	0.00922209
56.9999	0.00798804
57.9999	0.00670627
58.9999	0.00576785
59.9988	0.00515178
60.9999	0.00483516
61.9999	0.00457767
62.9999	0.00436404
63.9999	0.00413325
64.9999	0.00391582
66	0.00370218
67	0.00349809
68	0.00324632
69	0.00302888
70	0.00275804
71	0.00250627
72	0.00220872
73	0.00186921
73.9981	0.00164605
75	0.00154496
75	0.00161553
15.9997	0.00013733
16.9997	0.000164033
17.9997	0.000297548
18.9997	0.000434877
19.9997	0.000535969
20.9997	0.000574116
21.9997	0.000989921
22.9997	0.0022278
23.9997	0.0030594
24.9997	0.00313188
25.9997	0.00233652
26.9997	0.00224878
27.9992	0.00292207
28.9997	0.00358965
29.9997	0.00407794
30.9998	0.00436023
31.9998	0.00448802
32.9998	0.00454524
33.9998	0.00457194
34.9998	0.00454143
35.9998	0.00463489
36.9998	0.00478366
37.9998	0.00496677
38.9983	0.00519374
39.9998	0.00541499
40.9998	0.0056515
41.9998	0.00597194
42.9998	0.00649455
43.9998	0.00693896
44.9998	0.0072079
45.9998	0.00727275
46.9989	0.00734332
47.9999	0.00746349
48.9999	0.00755122
49.9999	0.00777629
50.9999	0.00814635
51.9999	0.00886923
52.9999	0.00978285
53.9999	0.0103779
54.9999	0.0101967
55.9986	0.00925452
56.9998	0.00800329
57.9999	0.00670436
58.9999	0.00577167
59.9999	0.00519183
60.9999	0.00486186
61.9999	0.00461963
62.9995	0.00436404
63.9999	0.00413898
64.9999	0.00392154
66	0.00372316
67	0.00351907
68	0.00328256
69	0.00303842
70	0.00277711
71	0.00251962
72	0.00220491
73	0.00187493
74	0.00165177
75	0.0015545
75	0.00161172
15.9997	0.000160218
16.9997	0.000146867
17.9988	0.000270845
18.9997	0.000434877
19.9997	0.000537876
20.9997	0.000589374
21.9997	0.000982292
22.9997	0.00224306
23.9997	0.0030842
24.9997	0.00313188
25.9991	0.00234987
26.9997	0.00226404
27.9997	0.00294305
28.9997	0.00356676
29.9997	0.0040932
30.9998	0.00436977
31.9998	0.00448993
32.9998	0.00457385
33.9998	0.00457767
34.9998	0.00457004
35.9998	0.0046654
36.9998	0.00480846
37.9998	0.00499919
38.9998	0.00521854
39.9998	0.00543979
40.9998	0.00569537
41.9998	0.00599483
42.9998	0.0065327
43.9998	0.00695613
44.9998	0.00721744
45.9998	0.00729373
46.9998	0.00738147
47.9999	0.00752071
48.9999	0.00759318
49.9999	0.00779536
50.9999	0.00817877
51.9999	0.00891882
52.9999	0.00985342
53.9999	0.0104046
54.9999	0.0102025
55.9999	0.00930983
56.9999	0.00803953
57.9999	0.00675014
58.9999	0.00578311
59.9999	0.00520518
60.9999	0.00486377
61.9999	0.00462916
62.9999	0.00438121
63.9999	0.00415805
64.9977	0.00394633
65.9999	0.0037327
67	0.0035248
68	0.00330545
69	0.00306512
70	0.00280763
71	0.00253488
72	0.00223924
73	0.00189782
74	0.00167657
75	0.00155068
