Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
-18.9987	0.00300981
-18.4987	0.00289442
-17.9987	0.00279142
-17.4987	0.00269891
-16.9987	0.00263025
-16.4987	0.00256445
-15.9987	0.00251104
-15.4987	0.00245382
-14.9987	0.00240709
-14.4987	0.00235559
-14.0006	0.00232507
-13.4987	0.00228693
-12.9987	0.00224115
-12.4987	0.00221063
-11.9987	0.00218107
-11.4987	0.0021496
-10.9987	0.00212862
-10.4987	0.00209524
-9.99876	0.00207616
-9.49876	0.00204565
-8.99876	0.00202657
-8.49876	0.00201227
-7.99876	0.00199701
-7.49878	0.00198843
-6.99878	0.00198366
-6.49878	0.00197984
-5.99879	0.00196363
-5.49879	0.00195695
-4.99879	0.0019436
-4.49879	0.00193501
-3.99879	0.00192452
-3.49881	0.00191785
-2.99881	0.00191785
-2.49881	0.00191117
-1.99883	0.00190831
-1.49883	0.00189782
-0.998825	0.00189496
-0.498825	0.0018921
0.00117493	0.00188828
0.50116	0.0018797
1.00116	0.00188161
1.50108	0.00188161
2.00116	0.00188351
2.50114	0.00188065
3.00114	0.0018797
3.50114	0.00187588
4.00113	0.00186635
4.50113	0.00187016
5.00113	0.00187016
5.50113	0.00186921
6.00113	0.00187493
6.50111	0.0018673
7.00111	0.00187302
7.50111	0.00187302
8.0011	0.00187302
8.5011	0.00186921
9.0011	0.0018797
9.5011	0.00188447
10.0011	0.00188256
10.5011	0.00188447
11.0011	0.00188733
11.5011	0.00189782
12.0011	0.00190163
12.5011	0.00190259
13.0011	0.00191117
13.5011	0.0019188
14.0011	0.00192166
14.5011	0.00192548
15.0011	0.00192643
15.501	0.00193501
16.001	0.00194169
16.501	0.00194741
17.001	0.00195027
17.501	0.00194836
18.001	0.001956
18.501	0.00195027
19.001	0.00196554
19.501	0.00197317
20.001	0.00198747
20.501	0.00199701
21.001	0.00200655
21.501	0.00201513
22.001	0.00202657
22.501	0.00203039
23.001	0.00203706
23.501	0.00204851
24.001	0.00205041
24.501	0.00204565
25.001	0.00204565
25.501	0.00204183
26.001	0.00203229
26.5009	0.00202467
27.001	0.0020218
27.5009	0.00202371
28.0009	0.00202276
28.5009	0.00203134
29.0009	0.00203134
29.5009	0.00202562
30.0009	0.00200368
30.5009	0.00198556
31.0009	0.00197317
31.5009	0.00195695
32.0009	0.00193883
32.5009	0.00192834
33.0009	0.00192357
33.5009	0.00191117
34.0009	0.00188924
34.5009	0.00186444
35.0009	0.00183965
35.5009	0.00181294
36.0009	0.00179005
36.5009	0.0017643
37.0009	0.00175095
37.5009	0.00173188
38.0009	0.00171281
38.5001	0.00168896
39.0009	0.00166703
39.5009	0.00164128
40.0009	0.00161553
40.5008	0.00158883
41.0008	0.00155831
41.5008	0.00153256
42.0008	0.00150967
42.5008	0.00148869
43.0008	0.0014658
43.5008	0.00144387
44.0008	0.00142575
44.5008	0.00140382
45.0008	0.00137425
45.5008	0.00135041
46.0006	0.00133134
46.5008	0.00130845
47.0008	0.00129224
47.5008	0.00127888
48.0008	0.00126076
48.5008	0.00124265
49.0008	0.00122453
49.5008	0.00120641
50.0008	0.00118352
50.5008	0.00116063
51.0008	0.00114442
51.5008	0.00112439
52.0008	0.00110532
52.5008	0.0010872
53.0008	0.00106526
53.5007	0.00104905
54.0007	0.00103284
54.5007	0.00102044
55.0007	0.00100518
55.5007	0.000991829
56.0007	0.000977524
56.5007	0.0009594
57.0007	0.000939373
57.5007	0.000925068
58.0007	0.000909809
58.5007	0.000893597
59.0007	0.000881199
59.5007	0.000864033
60.0007	0.000852589
60.5007	0.000830654
61.0007	0.000817303
61.5007	0.000799183
62.0007	0.000779156
62.5007	0.000757221
63.0007	0.000737194
63.5007	0.000723843
64.0007	0.000708584
64.5007	0.00068951
65.0007	0.000675205
65.5007	0.000654224
66.0006	0.000637058
66.5006	0.000619892
67.0006	0.000605587
67.5006	0.000588421
68.0006	0.000573162
68.5006	0.00055695
69.0006	0.000539783
69.5006	0.000524525
70.0006	0.000507358
70.5006	0.000491146
71.0006	0.000478746
71.5006	0.000463488
72.0006	0.000440599
72.5006	0.000423433
73.0006	0.000407221
73.5006	0.000390055
74.0006	0.000372889
74.5006	0.000360491
75.0006	0.000349047
75.5006	0.000332834
76.0006	0.000318529
76.5006	0.00030327
77.0006	0.000284197
77.5006	0.000271799
78.0006	0.000255587
78.5006	0.000245096
79.0005	0.000227929
79.5005	0.000214578
80.0005	0.000198365
80.5005	0.000185967
81.0005	0.000172616
81.5005	0.000158311
82.0005	0.000141145
82.5005	0.000130654
83.0005	0.00011921
83.5005	9.92E-05
84.0005	8.11E-05
84.5005	5.53E-05
85.0005	4.67E-05
85.5005	3.81E-05
86.0005	4.29E-05
86.5005	4.96E-05
87.0005	5.25E-05
87.5005	4.86E-05
88.0005	5.25E-05
88.5005	5.05E-05
88.9998	4.86E-05
89.5005	4.58E-05
90.0005	4.20E-05
90.5005	4.29E-05
91.0005	4.39E-05
91.5005	4.10E-05
92.0005	3.91E-05
92.5005	4.10E-05
93.0004	3.62E-05
93.5004	3.72E-05
94.0004	3.24E-05
94.5004	3.53E-05
95.0004	3.24E-05
95.5004	3.15E-05
96.0004	3.34E-05
96.5004	2.96E-05
97.0004	3.05E-05
97.5004	3.05E-05
98.0004	2.86E-05
98.5004	2.86E-05
99.0004	2.77E-05
99.5004	2.86E-05
100	2.77E-05
100.5	2.96E-05
101	3.15E-05
101.5	3.05E-05
102	3.53E-05
102.5	3.24E-05
103	3.53E-05
103.5	3.72E-05
104	4.39E-05
104.5	5.05E-05
105	5.15E-05
105.5	5.53E-05
106	6.01E-05
106.5	6.58E-05
107	7.06E-05
107.5	7.92E-05
108	8.39E-05
108.5	8.87E-05
109	9.25E-05
109.5	0.00010109
110	0.000105858
110.5	0.000115395
111	0.000116349
111.5	0.000123979
112	0.000134469
112.5	0.000141145
113	0.000151635
113.5	0.000154496
114	0.000163079
114.5	0.000168801
115	0.000181199
115.5	0.000186921
116	0.000187875
116.5	0.000197412
117	0.000199319
117.5	0.000208856
118	0.000214578
118.5	0.000222207
119	0.000233651
119.5	0.000234605
120	0.000215531
120.5	0.000196458
121	0.000172616
121.5	0.000149728
122	0.000121117
122.5	9.73E-05
123	7.92E-05
123.5	7.92E-05
124	8.01E-05
124.5	8.20E-05
125	8.11E-05
125.5	8.30E-05
126	8.20E-05
126.5	8.49E-05
127	8.77E-05
127.5	9.44E-05
128	9.16E-05
128.5	9.92E-05
129	9.92E-05
129.5	0.000107766
130	0.000114441
130.5	0.000121117
131	0.000125886
131.5	0.000133515
132	0.000136376
132.5	0.000132562
133	0.000131608
133.5	0.000124932
134	0.000116349
134.5	0.000110627
135	0.000105858
135.5	0.000107766
136	0.000108719
136.5	0.000108719
137	0.00010109
137.5	9.63E-05
138	8.68E-05
138.5	8.58E-05
139	7.53E-05
139.5	7.82E-05
140	7.72E-05
140.5	7.72E-05
141	8.58E-05
141.5	7.92E-05
142	8.20E-05
142.5	8.77E-05
143	8.58E-05
143.5	8.77E-05
144	8.77E-05
144.5	8.96E-05
145	8.58E-05
145.5	8.58E-05
146	8.11E-05
146.5	7.72E-05
147	7.44E-05
147.5	7.44E-05
148	7.44E-05
148.5	7.44E-05
149	7.06E-05
149.5	6.77E-05
150	7.15E-05
150	7.25E-05
-33.9987	0.00276567
-33.4987	0.00265791
-32.9987	0.00256158
-32.4987	0.00247099
-31.9987	0.00240327
-31.4987	0.00234129
-30.9987	0.0022812
-30.4987	0.00223733
-29.9987	0.0021887
-29.4987	0.00214864
-28.9987	0.0021124
-28.4987	0.0020733
-27.9987	0.00203802
-27.4987	0.00201131
-26.9987	0.00197984
-26.4987	0.001956
-25.9987	0.00193787
-25.4987	0.00191308
-24.9988	0.001894
-24.4988	0.00186349
-23.9988	0.00184537
-23.4988	0.00183392
-22.9988	0.00182534
-22.4988	0.00182153
-21.9988	0.00181866
