Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
-18.9987	0.0027466
-18.4987	0.00266649
-17.9987	0.00260927
-17.4989	0.00255586
-16.9987	0.00250627
-16.4987	0.00246049
-15.9987	0.00241853
-15.4987	0.00237657
-14.9987	0.00234605
-14.4987	0.00231172
-13.9987	0.00228502
-13.4987	0.00225832
-12.9987	0.00223924
-12.4987	0.00221635
-11.9987	0.0022011
-11.4987	0.00218965
-10.9988	0.00217439
-10.4987	0.00216676
-9.99876	0.00214769
-9.49876	0.00213625
-8.99876	0.0021248
-8.49876	0.00210954
-7.99876	0.0020981
-7.49878	0.00209047
-6.99878	0.00208665
-6.49878	0.00208284
-5.99879	0.00207902
-5.49879	0.00207521
-4.99879	0.00206377
-4.49879	0.00205614
-3.99879	0.00204469
-3.49886	0.00203325
-2.99937	0.00204088
-2.49936	0.00203325
-1.99883	0.00203706
-1.49883	0.00202943
-0.998825	0.00202562
-0.498825	0.0020218
0.00117493	0.00201418
0.50116	0.00201036
1.00116	0.00200655
1.50116	0.00200655
2.00116	0.00200655
2.50114	0.00200655
3.00114	0.00199892
3.50114	0.00199129
4.00113	0.00199129
4.5005	0.00197984
5.00075	0.00197984
5.50104	0.00197984
6.00113	0.00197603
6.50111	0.00197221
7.00111	0.00196458
7.50111	0.00196458
8.0011	0.00195695
8.5011	0.00195695
9.0011	0.00195314
9.5011	0.00194932
10.0011	0.0019455
10.5011	0.0019455
11.0009	0.00193406
11.5008	0.00193406
12.0008	0.00192643
12.5011	0.00192643
13.0011	0.00192261
13.5011	0.00192261
14.0011	0.0019188
14.5011	0.00190736
15.0011	0.00189973
15.501	0.00189973
16.001	0.0018921
16.501	0.00188828
17.001	0.00188065
17.501	0.00187684
18.001	0.00186539
18.501	0.00186158
19.001	0.00184632
19.501	0.00184632
20.001	0.00183488
20.501	0.00182725
21.001	0.00181962
21.501	0.0018158
22.001	0.00181199
22.501	0.00180054
23.001	0.00179673
23.501	0.00179673
24.001	0.00179292
24.501	0.00178529
25.001	0.00177766
25.501	0.00177003
26.001	0.00175858
26.501	0.00174332
27.001	0.00173188
27.5009	0.00173569
28.0009	0.00172044
28.5009	0.00171281
29.0009	0.00171281
29.5009	0.00170518
30.0009	0.00169373
30.5009	0.00167847
31.0009	0.00166703
31.5009	0.0016594
32.0009	0.00164414
32.5009	0.00163651
33.0009	0.00163651
33.5009	0.00162888
34.0009	0.00161744
34.5009	0.00160599
35.0009	0.00158692
35.5009	0.00157548
36.0009	0.00156403
36.5009	0.00155259
37.0009	0.00154496
37.5009	0.00153352
38.0009	0.00152589
38.5009	0.00151063
39.0009	0.00149537
39.5009	0.00148011
40.0009	0.00147248
40.5008	0.00145341
41.0008	0.00143815
41.5008	0.00142289
42.0008	0.00141526
42.5008	0.00140763
43.0008	0.00139237
43.5008	0.00137711
44.0008	0.00136185
44.5008	0.0013466
45.0008	0.00132752
45.5008	0.00131226
46.0008	0.00130082
46.5008	0.00128175
47.0008	0.00126649
47.5008	0.00125504
48.0008	0.00123978
48.5008	0.00122071
49.0008	0.00120927
49.5008	0.00118638
50.0008	0.0011673
50.5008	0.00115205
51.0008	0.00113297
51.5008	0.0011139
52.0008	0.00108338
52.5008	0.00106812
53.0008	0.00104523
53.5007	0.00102616
54.0007	0.00100327
54.5007	0.000984199
55.0007	0.000968937
55.5007	0.000949863
56.0007	0.00092316
56.5007	0.000904087
57.0007	0.000877384
57.5006	0.000850681
58.0007	0.000827793
58.5007	0.000804905
59.0007	0.000774387
59.5007	0.000747684
60.0007	0.000720982
60.5007	0.000690464
