Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
-18.9987	0.00263311
-18.4987	0.00255682
-17.9987	0.00247766
-17.4987	0.00241376
-16.9987	0.00235845
-16.4987	0.00230791
-15.9987	0.00225832
-15.4987	0.00221826
-14.9987	0.00217535
-14.4987	0.00214578
-13.9987	0.00211908
-13.4987	0.0020857
-12.9987	0.00206186
-12.4987	0.0020342
-11.9987	0.00201704
-11.4987	0.00199701
-10.9987	0.00197889
-10.4987	0.00195695
-9.99876	0.0019436
-9.49876	0.00192261
-8.99876	0.00191117
-8.49876	0.00189973
-7.99876	0.00188733
-7.49878	0.00188065
-6.99878	0.0018797
-6.49878	0.00187112
-5.99879	0.00185967
-5.50081	0.001853
-4.99879	0.00183774
-4.49879	0.00182915
-3.99879	0.00182439
-3.49881	0.00181485
-2.99881	0.0018158
-2.49881	0.00181294
-1.99883	0.00180913
-1.49883	0.00180245
-0.998825	0.00179578
-0.498825	0.00179482
0.00117493	0.00178624
0.50116	0.00178147
1.00116	0.00178529
1.50116	0.00178147
2.00116	0.0017767
2.50114	0.0017767
3.00114	0.00177003
3.50114	0.00176049
4.00113	0.00176049
4.50113	0.00175286
5.00113	0.00174809
5.50113	0.00174714
6.00113	0.00174809
6.50111	0.00173951
7.00111	0.00173856
7.50111	0.00173093
8.0011	0.00172902
8.5011	0.00172139
9.0011	0.00171948
9.5011	0.00171948
10.0011	0.00171281
10.5007	0.00170613
11.0011	0.00170518
11.5011	0.00170327
12.0011	0.00169755
12.5011	0.00169946
13.0011	0.00169564
13.5011	0.00169183
14.0011	0.00168134
14.5011	0.00167561
15.0011	0.00167275
15.501	0.00167275
16.001	0.00166608
16.501	0.00165749
17.001	0.00165368
17.501	0.0016451
18.001	0.00163651
18.501	0.00163174
19.001	0.0016203
19.501	0.00161649
20.001	0.00161362
20.501	0.00160981
21.001	0.00159741
21.501	0.00159455
22.001	0.00159169
22.501	0.0015812
23.001	0.00158311
23.501	0.0015812
24.001	0.00157738
24.501	0.00156594
25.001	0.0015564
25.501	0.00154401
26.001	0.00153733
26.501	0.00152779
27.001	0.00151921
27.5009	0.00151635
28.0009	0.00150967
28.5009	0.001503
29.0009	0.00150014
29.5009	0.00148774
30.0009	0.0014763
30.5009	0.00147153
31.0009	0.00146008
31.5009	0.00144673
32.0009	0.0014391
32.5009	0.00143433
33.0009	0.00143052
33.5009	0.00142194
34.0009	0.00141335
34.5009	0.00140096
35.0009	0.00139142
35.5009	0.00137997
36.0009	0.00137044
36.5009	0.0013609
37.0009	0.00135518
37.5009	0.00135041
38.0009	0.00133324
38.5009	0.0013218
39.0009	0.00131036
39.5009	0.00130082
40.0009	0.00128842
40.5008	0.00127602
41.0008	0.00126553
41.5008	0.00125504
42.0008	0.00124551
42.5008	0.00123978
43.0008	0.00122643
43.5008	0.00121785
44.0008	0.00120354
44.5008	0.00118829
45.0008	0.0011778
45.5008	0.00116444
46.0008	0.001153
46.5008	0.00114442
47.0008	0.00113107
47.5008	0.00111104
48.0008	0.00110627
48.5008	0.00109196
49.0008	0.00107384
49.5008	0.00106335
50.0008	0.00104523
50.5008	0.00103284
51.0008	0.00102235
51.5008	0.00100613
52.0008	0.000990875
52.5008	0.000977524
53.0008	0.000963215
53.5007	0.000949863
54.0007	0.000934605
54.5007	0.000926975
55.0007	0.000914577
55.5007	0.000901226
56.0007	0.000886921
56.5007	0.000871662
57.0007	0.00085545
57.5007	0.000841144
58.0007	0.000832561
58.5007	0.00081921
59.0007	0.000804905
59.5007	0.000789646
60.0007	0.000777248
60.5007	0.000760082
61.0007	0.00074387
61.5007	0.000723843
62.0007	0.000705723
62.5007	0.000688557
63.0007	0.000675205
63.5007	0.000657085
64.0007	0.000645641
64.5007	0.000630382
65.0007	0.00061417
65.5007	0.000597958
66.0006	0.000581745
66.5006	0.000562672
67.0006	0.000547413
67.5006	0.000527386
68.0006	0.000514034
68.5006	0.000500683
68.9992	0.000487329
69.4987	0.000473024
69.9985	0.000452997
70.5006	0.000441553
71.0006	0.000426294
71.5006	0.000411989
72.0006	0.000394823
72.5006	0.000378611
73.0006	0.000361444
73.5006	0.000347139
74.0006	0.000332834
74.5006	0.000317575
75.0006	0.000308992
75.5006	0.00029278
76.0006	0.000276567
76.5006	0.000260355
77.0006	0.000241281
77.5006	0.00023079
78.0002	0.000216485
78.5006	0.000205041
79.0005	0.000189782
79.5005	0.000176431
80.0005	0.00016594
80.5005	0.000149728
81.0005	0.000136376
81.5005	0.00012684
82.0005	0.000110627
82.5005	9.82E-05
83.0005	8.77E-05
83.5005	7.06E-05
84.0005	5.34E-05
84.5005	4.20E-05
85.0005	3.91E-05
85.5005	4.58E-05
86.0004	5.53E-05
86.5005	6.39E-05
86.9999	7.06E-05
87.4996	6.87E-05
88.0005	6.77E-05
88.5005	6.58E-05
89.0005	6.58E-05
89.5005	6.58E-05
90.0005	6.77E-05
90.5005	6.49E-05
91.0005	6.39E-05
91.5005	6.49E-05
92.0005	6.39E-05
92.5003	5.91E-05
93.0004	6.01E-05
93.5004	6.01E-05
94.0004	6.10E-05
94.5004	5.82E-05
95.0004	6.01E-05
95.5004	6.01E-05
96.0004	5.91E-05
96.5004	5.53E-05
97.0004	5.53E-05
97.5004	5.91E-05
98.0004	5.72E-05
98.5004	5.63E-05
99.0004	5.53E-05
99.5004	5.53E-05
100	5.44E-05
100.5	5.15E-05
101	4.96E-05
101.5	4.77E-05
102	4.58E-05
102.499	4.67E-05
103	4.39E-05
103.499	4.10E-05
104	3.43E-05
104.5	3.34E-05
105	3.05E-05
105.5	2.86E-05
106	3.05E-05
106.5	2.57E-05
107	2.29E-05
107.5	2.38E-05
108	2.19E-05
108.5	1.91E-05
109	1.81E-05
109.5	2.19E-05
110	1.72E-05
110.5	1.43E-05
111	1.43E-05
111.5	1.53E-05
112	1.53E-05
112.5	1.53E-05
113	1.53E-05
113.5	1.62E-05
114	1.81E-05
114.5	2.38E-05
115	3.53E-05
115.5	4.58E-05
116	5.53E-05
116.5	7.06E-05
117	7.82E-05
117.5	8.39E-05
118	8.77E-05
118.5	8.77E-05
119	9.25E-05
119.5	9.73E-05
120	9.73E-05
120.5	0.000105858
121	0.000110627
121.5	0.000116349
122	0.000123025
122.5	0.000136376
123	0.000144006
123.5	0.000152589
124	0.000164033
124.5	0.000177384
125	0.000185014
125.5	0.00019455
126	0.000199319
126.5	0.000205995
127	0.0002203
127.5	0.000224114
128	0.000219346
128.5	0.000207902
129	0.000181199
129.5	0.000161172
130	0.00013733
130.5	0.000110627
131	9.16E-05
131.5	8.20E-05
132	8.20E-05
132.5	7.92E-05
133	7.44E-05
133.5	6.20E-05
134	5.63E-05
134.5	4.86E-05
135	4.39E-05
135.5	4.29E-05
136	4.39E-05
136.5	4.39E-05
137	4.77E-05
137.5	4.39E-05
138	4.58E-05
138.5	4.67E-05
139	5.05E-05
139.5	4.77E-05
140	5.15E-05
140.5	5.53E-05
141	5.44E-05
141.5	6.49E-05
142	6.77E-05
142.5	7.06E-05
143	6.96E-05
143.5	6.68E-05
144	5.53E-05
144.5	5.25E-05
145	4.67E-05
145.5	4.58E-05
146	4.39E-05
146.5	4.20E-05
147	4.29E-05
147.5	4.10E-05
148	4.29E-05
148.5	4.58E-05
149	4.20E-05
149.5	4.39E-05
150	4.01E-05
150	4.20E-05
-33.9987	0.00230314
-33.4987	0.0022278
-32.9987	0.00215532
-32.4987	0.00209238
-31.9987	0.00204183
-31.4987	0.00199033
-30.9987	0.00194836
-30.4987	0.00190831
-29.9987	0.00187398
-29.4987	0.00184823
-28.9987	0.00182057
-28.4987	0.00179864
-27.9987	0.00177098
-27.4987	0.00175763
-26.9987	0.00173856
-26.4987	0.0017252
-25.9987	0.00170995
-25.4987	0.00169183
-24.9988	0.00168229
-24.4988	0.00166512
-23.9988	0.00165559
-23.4988	0.00165177
-22.9988	0.00163937
-22.4988	0.0016451
-21.9988	0.00164128
-21.4988	0.00163747
-20.9988	0.00163174
-20.4988	0.00162698
-19.9988	0.00162316
-19.4988	0.00161172
-18.9988	0.00161172
-18.4988	0.00160981
-17.9988	0.00161362
-17.4988	0.00161553
-16.9988	0.00161172
-16.4988	0.00161267
-15.9988	0.00161362
-15.4988	0.00161076
-14.9988	0.00161267
-14.4988	0.00161362
-13.9988	0.00161458
-13.4988	0.00161744
-12.9988	0.00161935
-12.4989	0.00161649
-11.9989	0.00161839
-11.4989	0.00161362
-10.9989	0.00161267
-10.4989	0.00161458
-9.99887	0.00161172
-9.49887	0.00161362
-8.99887	0.00161267
-8.49889	0.00161744
-7.99889	0.00161553
-7.49889	0.00161649
-6.9989	0.00161362
-6.4989	0.00161935
-5.9989	0.00162125
-5.4989	0.00162316
-4.9989	0.00162125
-4.49892	0.0016203
-3.99892	0.00161839
-3.49893	0.00162316
-2.99893	0.00162507
-2.49893	0.00162698
-1.99911	0.00162984
-1.49896	0.00162698
-0.999329	0.00162793
-0.498947	0.00162793
0.00105286	0.00162507
0.501038	0.00163079
1.00104	0.00162698
1.50104	0.00162698
2.00104	0.00162698
2.50104	0.0016203
3.00104	0.00161649
3.50102	0.00161458
4.00102	0.0016203
4.50101	0.00161839
5.00101	0.00161362
5.50101	0.00161649
6.00101	0.00161076
6.50101	0.00161267
7.001	0.00161267
7.501	0.0016079
8.00098	0.00161649
8.50098	0.00161553
9.00098	0.00161362
9.50098	0.00160981
10.001	0.00160409
10.501	0.00159932
11.001	0.0015955
11.501	0.00159169
12.001	0.00159169
12.5009	0.00159455
13.0009	0.00159646
13.5009	0.0015955
14.0009	0.0015936
14.5009	0.00158978
15.0009	0.00158501
15.5009	0.00157929
16.0009	0.00157357
16.5009	0.00157357
17.0009	0.00157452
17.5009	0.00157643
18.0009	0.00157452
18.5009	0.00157166
19.0009	0.00156499
19.5009	0.00155831
20.0009	0.0015564
20.5009	0.00155354
21.0009	0.00155164
