Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
-18.9987	0.000679675
-18.7487	0.000669423
-18.4987	0.000670675
-18.2487	0.000662092
-17.9987	0.000646535
-17.7487	0.000628773
-17.4987	0.000623468
-17.2487	0.000620846
-16.9987	0.000613097
-16.7505	0.000600282
-16.5007	0.000595096
-16.2487	0.000594441
-15.9987	0.000587109
-15.7487	0.00058401
-15.4987	0.000582162
-15.2487	0.000576917
-14.9987	0.00056887
-14.7487	0.000561837
-14.4987	0.000557665
-14.2487	0.00055683
-13.9987	0.000551287
-13.7487	0.000538711
-13.4987	0.000528995
-13.2487	0.000525597
-12.9987	0.000522796
-12.7487	0.000517551
-12.4987	0.000509921
-12.2487	0.00050861
-11.9987	0.000502411
-11.7487	0.000503425
-11.4987	0.000501279
-11.2487	0.000499312
-10.9987	0.000495736
-10.7487	0.000492219
-10.4987	0.000487866
-10.2487	0.000482323
-9.99876	0.000479283
-9.74875	0.000473024
-9.49876	0.000472786
-9.24876	0.000466527
-8.99876	0.000465216
-8.74876	0.000468196
-8.49876	0.000462176
-8.24878	0.000463368
-7.99876	0.000458898
-7.74878	0.00046319
-7.49878	0.000464739
-7.24878	0.00046468
-6.99878	0.000461997
-6.74878	0.000466408
-6.49878	0.00045556
-6.24878	0.000456514
-5.99879	0.000456395
-5.74878	0.000455322
-5.49879	0.000453951
-5.24879	0.000451507
-4.99879	0.000449063
-4.74879	0.000447514
-4.49879	0.000447216
-4.24879	0.000446262
-3.99879	0.000443878
-3.74881	0.000446739
-3.49881	0.000445964
-3.24881	0.00044656
-2.99881	0.000443818
-2.74881	0.000446858
-2.49881	0.000442686
-2.24881	0.000443699
-1.99883	0.000444354
-1.74883	0.000443639
-1.49883	0.000440123
-1.24883	0.000442328
-0.998825	0.00044197
-0.748825	0.000438454
-0.498825	0.00043893
-0.248825	0.000439586
0.00117493	0.000437023
0.25116	0.000437083
0.50116	0.000440838
0.75116	0.00043899
1.00116	0.000439944
1.25116	0.00044054
1.50116	0.000443162
1.75116	0.000441791
2.00116	0.000441672
2.25114	0.000440957
2.50114	0.000436665
2.75114	0.00043446
3.00114	0.000434937
3.25114	0.000438692
3.50114	0.000433208
3.75114	0.000433924
4.00113	0.000435473
4.25113	0.000431778
4.50113	0.000435235
4.75113	0.000432434
5.00113	0.000429692
5.25113	0.000434937
5.50043	0.000437023
5.75111	0.000437738
6.00113	0.000436904
6.25111	0.000434102
6.50111	0.000436785
6.75111	0.000429751
7.00111	0.000431539
7.25111	0.000431778
7.50111	0.000431599
7.75111	0.000431599
8.0011	0.000427844
8.25111	0.000429453
8.5011	0.00043142
8.7511	0.000435116
9.0011	0.000440003
9.2511	0.000437321
9.50011	0.00043142
9.75024	0.000436725
10.0004	0.000435473
10.2499	0.000434758
10.5011	0.00043303
10.7511	0.000433447
11.0011	0.000434579
11.2511	0.000431838
11.5011	0.000434043
11.7511	0.000436308
12.0011	0.000438454
12.2511	0.00044048
12.5011	0.000445189
12.7511	0.000445368
13.0011	0.000439884
13.2511	0.000441255
13.5011	0.000436546
13.7511	0.000431838
14.0011	0.000434401
14.2511	0.000432136
14.5011	0.000434758
14.7511	0.000432016
15.0011	0.000439705
15.2511	0.000442686
15.501	0.000440599
15.7511	0.000444116
16.001	0.000445249
16.251	0.000446619
16.501	0.000447454
16.751	0.000446977
17.001	0.000445547
17.251	0.000447216
17.501	0.000447514
17.751	0.000443103
18.001	0.000444295
18.251	0.000444235
18.501	0.000443282
18.751	0.000445487
19.001	0.000450196
19.251	0.000450553
19.501	0.000452461
19.751	0.000453116
20.001	0.000454666
20.251	0.000455858
20.501	0.00045562
20.751	0.000457944
21.001	0.000453534
21.251	0.000456454
21.501	0.000453891
21.751	0.000457706
22.001	0.000458362
22.251	0.000460627
22.501	0.000462594
22.751	0.000467779
23.001	0.000468137
23.251	0.000467421
23.501	0.000465633
23.751	0.0004676
24.001	0.000470879
24.251	0.000471892
24.501	0.000471892
24.751	0.000470938
24.9994	0.00047374
25.251	0.000469925
25.501	0.000467958
25.751	0.000465753
26.001	0.000461342
26.251	0.000457169
26.501	0.00046015
26.751	0.000461282
27.001	0.000461461
27.251	0.000464799
27.5009	0.000472726
27.751	0.000477137
28.0009	0.000478806
28.251	0.00047219
28.5009	0.000472965
28.7509	0.000472726
29.0009	0.00047219
29.2509	0.000473859
29.5009	0.000476958
29.7509	0.000467898
30.0009	0.000465574
30.2509	0.000459554
30.5009	0.000453355
30.7509	0.00045556
31.0009	0.000456216
31.2509	0.000457885
31.5009	0.000458958
31.7509	0.000462415
32.0009	0.000454905
32.2509	0.000455739
32.5009	0.000448884
32.7509	0.000446977
33.0009	0.000447752
33.2509	0.000445964
33.5009	0.000445547
33.7509	0.000443818
34.0009	0.000442268
34.2509	0.000436367
34.5009	0.000432255
34.7509	0.000427367
35.0009	0.000421764
35.2509	0.000420155
35.5009	0.000419619
35.7508	0.000421824
36.0009	0.000421824
36.2509	0.000420453
36.5008	0.000417592
36.7509	0.000415983
37.0009	0.000414016
37.2509	0.000411691
37.5009	0.00040734
37.7509	0.000404539
38.0009	0.000396969
38.2509	0.000395836
38.5009	0.000393154
38.7509	0.000388624
39.0009	0.000384452
39.2509	0.000381829
39.5009	0.000380279
39.7509	0.00037867
40.0009	0.000377836
40.2509	0.000376107
40.5008	0.000370385
40.7509	0.000368478
41.0008	0.000370624
41.2508	0.000363531
41.5008	0.000363888
41.7508	0.000356497
42.0008	0.000356616
42.2508	0.000352742
42.5008	0.000353815
42.7508	0.000353636
43.0008	0.000350239
43.2508	0.000348153
43.5008	0.000345649
43.7508	0.000342073
44.0008	0.000337662
44.2508	0.000338258
44.5008	0.000327231
44.7508	0.000328125
45.0008	0.000325562
45.2508	0.000320079
45.5008	0.00031543
45.7508	0.000315966
46.0008	0.000314297
46.2508	0.00031233
46.5008	0.000308456
46.7508	0.000307681
47.0008	0.000305893
47.2508	0.00030482
47.5008	0.000302078
47.7508	0.000302376
48.0001	0.000299277
48.2497	0.000298264
48.5008	0.000291528
48.7508	0.000291171
49.0008	0.00028819
49.2508	0.000286641
49.5008	0.000285925
49.7508	0.000284674
50.0008	0.000280919
50.2508	0.000281038
50.5008	0.00027776
50.7508	0.000278475
51.0008	0.000277879
51.2508	0.000272693
51.5008	0.0002687
51.7508	0.000264706
52.0008	0.000263872
52.2508	0.000257494
52.5008	0.000259163
52.7508	0.000254454
53.0008	0.000249268
53.2508	0.00024909
53.5007	0.000249805
53.7508	0.000246705
54.0007	0.000243665
54.2507	0.000241459
54.5007	0.000239314
54.7507	0.00023991
55.0007	0.000239314
55.2507	0.000236691
55.5007	0.000235499
55.7507	0.000233055
56.0007	0.000229121
56.2507	0.000226618
56.5007	0.000227095
56.7507	0.000225843
57.0007	0.000223757
57.2507	0.000218273
57.5007	0.000215829
57.7507	0.000213922
58.0007	0.00021267
58.2507	0.000211061
58.5007	0.000208498
58.7507	0.000213028
59.0007	0.000207783
59.2502	0.000207365
59.4995	0.000207664
59.7507	0.000200451
60.0007	0.000199259
60.2485	0.000193478
60.5007	0.000191809
60.7507	0.000196339
61.0007	0.000194372
61.2507	0.000193597
61.5007	0.000190736
61.7507	0.000184358
62.0007	0.000184954
62.2507	0.000179351
62.5007	0.000178755
62.7507	0.00017351
63.0002	0.00017047
63.2507	0.000169517
63.5007	0.000164271
63.7507	0.000165821
64.0007	0.00016594
64.2507	0.000167967
64.5007	0.000163079
64.7507	0.000163437
65.0007	0.000162066
65.2507	0.000158251
65.5007	0.000156821
65.7502	0.00015092
66.0003	0.000149191
66.2499	0.000149728
66.5	0.00014788
66.7498	0.00014329
66.9997	0.000142635
67.2494	0.000139714
67.5006	0.000140668
67.7506	0.000138522
68.0006	0.000140608
68.2506	0.000137568
68.5006	0.000133635
68.7506	0.000133575
69.0006	0.00012827
69.2506	0.000123979
69.5006	0.000124753
69.7506	0.000121952
70.0006	0.000124038
70.2506	0.000117243
70.5006	0.000116945
70.7506	0.000116289
71.0006	0.000114203
71.2506	0.000113607
71.5006	0.000108064
71.7506	0.000107348
72.0006	0.000105918
72.2506	0.000100673
72.5006	9.80E-05
72.7506	9.46E-05
73.0006	9.38E-05
73.2506	9.05E-05
73.5006	8.84E-05
73.7506	8.98E-05
74.0006	8.84E-05
74.2506	8.79E-05
74.5006	8.86E-05
74.7506	8.85E-05
75.0006	8.30E-05
75.2506	8.45E-05
75.5006	8.08E-05
75.7506	7.73E-05
76.0006	7.35E-05
76.2506	7.40E-05
76.5006	7.18E-05
76.7506	7.21E-05
77.0006	7.10E-05
77.2506	7.05E-05
77.5006	6.62E-05
77.7506	6.27E-05
78.0006	6.10E-05
78.2506	6.09E-05
78.5006	5.79E-05
78.7506	5.87E-05
79.0005	5.82E-05
79.2505	5.33E-05
79.5005	5.18E-05
79.7505	5.00E-05
80.0005	5.00E-05
80.2505	4.80E-05
80.5005	4.47E-05
80.7505	4.35E-05
81.0005	3.95E-05
81.2505	4.30E-05
81.5005	3.80E-05
81.7505	4.02E-05
82.0005	3.64E-05
82.2505	3.61E-05
82.5005	3.42E-05
82.7505	3.28E-05
83.0005	3.19E-05
83.249	2.88E-05
83.5005	3.11E-05
83.7505	2.71E-05
84.0005	2.60E-05
84.2505	2.49E-05
84.5005	2.13E-05
84.7505	1.53E-05
85.0005	1.54E-05
85.2505	1.24E-05
85.5005	9.89E-06
85.7505	1.03E-05
86.0005	1.10E-05
86.2505	1.09E-05
86.5005	1.34E-05
86.7505	1.36E-05
87.0005	1.32E-05
87.2505	1.53E-05
87.5005	1.20E-05
87.7505	1.25E-05
88.0005	1.14E-05
88.2504	9.78E-06
88.5005	1.03E-05
88.7505	1.11E-05
89.0005	7.39E-06
89.2505	1.01E-05
89.5005	1.16E-05
89.7505	7.63E-06
90.0005	8.82E-06
90.2505	1.09E-05
90.5005	1.13E-05
90.7505	1.01E-05
91.0005	1.29E-05
91.2505	1.10E-05
91.5005	1.16E-05
91.7505	1.04E-05
92.0005	9.24E-06
92.2505	1.09E-05
92.5005	6.32E-06
92.7504	1.01E-05
93.0004	8.52E-06
93.2504	9.54E-06
93.5004	9.78E-06
93.7504	8.40E-06
94.0004	1.06E-05
94.2504	7.69E-06
94.5004	1.09E-05
94.7504	8.05E-06
95.0004	1.20E-05
95.2504	1.07E-05
95.5004	1.05E-05
95.7504	1.20E-05
96.0004	1.14E-05
96.2504	8.34E-06
96.4999	9.00E-06
96.7499	8.29E-06
97.0002	1.11E-05
97.2498	1.06E-05
97.4993	7.39E-06
97.7504	1.19E-05
98.0004	8.82E-06
98.2504	1.17E-05
98.5004	7.63E-06
98.7504	1.05E-05
99.0004	9.48E-06
99.2504	8.82E-06
99.5004	9.06E-06
99.7504	8.94E-06
100	9.48E-06
100.25	9.48E-06
100.5	9.06E-06
100.75	7.81E-06
101	1.10E-05
101.25	1.17E-05
101.5	1.19E-05
101.749	9.72E-06
102	7.27E-06
102.25	1.11E-05
102.5	8.64E-06
102.75	1.10E-05
103	9.12E-06
103.25	1.28E-05
103.5	1.02E-05
103.75	1.30E-05
104	1.56E-05
104.25	1.33E-05
104.5	1.29E-05
104.75	1.48E-05
105	1.35E-05
105.25	1.22E-05
105.5	1.08E-05
105.75	1.39E-05
106	1.53E-05
106.25	1.32E-05
106.5	1.64E-05
106.75	1.50E-05
107	2.12E-05
107.25	2.09E-05
107.5	2.05E-05
107.75	1.96E-05
108	1.88E-05
108.25	1.84E-05
108.5	1.76E-05
108.75	2.20E-05
109	1.90E-05
109.25	2.26E-05
109.5	2.21E-05
109.75	2.43E-05
110	2.15E-05
110.25	2.47E-05
110.5	2.41E-05
