Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
-48.9987	0.000544552
-48.7487	0.000540737
-48.4987	0.000539783
-48.2487	0.000529293
-47.9987	0.000513081
-47.7487	0.000495914
-47.4987	0.000493053
-47.2487	0.000487329
-46.9987	0.000484468
-46.7487	0.000473024
-46.4987	0.000463488
-46.2487	0.000464441
-45.9987	0.000460627
-45.7487	0.000457766
-45.4987	0.000450136
-45.2487	0.000452043
-44.9987	0.000441553
-44.7487	0.000434877
-44.4987	0.000431063
-44.2487	0.000432016
-43.9987	0.00042248
-43.7487	0.000415804
-43.4987	0.000405313
-43.2487	0.000408174
-42.9987	0.000399591
-42.7487	0.000399591
-42.4987	0.000394823
-42.2487	0.000392916
-41.9987	0.000392916
-41.7487	0.000389101
-41.4987	0.000387194
-41.2487	0.000384333
-40.9987	0.000380518
-40.7487	0.00037575
-40.4987	0.000370981
-40.2487	0.000369074
-39.9988	0.000367166
-39.7487	0.000363352
-39.4988	0.000361444
-39.2488	0.000360491
-38.9988	0.000358583
-38.7488	0.000354769
-38.4988	0.000352861
-38.2488	0.000359537
-37.9988	0.000351908
-37.7488	0.000356676
-37.4988	0.000359537
-37.2488	0.000358583
-36.9988	0.000351908
-36.7488	0.000351908
-36.4988	0.000355722
-36.2488	0.000353815
-35.9988	0.000352861
-35.7491	0.000351908
-35.4988	0.000352861
-35.2488	0.000352861
-34.9988	0.000349047
-34.7488	0.00035
-34.4988	0.000348093
-34.2488	0.000349047
-33.9988	0.000346186
-33.7488	0.000347139
-33.4988	0.000347139
-33.2488	0.000349047
-32.9988	0.000349047
-32.7488	0.00035
-32.4989	0.000349047
-32.2488	0.00035
-31.9988	0.000352861
-31.7488	0.000349047
-31.4988	0.000353815
-31.2488	0.00035
-30.9988	0.000351908
-30.7488	0.000347139
-30.4988	0.000347139
-30.2488	0.000350954
-29.9988	0.00035
-29.7488	0.000347139
-29.4988	0.000351908
-29.2488	0.000353815
-28.9988	0.000353815
-28.7488	0.000354769
-28.4988	0.000353815
-28.2492	0.000355722
-27.9988	0.000358583
-27.749	0.000354769
-27.4989	0.000355722
-27.2489	0.000353815
-26.9989	0.000356676
-26.7489	0.000355722
-26.4989	0.000351908
-26.2489	0.000350954
-25.9989	0.00035
-25.7489	0.000355722
-25.4989	0.000354769
-25.2489	0.000354769
-24.9989	0.000356676
-24.7489	0.000358583
-24.4989	0.000361444
-24.2489	0.000356676
-23.9994	0.00035763
-23.7499	0.000356676
-23.5	0.00035763
-23.2489	0.000355722
-22.9989	0.000355722
-22.7489	0.000354769
-22.4989	0.000358583
-22.2489	0.000356676
-21.9989	0.000356676
-21.7489	0.000359537
-21.4989	0.000363352
-21.2489	0.000362398
-20.9989	0.000361444
-20.7489	0.000363352
-20.4989	0.000360491
-20.2489	0.000358583
-19.9989	0.000362398
-19.7489	0.000356676
-19.4989	0.000359537
-19.2489	0.000362398
-18.9989	0.000358583
-18.7489	0.000361444
-18.4989	0.000362398
-18.2489	0.000360491
-17.9989	0.000360491
-17.7489	0.000361444
-17.4989	0.000362398
-17.2489	0.000360491
-16.9989	0.000360491
-16.7489	0.000360491
-16.4989	0.000360491
-16.2489	0.000355722
-15.9989	0.000360491
-15.7489	0.000355722
-15.4989	0.000360491
-15.2489	0.000362398
-14.9989	0.000363352
-14.7489	0.000367166
-14.499	0.000362398
-14.2489	0.00036812
-13.999	0.000369074
-13.749	0.00036812
-13.499	0.000365259
-13.249	0.000369074
-12.999	0.000362398
-12.749	0.000365259
-12.499	0.000365259
-12.249	0.000362398
-11.999	0.000365259
-11.749	0.000365259
-11.499	0.000362398
-11.249	0.000365259
-10.999	0.000365259
-10.749	0.00036812
-10.499	0.000367166
-10.249	0.000367166
-9.99899	0.000365259
-9.74899	0.000366213
-9.49899	0.000367166
-9.24899	0.000366213
-8.99899	0.000365259
-8.74901	0.000366213
-8.49994	0.000365259
-8.25024	0.000369074
-7.999	0.000370027
-7.74901	0.000367166
-7.499	0.000366213
-7.24901	0.000369074
-6.99902	0.000372889
-6.74902	0.000369074
-6.49902	0.000369074
-6.24902	0.000371935
-5.99902	0.000371935
-5.74902	0.000372889
-5.49902	0.000370027
-5.24902	0.000371935
-4.99902	0.000367166
-4.74903	0.000370027
-4.49903	0.000369074
-4.24904	0.000369074
-3.99903	0.000365259
-3.74904	0.00036812
-3.49904	0.000369074
-3.24904	0.000369074
-2.99904	0.00036812
-2.74905	0.000371935
-2.49905	0.000370027
-2.24905	0.000376703
-1.99905	0.000371935
-1.74905	0.000373842
-1.49905	0.000376703
-1.2495	0.000374796
-0.999062	0.000373842
-0.749062	0.000376703
-0.499062	0.000373842
-0.249069	0.000373842
0.000938416	0.000371935
0.250931	0.000371935
0.500931	0.000371935
0.750923	0.000371935
1.00093	0.000373842
1.25092	0.000374796
1.50092	0.000372889
1.75092	0.000374796
2.00092	0.000380518
2.25092	0.00037575
2.50021	0.000374796
2.75092	0.000378611
3.00091	0.000377657
3.25092	0.00037575
3.50091	0.000378611
3.7509	0.000380518
4.00091	0.000373842
4.2509	0.000373842
4.5009	0.000373842
4.75089	0.000373842
5.0009	0.000373842
5.25089	0.00037575
5.50089	0.000370981
5.75089	0.000372889
6.00089	0.000374796
6.25028	0.000371935
6.50088	0.000373842
6.75089	0.000378611
7.00088	0.000374796
7.25089	0.00037575
7.50088	0.00037575
7.75087	0.000377657
8.00087	0.000373842
8.25087	0.000371935
8.50087	0.000372889
8.75086	0.000373842
9.00087	0.000369074
9.25086	0.000373842
9.50086	0.000373842
9.75086	0.000372889
10.0009	0.000371935
10.2508	0.000373842
10.5008	0.000374796
10.7509	0.000373842
11.0008	0.000367166
11.2508	0.000371935
11.5008	0.00036812
11.7508	0.000373842
12.0008	0.000370981
12.2508	0.000370027
12.5008	0.000371935
12.7508	0.000370981
13.0008	0.000370981
13.2508	0.000371935
13.5008	0.000369074
13.7508	0.000373842
14.0008	0.000371935
14.2506	0.000370027
14.5006	0.000370981
14.7508	0.000373842
15.0008	0.000369074
15.2508	0.000369074
15.5008	0.000369074
15.7508	0.000367166
16.0008	0.000366213
16.2508	0.000369074
16.5008	0.00036812
16.7508	0.000366213
17.0008	0.00036812
17.2508	0.000369074
17.5008	0.000367166
17.7508	0.000366213
18.0008	0.00036812
18.2508	0.000367166
18.5008	0.000362398
18.7508	0.000366213
19.0008	0.000369074
19.2508	0.000362398
19.5008	0.000367166
19.7508	0.000366213
20.0008	0.000365259
20.2508	0.000363352
20.5008	0.000365259
20.7508	0.000365259
21.0008	0.000365259
21.2508	0.000361444
21.5008	0.000360491
21.7508	0.000361444
22.0008	0.000359537
22.2508	0.000358583
22.5008	0.000360491
22.7508	0.000358583
23.0008	0.000359537
23.2508	0.000359537
23.5007	0.000353815
23.7508	0.000358583
24.0007	0.000360491
24.2507	0.00035763
24.5007	0.000355722
24.7507	0.000359537
25.0007	0.000362398
25.2507	0.000360491
25.5007	0.00035763
25.7507	0.000355722
26.0007	0.000358583
26.2507	0.000358583
26.5007	0.000355722
26.7507	0.000355722
27.0007	0.000353815
27.2507	0.000352861
27.5007	0.000351908
27.7507	0.00035
28.0007	0.000351908
28.2507	0.000351908
28.5007	0.00035
28.7507	0.000350954
29.0007	0.000351908
29.2507	0.000350954
29.5007	0.000351908
29.7507	0.000352861
30.0007	0.000349047
30.2507	0.000351908
30.5007	0.00035
30.7507	0.000349047
31.0007	0.000353815
31.2504	0.000349047
31.5007	0.00035
31.7507	0.000350954
32.0007	0.000347139
32.2507	0.000347139
32.5007	0.000347139
32.7507	0.000344278
33.0007	0.000341417
33.2507	0.000345232
33.5007	0.000344278
33.7507	0.00035
34.0007	0.000346186
34.2507	0.000344278
34.5007	0.000350954
34.7507	0.000348093
35.0007	0.000345232
35.2507	0.000348093
35.5007	0.000348093
35.7507	0.000346186
36.0006	0.000342371
36.2506	0.000343325
36.5006	0.000345232
36.7506	0.000347139
37.0006	0.000349047
37.2506	0.000350954
37.5006	0.000349047
37.7506	0.000355722
38.0006	0.000348093
38.2506	0.000351908
38.5006	0.000351908
38.7506	0.000352861
39.0006	0.000351908
39.2506	0.000354769
39.5006	0.000354769
39.7506	0.00035
40.0006	0.000358583
40.2506	0.000361444
40.5006	0.000359537
40.7506	0.000364305
41.0006	0.000364305
41.2506	0.000367166
41.5006	0.000367166
41.7506	0.000363352
42.0006	0.000367166
42.2506	0.000366213
42.5006	0.000366213
42.7506	0.000371935
43.0006	0.000370981
43.2506	0.000376703
43.5006	0.00037575
43.7506	0.000377657
44.0006	0.000387194
44.2506	0.000390055
44.5006	0.000389101
44.7506	0.000389101
45.0006	0.000391962
45.2506	0.000394823
45.5006	0.000395777
45.7506	0.000398638
46.0006	0.000395777
46.2506	0.000400545
46.5006	0.000405313
46.7506	0.000411035
47.0006	0.000418665
47.2502	0.000420572
47.5006	0.000429155
47.7506	0.000429155
48.0006	0.000430109
48.2505	0.000433924
48.5004	0.000437738
48.7503	0.000446321
49.0005	0.000448229
49.2495	0.000455858
49.4998	0.000459673
49.7505	0.000462534
50.0005	0.000462534
50.2505	0.00046158
50.5005	0.000467302
50.7505	0.000471117
51.0005	0.000477793
51.2505	0.000483515
51.5005	0.000490192
51.7505	0.000496868
52.0005	0.000509266
52.2505	0.000512127
52.5005	0.000518803
52.7505	0.000528339
53.0005	0.000546459
53.2505	0.000564579
53.5005	0.000561718
53.7505	0.000557903
54.0005	0.000548366
54.2505	0.000552181
54.5005	0.000564579
54.7505	0.000570301
55.0005	0.000579838
55.2505	0.000584606
55.5005	0.000594143
55.7505	0.000598911
56.0005	0.000602726
56.2505	0.000608448
56.5005	0.000616077
56.7505	0.000615124
57.0005	0.00061417
57.2505	0.000623707
57.4999	0.000641827
57.7505	0.000646595
57.9993	0.000653271
58.2501	0.000646595
58.5005	0.000641827
58.7505	0.000649456
59.0005	0.000670437
59.2505	0.000673298
59.5005	0.00068951
59.7505	0.000695232
60.0005	0.000695232
60.2505	0.000692371
60.5005	0.000699047
60.7505	0.000700001
61.0005	0.00069714
61.2505	0.000688557
61.5005	0.000692371
61.7505	0.000695232
62.0005	0.00069714
62.2505	0.000706676
62.5005	0.000710491
62.7504	0.000700001
63.0004	0.000699047
63.2504	0.00067902
63.5004	0.000683788
63.7504	0.000696186
64.0004	0.000710491
64.2504	0.000700954
64.5004	0.000675205
64.7504	0.000656132
65.0004	0.000653271
65.2504	0.000657085
65.5004	0.000657085
65.7504	0.000668529
66.0004	0.000675205
66.2504	0.000670437
66.5004	0.000659946
66.7504	0.00064278
67.0004	0.000634197
67.2504	0.000626568
67.5004	0.000616077
67.7504	0.000607494
68.0004	0.000597004
68.2504	0.000588421
68.5004	0.000580791
68.7504	0.000578884
69.0004	0.000571255
69.2504	0.000582699
69.5004	0.000581745
69.7504	0.000584606
70.0004	0.000569347
70.2504	0.000564579
70.5004	0.000552181
70.7504	0.000539783
71.0004	0.000530247
71.2504	0.000530247
71.5004	0.000523571
71.7504	0.000517849
72.0004	0.000509266
72.2504	0.000507358
72.5004	0.00050259
72.7504	0.000491146
73.0004	0.000486376
73.2504	0.000470163
73.5004	0.00046921
73.7504	0.000467302
74.0004	0.000464441
74.2504	0.000450136
74.5004	0.000438692
74.7504	0.000431063
75.0004	0.000425341
75.2503	0.000426294
75.5003	0.000420572
75.7503	0.000411035
76.0003	0.000401499
76.2503	0.000392916
76.5003	0.000391008
76.7503	0.000391962
77.0003	0.000379564
77.2503	0.000372889
77.5003	0.000362398
77.7503	0.000363352
78.0003	0.000359537
78.2503	0.00035
78.5003	0.000344278
78.7503	0.000330927
79.0003	0.000323297
79.2503	0.000317575
79.5003	0.000313761
79.7503	0.000307085
80.0003	0.000309946
80.2503	0.000296595
80.5003	0.000286104
80.7503	0.000280382
81.0003	0.000282289
81.249	0.000279428
81.5003	0.000269892
81.7503	0.000263216
82.0003	0.000261309
82.2503	0.000258448
82.5003	0.000251772
82.7503	0.000245096
83.0003	0.00023842
83.2503	0.000234605
83.5003	0.000232697
83.7503	0.000224114
84.0003	0.000216485
84.2503	0.000209809
84.5003	0.000201226
84.7503	0.000187875
85.0003	0.000163079
85.2503	0.000133515
85.5003	9.44E-05
85.7503	6.96E-05
86.0003	4.96E-05
86.2503	4.39E-05
86.5003	4.58E-05
86.7503	4.20E-05
87.0003	4.01E-05
87.2503	3.72E-05
87.5003	4.39E-05
87.7499	4.39E-05
88	4.58E-05
88.2502	4.29E-05
88.5002	4.67E-05
88.7502	4.58E-05
89.0002	4.96E-05
89.2502	4.58E-05
89.5002	5.15E-05
89.7502	5.05E-05
90.0002	5.05E-05
90.2502	5.05E-05
90.5002	5.34E-05
90.7502	5.53E-05
91.0002	5.44E-05
91.2502	6.01E-05
