Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
-33.9987	9.96E-05
-33.7487	0.000102073
-33.4987	9.70E-05
-33.2487	0.000100397
-32.9987	0.000102871
-32.7487	0.000101626
-32.4987	0.000100404
-32.2487	0.000101611
-31.9987	9.90E-05
-31.7487	9.67E-05
-31.4987	9.74E-05
-31.2487	9.76E-05
-30.9987	9.97E-05
-30.7487	9.91E-05
-30.4987	9.36E-05
-30.2487	9.14E-05
-29.9987	9.19E-05
-29.7487	9.04E-05
-29.4987	9.45E-05
-29.2487	8.97E-05
-28.9987	8.82E-05
-28.7487	8.69E-05
-28.4987	9.09E-05
-28.2487	8.67E-05
-27.9987	8.70E-05
-27.7487	8.56E-05
-27.4987	8.52E-05
-27.2487	8.92E-05
-26.9987	8.44E-05
-26.7487	8.64E-05
-26.4987	8.60E-05
-26.2487	8.43E-05
-25.9987	8.44E-05
-25.7487	8.52E-05
-25.4987	8.68E-05
-25.2487	8.34E-05
-24.9988	8.36E-05
-24.7487	8.42E-05
-24.4988	8.26E-05
-24.2488	8.40E-05
-23.9988	8.28E-05
-23.7488	8.60E-05
-23.4988	8.07E-05
-23.2503	8.59E-05
-23.0002	7.87E-05
-22.7488	8.68E-05
-22.4988	8.32E-05
-22.2488	8.32E-05
-21.9988	8.41E-05
-21.7488	8.29E-05
-21.4988	8.11E-05
-21.2488	8.03E-05
-20.9988	8.21E-05
-20.7488	8.25E-05
-20.4988	8.17E-05
-20.2488	8.25E-05
-19.9988	8.30E-05
-19.7488	8.06E-05
-19.4988	8.16E-05
-19.2488	8.18E-05
-18.9988	8.15E-05
-18.7488	8.20E-05
-18.4988	8.19E-05
-18.2488	8.30E-05
-17.9988	8.44E-05
-17.7488	8.15E-05
-17.4988	7.97E-05
-17.2488	8.07E-05
-16.9988	8.19E-05
-16.7488	8.11E-05
-16.4988	8.18E-05
-16.2488	8.37E-05
-15.9988	8.38E-05
-15.7488	7.91E-05
-15.4988	8.04E-05
-15.2488	8.04E-05
-14.9988	8.20E-05
-14.7488	7.96E-05
-14.4988	7.71E-05
-14.2488	8.26E-05
-13.9988	8.09E-05
-13.7488	7.88E-05
-13.4988	8.27E-05
-13.2488	8.14E-05
-12.9988	8.10E-05
-12.7489	8.19E-05
-12.4989	8.17E-05
-12.2489	8.52E-05
-11.9989	8.35E-05
-11.7489	8.54E-05
-11.4989	8.13E-05
-11.2489	8.13E-05
-10.9989	8.22E-05
-10.7489	8.41E-05
-10.4989	8.17E-05
-10.2489	8.44E-05
-9.99887	8.18E-05
-9.7495	8.21E-05
-9.49887	8.17E-05
-9.24889	8.24E-05
-8.99887	8.27E-05
-8.74889	8.16E-05
-8.49889	8.52E-05
-8.24889	8.39E-05
-7.99889	8.36E-05
-7.74889	8.68E-05
-7.49889	8.65E-05
-7.24889	8.52E-05
-6.9989	8.42E-05
-6.74889	8.38E-05
-6.4989	8.24E-05
-6.2489	8.42E-05
-5.9989	8.39E-05
-5.7489	8.40E-05
-5.4989	8.76E-05
-5.24892	8.41E-05
-4.9989	8.49E-05
-4.74892	8.59E-05
-4.49892	8.66E-05
-4.24892	8.40E-05
-3.99892	8.61E-05
-3.74892	8.77E-05
-3.49893	8.66E-05
-3.24892	8.56E-05
-2.99893	8.66E-05
-2.74892	8.87E-05
-2.49893	8.43E-05
-2.24893	8.90E-05
-1.99893	8.61E-05
-1.74893	8.36E-05
-1.49893	8.51E-05
-1.24895	8.62E-05
-0.998932	8.57E-05
-0.748947	8.54E-05
-0.498947	8.61E-05
-0.248947	8.81E-05
0.00105286	8.58E-05
0.251053	8.44E-05
0.501038	8.60E-05
0.751053	8.51E-05
1.00104	8.56E-05
1.25104	8.74E-05
1.50104	8.44E-05
1.75104	8.28E-05
2.00104	8.16E-05
2.25102	8.47E-05
2.50104	8.35E-05
2.75102	8.47E-05
3.00104	8.59E-05
3.25102	8.35E-05
3.50099	8.34E-05
3.75098	8.03E-05
4.00098	8.32E-05
4.25096	8.38E-05
4.50072	8.34E-05
4.75089	8.77E-05
5.00101	8.43E-05
5.25101	8.39E-05
5.50101	8.20E-05
5.75101	8.38E-05
6.00101	8.34E-05
6.25099	8.07E-05
6.50101	8.34E-05
6.75099	8.46E-05
7.001	8.01E-05
7.25099	8.12E-05
7.50064	8.41E-05
7.75047	7.91E-05
8.0006	7.83E-05
8.25098	8.10E-05
8.50098	7.97E-05
8.75098	8.19E-05
9.00098	8.23E-05
9.25098	8.30E-05
9.50098	8.27E-05
9.75098	8.01E-05
10.001	8.29E-05
10.251	8.14E-05
10.501	8.32E-05
10.751	8.12E-05
11.001	8.21E-05
11.251	8.02E-05
11.501	8.10E-05
11.751	8.11E-05
12.001	8.13E-05
12.251	8.01E-05
12.5009	8.13E-05
12.751	8.17E-05
13.0009	8.12E-05
13.2502	7.96E-05
13.5009	8.19E-05
13.7492	7.91E-05
13.9999	8.05E-05
14.2509	8.10E-05
14.5009	8.31E-05
14.7509	8.20E-05
15.0009	8.39E-05
15.2509	8.36E-05
15.5009	8.29E-05
15.7509	8.29E-05
16.0009	8.13E-05
16.2509	8.19E-05
16.5009	7.94E-05
16.7502	8.23E-05
16.9998	7.98E-05
17.2502	7.81E-05
17.4995	8.14E-05
17.7494	7.90E-05
18.0009	8.18E-05
18.2509	8.09E-05
18.5009	7.88E-05
18.7509	8.05E-05
19.0009	8.22E-05
19.2509	8.28E-05
19.5009	8.16E-05
19.7509	8.20E-05
20.0009	8.42E-05
20.2509	8.38E-05
20.5009	8.27E-05
20.7509	7.86E-05
21.0009	8.12E-05
21.2509	7.69E-05
21.5009	7.96E-05
21.7509	7.74E-05
22.0009	7.96E-05
22.2509	7.98E-05
22.5009	8.04E-05
22.7509	8.35E-05
23.0009	8.05E-05
23.2509	8.14E-05
23.5009	7.98E-05
23.7509	7.93E-05
24.0009	7.96E-05
24.2509	7.92E-05
24.5009	8.60E-05
24.7509	7.91E-05
25.0009	8.10E-05
25.2509	8.41E-05
25.5008	8.23E-05
25.7509	8.08E-05
26.0008	8.41E-05
26.2508	8.49E-05
26.5008	8.22E-05
26.7508	8.45E-05
27.0008	8.55E-05
27.2508	8.10E-05
27.5008	8.45E-05
27.7508	8.42E-05
28.0008	8.80E-05
28.2508	8.54E-05
28.5008	8.52E-05
28.7508	8.58E-05
29.0008	8.45E-05
29.2508	8.56E-05
29.5008	8.95E-05
29.7508	8.96E-05
30.0008	9.01E-05
30.2508	9.15E-05
30.5008	9.06E-05
