Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
-14.9991	0.0017562
-14.4991	0.00175811
-13.9991	0.00176383
-13.4991	0.00176955
-12.9991	0.00177193
-12.4991	0.0017767
-11.9991	0.00178242
-11.4997	0.00178767
-10.9991	0.00179339
-10.4991	0.00179721
-9.99915	0.0018015
-9.49915	0.00180245
-8.99915	0.0018077
-8.49915	0.00181103
-7.99916	0.00181676
-7.49916	0.00181914
-6.99916	0.001822
-6.49917	0.00182439
-5.99918	0.00182963
-5.49918	0.00183249
-4.9997	0.00183345
-4.49919	0.00183678
-3.99919	0.00184346
-3.49919	0.00184203
-2.9992	0.00185014
-2.4992	0.00184775
-1.99921	0.00185347
-1.49922	0.00185395
-0.999214	0.00186015
-0.499222	0.00186206
0.000778198	0.00186921
0.500778	0.00186921
1.00077	0.00186778
1.50077	0.0018735
2.00077	0.00187541
2.50076	0.00188113
3.00076	0.00188018
3.50075	0.00188399
4.00075	0.00188733
4.50075	0.00188781
5.00074	0.00189448
5.50074	0.00189257
6.00073	0.00190116
6.50072	0.00190593
7.00072	0.00191069
7.50072	0.00191499
8.00072	0.00192309
8.50071	0.00192834
9.00071	0.00193549
9.50071	0.0019374
10.0007	0.00194741
10.5007	0.00194646
11.0007	0.0019622
11.5007	0.00197031
12.0007	0.00198127
12.5007	0.00199224
13.0007	0.00200893
13.5001	0.00202085
14.0007	0.00203516
14.5007	0.00204755
15.0007	0.00206091
15.5007	0.00207712
16.0006	0.00209285
16.5006	0.00211526
17.0006	0.00213243
17.5006	0.00216009
18.0006	0.00218822
18.5006	0.00221206
19.0006	0.00223447
19.5002	0.00226261
20.0006	0.00227787
20.5006	0.00230171
21.0006	0.00232317
21.5006	0.00235225
22.0006	0.0023904
22.5006	0.00242139
23.0006	0.00245716
23.5006	0.00248815
24.0006	0.0025325
24.5006	0.0025654
25.0006	0.00260355
25.5002	0.00264503
26.0006	0.00269558
26.5006	0.00274707
27.0006	0.00279333
27.5006	0.00283767
28.0006	0.00287868
28.5006	0.00292541
29.0005	0.00296213
29.5005	0.00299169
30.0005	0.00301935
30.5005	0.00304796
31.0005	0.00305225
31.5005	0.00305273
32.0005	0.00305177
32.5005	0.00305177
33.0005	0.003047
33.5005	0.0030327
34.0005	0.00300981
34.5005	0.00299026
35.0005	0.00296308
35.5005	0.00293781
36.0005	0.00291158
36.5005	0.00287105
37.0005	0.00283481
37.5005	0.00280048
38.0005	0.00276472
38.5005	0.00271799
39.0005	0.00268175
39.5005	0.00264169
40.0005	0.00258018
40.5005	0.00252916
41.0005	0.00246193
41.5005	0.00240518
42.0005	0.00234272
42.5005	0.00228883
43.0004	0.00222541
43.5004	0.00216104
44.0004	0.00210144
44.5004	0.00204803
45.0002	0.00199319
45.5004	0.00194312
46.0004	0.00189544
46.5004	0.00184251
47.0004	0.00179625
47.5004	0.00175143
48.0004	0.00170518
48.5004	0.0016532
49.0004	0.00160981
49.5004	0.00156689
50.0004	0.00152779
50.5004	0.00148822
51.0004	0.0014577
51.5004	0.00142241
52.0002	0.00138379
52.5004	0.00135327
53.0004	0.00132037
53.5004	0.00129224
54.0004	0.00126363
54.5004	0.00123549
55.0004	0.00120593
55.5003	0.00118161
56.0003	0.001153
56.5003	0.00112582
57.0003	0.0011015
57.5003	0.00107003
58.0003	0.00105191
58.5003	0.00102855
59.0003	0.00100995
59.5002	0.000987537
60.0003	0.000967506
60.5003	0.000944618
61.0003	0.000922207
61.5003	0.00090218
62.0003	0.000880245
62.5003	0.000858311
63.0003	0.000835899
63.5003	0.000815395
64.0003	0.000796799
64.5003	0.000774864
65.0003	0.000756744
65.5003	0.000733379
66.0003	0.000715259
66.5003	0.000700954
66.9993	0.000677112
67.4998	0.000661854
68.0002	0.000643257
68.5002	0.000627045
69.0002	0.000611786
69.5002	0.000598434
70.0002	0.000576977
70.5002	0.000562195
71.0002	0.00054026
71.5002	0.000524525
72.0002	0.000506882
72.5002	0.000488285
73.0002	0.000474455
73.5002	0.000457766
74.0002	0.000443937
74.5002	0.000424864
75.0002	0.000410559
75.5002	0.000393869
76.0002	0.000377657
76.5002	0.000361921
77.0002	0.000345232
77.5002	0.000332834
78.0002	0.000314714
78.5002	0.000299932
79.0002	0.000284674
79.5002	0.000269415
80.0002	0.000252249
80.5002	0.000229836
81.0001	0.000202657
81.5001	0.000179292
82.0001	0.000152112
82.5001	0.000138284
83.0001	0.000129224
83.5001	0.000121594
84.0001	0.000123979
84.5001	0.000122071
85.0001	0.000122548
85.5001	0.000121594
86.0001	0.00012064
86.5001	0.000122071
87.0001	0.000118256
87.5001	0.000121594
88.0001	0.000118733
88.5001	0.000119687
89.0001	0.000123979
89.5001	0.000122548
90.0001	0.000122548
90.5001	0.000120163
90.9994	0.000120163
91.5001	0.000121594
92.0001	0.000123025
92.5001	0.000121117
93.0001	0.000121117
93.5001	0.00011921
94	0.000120163
94.5	0.00011921
95	0.00012064
95.5	0.000117779
96	0.000114918
96.5	0.000116826
97	0.000113965
97.5	0.000114441
98	0.000112057
98.5	0.000110627
99	0.000109673
99.5	0.000108243
99.9964	0.000113011
100	0.000113011
