Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
-29.9991	0.00351049
-29.4991	0.00363638
-28.9991	0.00371934
-28.4991	0.00350334
-27.9991	0.00318672
-27.4991	0.00283004
-26.9991	0.00240852
-26.4991	0.00223877
-25.9991	0.00216056
-25.4991	0.00210144
-24.9991	0.00206377
-24.4992	0.00203706
-23.9992	0.00200798
-23.4992	0.00198747
-22.9992	0.00196315
-22.4992	0.00194884
-21.9992	0.00193167
-21.4992	0.00191689
-20.9992	0.00191022
-20.4992	0.00189925
-19.9992	0.00189019
-19.4992	0.00188256
-18.9992	0.00187684
-18.4992	0.00187064
-17.9992	0.00186444
-17.4992	0.00186349
-16.9992	0.00185681
-16.4992	0.00185681
-15.9992	0.00185443
-15.4992	0.00185777
-14.9992	0.00185443
-14.4992	0.0018549
-13.9992	0.00184489
-13.4992	0.00184537
-12.9992	0.00184537
-12.4992	0.00184537
-11.9992	0.00184871
-11.4993	0.00185014
-10.9993	0.00185252
-10.4993	0.00184871
-9.99926	0.00184394
-9.49926	0.00184584
-8.99927	0.00184489
-8.49928	0.00184346
-7.99928	0.00184346
-7.49928	0.0018468
-6.99928	0.00184775
-6.49929	0.00184775
-5.99929	0.00185586
-5.49929	0.00184918
-4.9993	0.0018468
-4.49931	0.00185109
-3.99931	0.00184251
-3.49931	0.00184871
-2.99931	0.00184537
-2.49932	0.00184918
-1.99932	0.0018468
-1.49932	0.00184918
-0.999329	0.00185252
-0.500351	0.00185204
0.000663757	0.00184918
0.500656	0.00184632
1.00065	0.00184584
1.50065	0.00184155
2.00065	0.00184584
2.50064	0.00183774
3.00063	0.00183821
3.50063	0.00184346
4.00063	0.00183821
4.50063	0.00183821
5.00062	0.00183345
5.50062	0.00183059
6.00003	0.00182677
6.50022	0.00182343
6.99936	0.00182105
7.5006	0.00181771
8.0006	0.001822
8.5006	0.00182582
9.00059	0.00182343
9.50059	0.00182105
10.0006	0.00181199
10.5006	0.00181247
11.0006	0.00181103
11.5006	0.00180627
12.0006	0.00180627
12.5006	0.00180388
13.0006	0.00179911
13.5006	0.00179387
14.0005	0.00179578
14.5005	0.00178958
15.0005	0.00178529
15.5005	0.00178576
16.0005	0.00178338
16.5005	0.00178052
17.0005	0.00177384
17.5005	0.00177289
18.0005	0.0017748
18.5005	0.00177384
19.0005	0.00177336
19.5005	0.00177193
20.0005	0.0017686
20.5005	0.00176478
21.0005	0.00175477
21.5005	0.00174905
22.0005	0.00174714
22.5005	0.0017438
23.0005	0.00174237
23.5004	0.00173951
24.0005	0.00173569
24.5005	0.00173426
25.0005	0.00173045
25.5005	0.00172663
26.0005	0.00172854
26.5005	0.00173283
27.0005	0.00173379
27.5005	0.00173713
28.0004	0.00174809
28.5004	0.00174952
29.0004	0.00174952
29.5004	0.00175429
30.0004	0.00175286
30.5004	0.00175381
31.0004	0.00175334
31.5004	0.00174809
32.0004	0.00174905
32.5004	0.00175429
33.0004	0.00175811
33.5004	0.0017643
34.0004	0.0017748
34.5004	0.00179101
35.0004	0.00180293
35.5004	0.00181771
36.0004	0.00182534
36.5004	0.00183726
37.0004	0.00185061
37.5004	0.0018611
38.0004	0.00188018
38.5004	0.00189687
39.0004	0.00191785
39.5004	0.00194217
40.0004	0.00196458
40.5003	0.00199081
41.0003	0.00201704
41.5003	0.00203754
42.0003	0.00207235
42.5003	0.00210001
43.0003	0.00211813
43.5003	0.00213386
44.0003	0.0021558
44.5003	0.0021825
45.0003	0.00221016
45.5003	0.00223209
46.0003	0.00223161
46.5003	0.00225069
47.0003	0.00225402
47.5003	0.00225689
48.0003	0.00225212
48.5003	0.00224783
49.0003	0.0022402
49.5003	0.00222494
50.0003	0.00219585
50.5003	0.00216676
51.0003	0.00213434
51.5003	0.00210144
52.0003	0.00207187
52.5003	0.00203468
53.0002	0.00199653
53.5002	0.00195791
54.0002	0.00192357
54.5002	0.00187684
55.0002	0.00183011
55.5002	0.0017891
56.0002	0.00173283
56.5002	0.00168515
57.0002	0.00162745
57.5002	0.00157548
58.0002	0.00152112
58.5002	0.00147486
59.0002	0.00143958
59.5002	0.00140525
60.0002	0.00137425
60.5002	0.00133181
61.0002	0.00129891
61.5002	0.00126172
62.0002	0.00122071
62.5002	0.00118018
63.0002	0.0011468
63.5002	0.00111247
64.0002	0.00108338
64.5002	0.00105
65.0002	0.00102235
65.5002	0.000994213
65.9998	0.000967506
66.5001	0.000935558
66.9998	0.00091124
67.5001	0.000886921
68.0001	0.000855926
68.5001	0.000831608
69.0001	0.000806812
69.5001	0.000780586
70.0001	0.000757221
70.5001	0.000729565
71.0001	0.000711922
71.5001	0.000690941
72.0001	0.000666622
72.5001	0.000643257
73.0001	0.000625614
73.5001	0.000606541
74.0001	0.00058699
74.5001	0.000563625
75.0001	0.00054789
75.5001	0.000530723
76.0001	0.000510219
76.5001	0.000491623
77.0001	0.000473501
77.5001	0.000453951
78.0001	0.000440123
78.5001	0.000416281
79	0.000399115
79.5	0.000381948
80	0.000367643
80.5	0.000344278
81	0.000326635
81.5	0.000308516
82	0.000295641
82.5	0.000282766
83	0.000262739
83.5	0.000243188
84	0.000236035
84.5	0.000218869
85	0.000215531
85	0.000197888
