Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
-9.49925	0.000447275
-8.99927	0.000450673
-8.49927	0.000449719
-7.99928	0.000448765
-7.49928	0.000450613
-6.99928	0.000453712
-6.49928	0.000451924
-5.99928	0.000452342
-5.49928	0.000456216
-4.9993	0.000452729
-4.4993	0.000454934
-3.99931	0.000459583
-3.49931	0.000454487
-2.99931	0.000454457
-2.49937	0.000455381
-1.99968	0.000455501
-1.49931	0.000456186
-0.999329	0.000454666
-0.499329	0.000457229
0.000656128	0.000454606
0.500656	0.000456961
1.00066	0.000457497
1.50066	0.000456722
2.00066	0.000459196
2.50064	0.000456007
3.00064	0.000457915
3.50063	0.000457736
4.00063	0.0004586
4.50063	0.00045708
5.00063	0.000460448
5.50063	0.00045863
6.00063	0.000456514
6.50061	0.000458183
7.00061	0.000453027
7.5006	0.00045711
8.0006	0.000453087
8.5006	0.000451328
9.0006	0.000452073
9.50059	0.000448318
10.0006	0.000453385
10.5006	0.000457289
11.0006	0.00044802
11.5006	0.000450285
12.0006	0.000453027
12.5006	0.000451298
13.0006	0.000449391
13.5006	0.000448974
14.0006	0.000447633
14.5006	0.000446649
15.0005	0.000443311
15.5005	0.000445696
16.0005	0.000442417
16.5005	0.000443729
17.0005	0.000441553
17.5005	0.000438662
18.0005	0.000440272
18.5005	0.000439854
19.0005	0.00043896
19.5005	0.000435861
20.0005	0.00043443
20.5005	0.000434728
21.0005	0.000431838
21.5005	0.000430616
22.0005	0.000427069
22.5005	0.000424983
23.0005	0.000429334
23.5005	0.000424447
24.0005	0.000427069
24.5005	0.000424
25.0005	0.000421258
25.5005	0.000418784
25.9997	0.000416847
26.5005	0.00041792
27.0005	0.000414701
27.5005	0.000414135
28.0005	0.000407638
28.5004	0.000409188
29.0004	0.000408681
29.5004	0.000405075
30.0004	0.000401886
30.5004	0.000401976
31.0004	0.000396343
31.5004	0.00039685
32.0004	0.000395508
32.5004	0.000389369
33.0004	0.00038773
33.5004	0.000387253
34.0004	0.000386091
34.5004	0.000377866
35.0004	0.000381948
35.5004	0.000377657
36.0004	0.000374885
36.5004	0.000372292
37.0004	0.000371547
37.5004	0.000367077
38.0004	0.000364782
38.5004	0.000362905
39.0004	0.000358822
39.5004	0.000357719
40.0004	0.000356318
40.5004	0.000352116
41.0003	0.00034556
41.5003	0.000345321
42.0003	0.000343593
42.5003	0.000339421
43.0001	0.00033641
43.4994	0.000334235
43.9993	0.000331583
44.4995	0.000328811
45.0003	0.000327231
45.5003	0.000321569
46.0003	0.000317039
46.5003	0.000311585
47.0003	0.000310006
47.5003	0.000306429
48.0003	0.000302197
48.5003	0.000298442
49.0003	0.000294568
49.5003	0.000293048
50.0003	0.000290545
50.5003	0.000287654
51.0003	0.000283392
51.5003	0.000279548
52.0003	0.000272008
52.5003	0.00027171
53.0003	0.000266166
53.5003	0.000263156
54.0002	0.000258477
54.5002	0.000258626
55.0002	0.000249775
55.5002	0.000247212
56.0002	0.000243128
56.5002	0.000239612
57.0002	0.000238539
57.5002	0.000235171
58.0002	0.000234039
58.5002	0.000227899
59	0.000225396
59.5002	0.000217975
60.0002	0.000217349
60.5002	0.00021422
61.0002	0.000209899
61.5002	0.000209154
62.0002	0.000199289
62.5002	0.000196368
63.0002	0.000193895
63.5002	0.000190617
64.0002	0.000188203
64.5002	0.000182719
65.0002	0.000179977
65.5002	0.000176043
66.0002	0.000172646
66.5001	0.000169368
67.0001	0.000164957
67.5001	0.000160188
68.0001	0.000158072
68.5001	0.000158221
69.0001	0.000151903
69.5001	0.000150473
70.0001	0.000145049
70.5001	0.000139476
71.0001	0.00013891
71.4987	0.000133992
71.9989	0.000132055
72.4988	0.000127316
73.0001	0.000122488
73.5001	0.000118375
74.0001	0.000117124
74.5001	0.000108272
75.0001	0.000106067
75.5001	0.000102252
76.0001	0.000100017
76.5001	9.59E-05
77.0001	9.09E-05
77.5001	9.10E-05
78.0001	8.60E-05
78.5001	7.76E-05
79	7.43E-05
79.5	7.04E-05
80	6.82E-05
80.5	6.51E-05
81	6.29E-05
81.5	5.75E-05
82	5.86E-05
82.5	5.72E-05
83	5.04E-05
83.5	4.92E-05
84	4.60E-05
84.5	3.37E-05
85	2.87E-05
85	2.43E-05
-9.49925	0.000451745
-8.99927	0.000451477
-8.49927	0.000453593
-7.99928	0.000453027
-7.50095	0.000450315
-7.00101	0.000454994
-6.49928	0.000453742
-5.99928	0.000454964
-5.49928	0.000455977
