Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
85	2.06E-05
-0.00386047	0.000386657
0.12114	0.000385465
0.246155	0.000385733
0.371155	0.000386717
0.49617	0.000385107
0.62117	0.000385793
0.74617	0.000386151
0.871185	0.000384005
0.996185	0.000383468
1.12119	0.000382097
1.2462	0.000377478
1.3712	0.000378342
1.4962	0.000379594
1.62122	0.000378015
1.74622	0.000381382
1.87122	0.000379326
1.99623	0.000377061
2.12123	0.000380607
2.24625	0.000378938
2.37125	0.000379445
2.49625	0.000378938
2.62067	0.000379773
2.74474	0.000376644
2.86961	0.000381114
2.99461	0.000381233
3.11923	0.000382008
3.24628	0.00038165
3.37129	0.000381948
3.49629	0.000381323
3.62131	0.000383051
3.74631	0.000379803
3.87131	0.000384005
3.99632	0.000382425
4.12132	0.000381293
4.24632	0.000380399
4.37134	0.000377359
4.49634	0.000379773
4.62134	0.00038165
4.74635	0.00038022
4.87135	0.000377866
4.99635	0.0003787
5.12137	0.000381025
5.24637	0.000376793
5.37138	0.000375124
5.49638	0.00037715
5.62138	0.000378313
5.7464	0.000375869
5.8714	0.000376882
5.9964	0.000380041
6.12141	0.000379296
6.24641	0.000379058
6.37143	0.000380071
6.49643	0.000380101
6.62143	0.000379981
6.74644	0.000382902
6.87144	0.000380399
6.99646	0.000385078
7.12147	0.000379415
7.24647	0.000383617
7.37069	0.000379803
7.49486	0.000386061
7.61976	0.000379981
7.74494	0.000384809
7.86958	0.000383766
7.9965	0.000382515
8.1215	0.000384988
8.24651	0.000384958
8.37151	0.000385853
8.49653	0.000380727
8.62153	0.000380667
8.74653	0.000378432
8.87154	0.000380101
8.99654	0.000381084
9.12155	0.000380816
9.24576	0.000379624
9.37063	0.000381531
9.49596	0.00037724
9.62074	0.000376733
9.74537	0.00037417
9.87083	0.000375541
9.99527	0.000372233
10.1216	0.000374885
10.2466	0.000372918
10.3716	0.000373544
10.4966	0.000372471
10.6216	0.000373336
10.7466	0.000374021
10.8716	0.000375601
10.9966	0.000373306
11.1216	0.000374528
11.2466	0.000377359
11.3717	0.000379415
11.4967	0.000378313
11.6217	0.000379505
11.7466	0.000381293
11.8717	0.000379683
11.9967	0.000378551
12.1217	0.000379683
12.2467	0.000377061
12.3717	0.000378402
12.4967	0.000380756
12.6217	0.000378581
12.7467	0.000380578
12.8717	0.000379356
12.9967	0.000380041
13.1217	0.000380697
13.2467	0.000378789
13.3717	0.000377925
