Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
-0.00386047	0.000396939
0.12114	0.00039974
0.246155	0.000397118
0.371155	0.000397297
0.49617	0.000399085
0.62117	0.000398131
0.74617	0.000394734
0.871185	0.000394763
0.996185	0.000396701
1.12119	0.000395359
1.2462	0.000393214
1.3712	0.000393333
1.4962	0.000393094
1.62122	0.000392618
1.74622	0.000397148
1.87122	0.000392498
1.99623	0.000393601
2.12123	0.000394048
2.24625	0.000395807
2.37125	0.000392707
2.49625	0.000394793
2.62126	0.00039524
2.74626	0.000391813
2.87126	0.000394734
2.99504	0.000391992
3.11943	0.000391962
3.24463	0.00039229
3.36955	0.000391008
3.49629	0.000388982
3.62131	0.000388356
3.74631	0.000390204
3.87131	0.000392588
3.99632	0.000395568
4.12132	0.000393661
4.24632	0.000395687
4.37134	0.000395568
4.49634	0.000393482
4.62134	0.000393154
4.74635	0.000393571
4.87135	0.000391187
4.99635	0.000392796
5.12137	0.000397356
5.24637	0.000391783
5.37138	0.000394763
5.49638	0.000390919
5.62138	0.000391932
5.7464	0.000393065
5.8714	0.000393005
5.9964	0.000394614
6.12141	0.000394138
6.24641	0.000397088
6.37143	0.00039533
6.49643	0.000394585
6.62143	0.000396373
6.74644	0.00039527
6.87144	0.000394614
6.99646	0.000397684
7.12147	0.000393691
7.24647	0.000396522
7.37147	0.000395657
7.49648	0.00039372
7.62148	0.000397237
7.74648	0.00039831
7.8715	0.000396999
7.9965	0.000397028
8.1215	0.000395717
8.24651	0.000396909
8.37151	0.00039533
8.49653	0.000394197
8.62153	0.000391902
8.74653	0.000392141
8.87154	0.000393631
8.99654	0.000390561
9.12155	0.000391068
9.24656	0.000390681
9.37156	0.000387819
9.49645	0.000389637
9.6212	0.000387968
9.74658	0.00038472
9.87061	0.000387879
9.99607	0.000390025
10.1213	0.000386657
10.2453	0.000386002
10.3706	0.000388207
10.4966	0.000388326
10.6216	0.000386866
10.7466	0.000386508
10.8716	0.000389548
10.9966	0.000394912
11.1216	0.000388773
11.2466	0.000392796
11.3717	0.000389161
11.4967	0.000389131
11.6217	0.000389965
11.7467	0.000393214
11.8717	0.000391724
11.9967	0.000394138
12.1217	0.000394734
12.2467	0.000390442
12.3717	0.000392767
12.4961	0.000395628
12.6204	0.000394287
12.745	0.000396879
12.8717	0.000391247
12.9953	0.000389429
13.1204	0.000391873
13.2467	0.00039083
13.3717	0.000390651
13.4967	0.000390859
13.6217	0.000387849
13.7468	0.000386717
13.8718	0.000385584
13.9968	0.000383439
14.1218	0.000384213
14.2468	0.000382246
14.3718	0.000384452
14.4968	0.000383081
14.6218	0.000385376
14.7468	0.000384988
14.8718	0.000383588
14.9968	0.000383141
15.1218	0.00038171
15.2468	0.000383379
15.3718	0.00038171
15.4968	0.000380458
15.6218	0.000380518
15.7468	0.000387432
15.8719	0.000382693
15.9969	0.000383826
16.1219	0.000385793
16.2469	0.000384064
16.3719	0.000385018
16.4969	0.000387253
16.6219	0.000385227
16.7469	0.000387581
16.8719	0.000384124
16.9969	0.000387015
17.1219	0.000387104
17.2469	0.000387253
17.3714	0.00038779
17.4954	0.000383886
17.6219	0.000384809
17.7469	0.000378968
17.872	0.000379266
17.997	0.000376495
18.122	0.000376524
18.247	0.000378491
18.372	0.000374915
18.497	0.000373187
18.622	0.000374706
18.747	0.000376256
18.872	0.000374766
18.997	0.000375571
19.122	0.000375392
19.247	0.000376107
19.372	0.000378223
19.497	0.000380339
19.622	0.000378849
19.747	0.000378581
19.872	0.000380011
19.997	0.000384839
20.1221	0.000380816
20.2471	0.000382366
20.3721	0.000380905
20.4971	0.000379713
20.6221	0.000384333
20.7471	0.000383439
20.8721	0.000382425
20.9971	0.000383081
21.1221	0.000379058
21.2471	0.000378015
21.3721	0.000380071
21.4971	0.000378909
21.6221	0.000376107
21.7471	0.000375958
21.8721	0.000376912
21.9971	0.000374706
22.1221	0.000374915
22.2471	0.000372292
22.3722	0.00037575
22.4972	0.00037417
22.6222	0.000371339
22.7472	0.000371637
22.8722	0.000374289
22.9972	0.000374021
23.1222	0.000374081
23.2472	0.000371309
23.3722	0.000372441
23.4972	0.000373365
23.6222	0.00037569
23.7472	0.000373574
23.8722	0.000373723
23.9972	0.00037575
24.1222	0.000375332
24.2472	0.000373693
24.3722	0.000375004
24.4973	0.000371935
24.6213	0.000372799
24.7473	0.000378551
24.8723	0.000372918
24.9973	0.000372978
25.1223	0.000370385
25.2473	0.000369044
25.3723	0.000370683
25.4973	0.000367554
25.6223	0.00037265
25.7473	0.000367971
25.8723	0.000365825
25.9973	0.000366421
26.1223	0.000367226
26.2473	0.000360997
26.3723	0.000367107
26.4973	0.000361951
26.6224	0.000368984
26.7474	0.000370147
26.8724	0.000368388
26.9974	0.00036812
27.1224	0.000369521
27.2474	0.000371249
27.3724	0.00037122
27.4974	0.000370027
27.6224	0.000367166
27.7474	0.000369908
27.8724	0.000366898
27.9974	0.000368925
28.1224	0.000365885
28.2474	0.000365349
28.3724	0.000364216
28.4974	0.000363948
28.6224	0.000362994
28.7474	0.000359537
28.8724	0.000361593
28.9975	0.000361742
29.1225	0.000362726
29.2475	0.000363918
29.3725	0.000363709
29.4975	0.000365587
29.6225	0.000364305
29.7475	0.000362577
29.8725	0.000362189
29.9975	0.00036821
30.1225	0.000362488
30.2475	0.000366421
30.3725	0.000364931
30.4975	0.000364216
30.6225	0.000368686
30.7475	0.000366541
30.8725	0.000370802
30.9975	0.000364395
31.1226	0.000366094
31.2476	0.000367494
31.3726	0.000366988
31.4976	0.000361713
31.6226	0.000364365
31.7476	0.000365885
31.8726	0.00036365
31.9976	0.000360699
32.1226	0.000362607
32.2476	0.000360044
32.3726	0.000362547
32.4976	0.000361504
32.6226	0.000363501
32.7476	0.000361564
32.8726	0.000363739
32.9976	0.000362517
33.1226	0.000360223
33.2477	0.000362488
33.3727	0.000364872
33.4977	0.000366898
33.6227	0.000363531
33.7477	0.000365974
33.8727	0.000362488
33.9977	0.000364186
34.1227	0.000365706
34.2477	0.000361206
34.3727	0.000364633
34.4977	0.000365051
34.6227	0.000361921
34.7477	0.000364276
34.8727	0.000364723
34.9977	0.000365676
35.1227	0.00036359
35.2477	0.000366004
35.3727	0.000358315
35.4977	0.000355454
35.6228	0.000355693
35.7478	0.000356855
35.8728	0.000354977
35.9978	0.000357749
36.1228	0.000356259
36.2478	0.000352593
36.3728	0.000352206
36.4978	0.000352921
36.6228	0.000353428
36.7478	0.000354202
36.8728	0.000354083
36.9978	0.000353457
37.1228	0.000351848
37.2478	0.000356497
37.3728	0.00035009
37.4978	0.000355395
37.6228	0.000355871
37.7479	0.000353577
37.8729	0.000353696
37.9979	0.000355633
38.1229	0.000353636
38.2479	0.000354649
38.3729	0.000355484
38.4979	0.000355454
38.6229	0.000356259
38.7479	0.00035754
38.8729	0.000358047
38.9979	0.00035757
39.1229	0.000357689
