Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
-0.00386047	0.000103295
0.12114	0.000104383
0.246155	0.000104301
0.371155	0.000104726
0.49617	0.000103571
0.62117	0.000103944
0.74617	0.00010407
0.871185	0.000104003
0.996185	0.000103415
1.12119	0.000103944
1.2462	0.000101187
1.37091	0.00010524
1.4962	0.000105307
1.62122	0.000107237
1.74622	0.00010191
1.87122	0.000100844
1.99623	0.000104122
2.12123	0.0001015
2.24625	0.000103899
2.37125	0.000103131
2.49625	0.000103079
2.62126	0.000101455
2.74626	0.000100956
2.87126	9.79E-05
2.99628	0.000101082
3.12128	0.00010103
3.24628	9.93E-05
3.37129	0.000101038
3.49629	9.97E-05
3.62131	0.000103519
3.74631	0.000100479
3.87131	0.000101395
3.99632	0.000103295
4.12132	0.000103631
4.24632	0.000101291
4.37103	0.000103735
4.49634	0.00010033
4.62134	0.000102036
4.74635	0.000101105
4.87135	0.000102215
4.99635	0.000102565
5.12137	0.000103713
5.24637	0.000101381
5.37138	0.000101887
5.49638	0.000100784
5.62138	0.00010106
5.7464	0.000101574
5.8714	0.000100337
5.9964	0.000101991
6.12141	0.000101932
6.24641	0.000102327
6.37143	0.000101895
6.49643	9.87E-05
6.62143	0.000100419
6.74644	0.000100516
6.87144	0.000105344
6.99646	0.000101597
7.12147	9.95E-05
7.24647	9.73E-05
7.37147	0.000104279
7.49648	0.000100434
7.62148	0.000101172
7.74648	0.000101082
7.8715	0.000100561
7.9965	0.000101306
8.1215	0.000101842
8.24651	9.75E-05
8.37151	0.000101053
8.49653	0.000105978
8.62153	9.97E-05
8.74653	0.000103608
8.87154	0.000101641
8.99654	9.95E-05
9.12155	0.00010521
9.24605	0.00010106
9.37072	0.00010176
9.49657	9.94E-05
9.62157	0.000101664
9.74658	0.000102535
9.87159	9.79E-05
9.99659	0.000101626
10.1216	0.000100151
10.2466	0.000102856
10.3716	0.000103906
10.4966	9.92E-05
10.6216	0.000100166
10.7466	9.95E-05
10.8716	0.000101172
10.9966	9.94E-05
11.1216	9.88E-05
11.2466	0.00010264
11.3717	0.000103787
11.4967	9.65E-05
11.6217	9.86E-05
11.7467	0.000101552
11.8717	9.97E-05
11.9967	9.96E-05
12.1217	0.000104107
12.2467	0.000100054
12.3717	9.96E-05
12.4967	0.000100866
12.6217	0.000101462
12.7467	0.000100106
12.8717	9.91E-05
12.9967	9.55E-05
13.1217	0.000100524
13.2467	9.89E-05
13.3717	9.97E-05
13.4967	0.000104659
13.6217	0.000101932
13.7468	0.000103377
13.8718	0.000103236
13.9968	0.000102565
14.1218	0.000103444
14.2468	0.000103519
14.3718	0.000102781
14.4968	0.000104174
14.6218	0.000103683
14.7468	0.000101001
14.8718	0.000100002
14.9968	0.000101887
15.1218	0.000103742
15.2468	0.000101641
