Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
-0.00386047	0.000100606
0.12114	0.000100472
0.246155	9.93E-05
0.371155	0.000101001
0.49617	9.94E-05
0.62117	0.000104055
0.74617	9.88E-05
0.871185	0.00010378
0.996185	9.97E-05
1.12039	9.97E-05
1.2462	0.000101582
1.3712	9.78E-05
1.4962	0.000101485
1.62122	0.000102461
1.74622	0.000101626
1.87122	9.70E-05
1.99623	0.000100501
2.12123	0.000101865
2.24625	9.73E-05
2.37125	0.000100308
2.49625	9.68E-05
2.62126	9.77E-05
2.74626	0.000101619
2.87126	9.62E-05
2.99628	0.000100635
3.12128	9.80E-05
3.24628	9.66E-05
3.37129	9.73E-05
3.49629	9.70E-05
3.62131	9.81E-05
3.74631	9.83E-05
3.87131	9.61E-05
3.99632	0.000100263
4.12132	9.74E-05
4.24632	9.97E-05
4.37134	9.88E-05
4.49634	9.61E-05
4.62134	9.80E-05
4.74635	9.90E-05
4.87135	9.70E-05
4.99635	9.78E-05
5.12137	9.86E-05
5.24637	9.80E-05
5.37138	9.59E-05
5.49638	9.69E-05
5.62138	9.75E-05
5.7464	9.89E-05
5.8714	0.000100188
5.9964	9.60E-05
6.12141	9.57E-05
6.24641	9.71E-05
6.37143	9.87E-05
6.49643	0.00010074
6.62143	9.85E-05
6.74644	9.85E-05
6.87144	9.68E-05
6.99646	9.82E-05
7.12147	9.87E-05
7.24647	9.42E-05
7.37147	9.78E-05
7.49648	9.62E-05
7.62148	9.68E-05
7.74648	9.69E-05
7.8715	9.82E-05
7.9965	9.83E-05
8.1215	9.75E-05
8.24651	9.93E-05
8.37151	9.91E-05
8.49653	9.78E-05
8.62153	9.79E-05
8.74653	9.89E-05
8.87154	9.52E-05
8.99654	9.87E-05
9.12155	9.53E-05
9.24656	9.99E-05
9.37156	9.82E-05
9.49657	9.47E-05
9.62157	9.66E-05
9.74658	9.73E-05
9.87159	9.76E-05
9.99659	9.79E-05
10.1216	9.67E-05
10.2466	9.66E-05
10.3716	9.43E-05
10.4966	9.86E-05
10.6216	9.95E-05
10.7466	9.50E-05
10.8716	9.55E-05
10.9966	9.83E-05
11.1216	9.63E-05
11.2466	9.63E-05
11.3709	9.58E-05
11.4959	9.29E-05
11.621	9.45E-05
11.7456	9.53E-05
11.8717	9.33E-05
11.9967	9.85E-05
12.1217	9.64E-05
12.2467	9.83E-05
12.3717	9.45E-05
12.4967	9.84E-05
12.6217	9.73E-05
12.7467	9.55E-05
12.8717	9.83E-05
12.9967	9.79E-05
13.1217	9.74E-05
13.2467	9.90E-05
13.3717	0.000100933
13.4967	9.76E-05
13.6217	9.72E-05
13.7468	9.96E-05
13.8718	9.87E-05
13.9968	9.53E-05
14.1208	9.83E-05
14.2455	9.82E-05
14.3718	9.92E-05
14.4968	9.99E-05
14.6218	9.50E-05
14.7468	9.76E-05
14.8718	9.59E-05
14.9968	9.73E-05
15.1218	9.47E-05
15.2468	9.86E-05
15.3718	9.62E-05
15.4968	9.73E-05
15.6218	9.77E-05
15.7468	9.32E-05
15.8719	9.44E-05
15.9969	9.59E-05
16.1214	9.43E-05
16.2469	9.66E-05
16.3709	9.75E-05
16.4961	9.78E-05
16.6219	9.76E-05
16.7469	9.94E-05
16.8719	9.36E-05
