Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
-18.9987	0.00054932
-18.7487	0.000545505
-18.4987	0.000537876
-18.2487	0.000530247
-17.9987	0.000526432
-17.7487	0.000518803
-17.4987	0.000507358
-17.2487	0.000499729
-16.9987	0.0004921
-16.7487	0.0004921
-16.4987	0.0004921
-16.2487	0.000488285
-15.9987	0.000480654
-15.7487	0.000480654
-15.4987	0.000473024
-15.2487	0.000473024
-14.9987	0.000473024
-14.7487	0.00046921
-14.4987	0.000465395
-14.2487	0.000465395
-13.9987	0.000457766
-13.7487	0.000453951
-13.4987	0.000453951
-13.2487	0.000453951
-12.9987	0.000450136
-12.7487	0.000446321
-12.4987	0.000450136
-12.2487	0.000446321
-11.9987	0.000446321
-11.7487	0.000446321
-11.4987	0.000438692
-11.2487	0.000442507
-10.9987	0.000438692
-10.7487	0.000438692
-10.4987	0.000434877
-10.2487	0.000438692
-9.99876	0.000438692
-9.74875	0.000431063
-9.49876	0.000438692
-9.24876	0.000434877
-8.99876	0.000434877
-8.74876	0.000434877
-8.49876	0.000434877
-8.24878	0.000438692
-7.99876	0.000434877
-7.74878	0.000434877
-7.49878	0.000431063
-7.24878	0.000434877
-6.99878	0.000434877
-6.74878	0.000434877
-6.49994	0.000434877
-6.24878	0.000431063
-5.99879	0.000427248
-5.74878	0.000434877
-5.49879	0.000434877
-5.24879	0.000427248
-4.99879	0.000423433
-4.74879	0.000431063
-4.49881	0.000431063
-4.24879	0.000427248
-3.99879	0.000431063
-3.74881	0.000423433
-3.49881	0.000431063
-3.24881	0.000431063
-2.99881	0.000431063
-2.74881	0.000431063
-2.49881	0.000434877
-2.24881	0.000427248
-1.99883	0.000427248
-1.74883	0.000427248
-1.49883	0.000431063
-1.24883	0.000419619
-0.998825	0.000419619
-0.748825	0.000423433
-0.498825	0.000419619
-0.248856	0.000419619
0.00111389	0.000423433
0.25116	0.000423433
0.50116	0.000427248
0.75116	0.000423433
1.00116	0.000423433
1.25116	0.000431063
1.50116	0.000431063
1.75116	0.000423433
2.00116	0.000423433
2.25114	0.000423433
2.50114	0.000419619
2.75114	0.000419619
3.00114	0.000419619
3.25114	0.000423433
3.50114	0.000419619
3.75101	0.000419619
4.00113	0.000419619
4.25113	0.000419619
4.50113	0.000423433
4.75113	0.000427248
5.00113	0.000423433
5.25113	0.000427248
5.50113	0.000423433
5.75111	0.000419619
6.00113	0.000419619
6.25111	0.000419619
6.5011	0.000419619
6.75111	0.000419619
7.00111	0.000419619
7.25111	0.000419619
7.50111	0.000419619
7.75111	0.000427248
8.0011	0.000423433
8.25111	0.000423433
8.5011	0.000423433
8.7511	0.000427248
9.00012	0.000423433
9.2511	0.000423433
9.5011	0.000423433
9.75108	0.000423433
10.0011	0.000419619
10.2511	0.000419619
10.5011	0.000419619
10.7511	0.000419619
11.0011	0.000423433
11.2511	0.000427248
11.5011	0.000434877
11.7511	0.000431063
12.0011	0.000427248
12.2511	0.000427248
12.5011	0.000423433
12.7511	0.000419619
13.0011	0.000423433
13.2511	0.000423433
13.5011	0.000423433
13.7511	0.000427248
14.0011	0.000427248
14.2511	0.000427248
14.5011	0.000427248
14.7511	0.000431063
15.0011	0.000431063
15.2511	0.000431063
15.501	0.000434877
15.7511	0.000427248
16.001	0.000431063
16.2508	0.000431063
16.501	0.000434877
16.751	0.000427248
17.001	0.000423433
17.251	0.000419619
17.501	0.000423433
17.751	0.000427248
18.001	0.000423433
18.251	0.000427248
18.501	0.000427248
18.751	0.000431063
19.001	0.000431063
19.251	0.000434877
19.501	0.000434877
19.751	0.000434877
20.001	0.000427248
20.251	0.000427248
20.501	0.000427248
20.751	0.000423433
21.001	0.000419619
21.251	0.000423433
21.501	0.000431063
21.751	0.000431063
22.001	0.000431063
22.251	0.000427248
22.501	0.000427248
22.751	0.000427248
23.001	0.000438692
23.251	0.000434877
23.501	0.000438692
23.751	0.000438692
24.001	0.000438692
24.251	0.000438692
24.501	0.000434877
24.751	0.000431063
25.001	0.000423433
25.251	0.000423433
25.501	0.000423433
25.751	0.000423433
26.001	0.000427248
26.251	0.000423433
26.501	0.000427248
26.751	0.000431063
27.001	0.000434877
27.251	0.000427248
27.5009	0.000427248
27.751	0.000434877
28.0009	0.000427248
28.251	0.000427248
28.5009	0.000427248
28.7509	0.000427248
29.0009	0.000434877
29.2509	0.000431063
29.4991	0.000427248
29.7508	0.000415804
30.0009	0.000419619
30.2509	0.000415804
30.5009	0.000415804
30.7509	0.000415804
