Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
-18.9987	0.000587467
-18.7487	0.000579838
-18.4987	0.000579838
-18.2487	0.000572208
-17.9987	0.000564579
-17.7487	0.000553135
-17.4987	0.000541691
-17.2487	0.000534061
-16.9987	0.000541691
-16.7487	0.000534061
-16.4987	0.000526432
-16.2487	0.000522617
-15.9987	0.000511173
-15.7487	0.000507358
-15.4987	0.000511173
-15.2487	0.000507358
-14.9987	0.000499729
-14.7491	0.000503544
-14.4987	0.000495914
-14.2487	0.000495914
-13.9987	0.000488285
-13.7487	0.0004921
-13.4987	0.000484468
-13.2487	0.000488285
-12.9987	0.000488285
-12.7487	0.000488285
-12.4987	0.000488285
-12.2487	0.000484468
-11.9987	0.000495914
-11.7487	0.000488285
-11.4987	0.000480654
-11.2487	0.000473024
-10.9987	0.000476839
-10.7488	0.000473024
-10.4987	0.000473024
-10.2487	0.000473024
-9.99876	0.000473024
-9.74875	0.000473024
-9.49876	0.000473024
-9.24876	0.000473024
-8.99876	0.00046921
-8.74876	0.000465395
-8.49876	0.00046158
-8.24878	0.000465395
-7.99876	0.000473024
-7.74878	0.000473024
-7.49878	0.00046921
-7.24878	0.00046158
-6.99878	0.000465395
-6.74878	0.00046158
-6.49878	0.000457766
-6.24878	0.00046158
-5.99879	0.000453951
-5.74878	0.000450136
-5.49879	0.000457766
-5.24879	0.000453951
-4.99879	0.000450136
-4.74879	0.000453951
-4.49879	0.000450136
-4.24879	0.000453951
-3.99879	0.000453951
-3.74881	0.000457766
-3.49881	0.000453951
-3.24881	0.000457766
-2.99881	0.00046158
-2.74881	0.000453951
-2.49881	0.000453951
-2.24881	0.000450136
-1.99883	0.000450136
-1.74883	0.000450136
-1.49883	0.000450136
-1.24883	0.000446321
-0.998825	0.000450136
-0.748825	0.000450136
-0.498825	0.000446321
-0.248825	0.000450136
0.00117493	0.000450136
0.25116	0.000450136
0.50116	0.000450136
0.75116	0.000450136
1.00116	0.000450136
1.25116	0.000453951
1.50116	0.000450136
1.75116	0.000450136
2.00116	0.000446321
2.25114	0.000446321
2.50114	0.000446321
2.75114	0.000446321
3.00114	0.000446321
3.25114	0.000442507
3.50114	0.000442507
3.75114	0.000438692
4.00113	0.000446321
4.25113	0.000446321
4.50113	0.000446321
4.75113	0.000446321
5.00113	0.000446321
5.25113	0.000442507
5.50113	0.000446321
5.75111	0.000446321
6.00113	0.000438692
6.25111	0.000442507
6.50111	0.000438692
6.75111	0.000442507
7.00111	0.000438692
7.25111	0.000442507
7.50111	0.000442507
7.75111	0.000442507
8.0011	0.000446321
8.25111	0.000442507
8.5011	0.000442507
8.7511	0.000446321
9.0011	0.000442507
9.2511	0.000434877
9.5011	0.000434877
9.75108	0.000431063
10.0011	0.000431063
10.2511	0.000434877
10.5011	0.000431063
10.7511	0.000434877
11.0011	0.000438692
11.2511	0.000438692
11.5011	0.000438692
11.7511	0.000434877
12.0011	0.000431063
12.2511	0.000434877
12.5011	0.000434877
12.7511	0.000427248
13.0011	0.000427248
13.2511	0.000423433
13.5011	0.000423433
13.7511	0.000423433
14.0011	0.000427248
14.2511	0.000423433
14.5011	0.000427248
14.7511	0.000423433
15.0011	0.000419619
15.2511	0.000423433
15.501	0.000419619
15.7511	0.000423433
16.001	0.000419619
16.251	0.000415804
16.501	0.000415804
16.751	0.000415804
17.001	0.000415804
17.251	0.000415804
17.501	0.000415804
17.751	0.000415804
18.001	0.000415804
18.251	0.000415804
18.501	0.000411989
18.751	0.000408174
19.001	0.000411989
19.251	0.000411989
19.501	0.000400545
19.751	0.00040436
20.001	0.000400545
20.251	0.000400545
20.501	0.000400545
20.751	0.00039673
21.001	0.00039673
21.251	0.000400545
21.501	0.000400545
21.751	0.00039673
22.001	0.00039673
22.251	0.00040436
22.501	0.000400545
22.7508	0.00040436
23.001	0.00040436
23.251	0.000400545
23.501	0.000400545
23.751	0.00039673
24.001	0.000392916
24.251	0.000392916
24.501	0.000389101
24.751	0.000389101
25.001	0.000389101
25.251	0.000385286
25.501	0.000381472
25.751	0.000381472
26.001	0.000377657
26.251	0.000385286
26.501	0.000381472
26.751	0.000381472
27.001	0.000377657
27.251	0.000377657
27.5009	0.000373842
27.751	0.000373842
28.0009	0.000373842
28.251	0.000377657
28.5009	0.000366213
28.7509	0.000370027
29.0009	0.000366213
29.2509	0.000366213
29.5009	0.000366213
29.7509	0.000366213
30.0009	0.000366213
30.2509	0.000362398
30.5009	0.000362398
30.7509	0.000358583
31.0009	0.000358583
31.2509	0.000358583
31.5009	0.000358583
31.7509	0.000358583
32.0009	0.000358583
32.2509	0.000362398
32.5009	0.000362398
32.7509	0.000358583
33.0009	0.000354769
33.2509	0.000350954
33.5009	0.000343325
33.7509	0.00033951
34.0009	0.00033951
34.2509	0.00033951
34.5009	0.00033951
34.7509	0.00033951
35.0009	0.000335695
35.2509	0.000335695
35.5009	0.000335695
35.7509	0.00033951
36.0009	0.000335695
36.2509	0.000335695
36.5009	0.000335695
36.7509	0.000335695
37.0009	0.000331881
37.2509	0.000328066
37.5009	0.000324251
37.7509	0.000316622
38.0009	0.000316622
38.2509	0.000316622
38.5009	0.000316622
38.7509	0.000324251
39.0009	0.000316622
39.2509	0.000316622
39.5009	0.000316622
39.7509	0.000316622
40.0009	0.000312807
40.2509	0.000308992
40.5008	0.000312807
40.7509	0.000308992
41.0008	0.000308992
41.2508	0.000305178
41.5008	0.000301363
41.7508	0.000301363
42.0008	0.000301363
42.2508	0.000305178
42.5008	0.000301363
42.7508	0.000301363
43.0008	0.000297548
43.2508	0.000297548
43.5008	0.000293734
43.7508	0.000293734
44.0008	0.000282289
44.2508	0.000278475
44.5008	0.000282289
44.7508	0.000282289
45.0008	0.000278475
45.2508	0.000278475
45.5008	0.000278475
45.7508	0.000282289
46.0008	0.00027466
46.2508	0.000270845
46.5008	0.000270845
46.7508	0.000270845
47.0008	0.000263216
47.2508	0.000263216
47.5008	0.000263216
47.7508	0.000263216
48.0008	0.000259401
48.2508	0.000255587
48.5008	0.000255587
48.7508	0.000251772
49.0008	0.000247957
49.2508	0.000251772
49.5008	0.000247957
49.7508	0.000251772
50.0008	0.000247957
50.2508	0.000244142
50.5008	0.000236512
50.7508	0.000236512
51.0008	0.000228883
51.2508	0.000232697
51.5008	0.000228883
51.7508	0.000228883
52.0008	0.000221253
52.2508	0.000221253
52.5003	0.000217439
52.7508	0.000221253
53.0008	0.000213624
53.2508	0.000209809
53.5007	0.000209809
53.7508	0.000209809
54.0007	0.000209809
54.2507	0.000209809
54.5007	0.000205995
54.7507	0.00020218
55.0007	0.000198365
55.2507	0.00019455
55.5007	0.00019455
55.7499	0.000186921
56.0007	0.000183106
56.2507	0.000183106
56.5007	0.000179292
56.7507	0.000179292
57.0007	0.000175477
57.2507	0.000171662
57.5007	0.000167848
57.7507	0.000167848
58.0007	0.000167848
58.2507	0.000164033
58.5007	0.000160218
58.7507	0.000152589
59.0007	0.000152589
59.2507	0.000144959
59.5007	0.000141145
59.7507	0.00013733
60.0007	0.00013733
60.2507	0.000133515
60.5007	0.000133515
60.7507	0.000129701
61.0007	0.000122071
61.2507	0.000118256
61.5007	0.000110627
61.7507	0.000110627
62.0007	0.000110627
62.2507	0.000102997
62.5007	0.000102997
62.7507	9.92E-05
