Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
-18.9987	0.0004921
-18.7487	0.000484468
-18.4987	0.000484468
-18.2487	0.000476839
-17.9987	0.000473024
-17.7487	0.00046921
-17.4987	0.000457766
-17.2487	0.000446321
-16.9987	0.000446321
-16.7487	0.000446321
-16.4987	0.000446321
-16.2487	0.000438692
-15.9987	0.000431063
-15.7487	0.000434877
-15.4987	0.000427248
-15.2487	0.000427248
-14.9987	0.000423433
-14.7487	0.000419619
-14.4987	0.000419619
-14.2487	0.000419619
-13.9987	0.000419619
-13.7487	0.000415804
-13.4987	0.000419619
-13.2487	0.000415804
-12.9987	0.000411989
-12.7487	0.000411989
-12.4987	0.000415804
-12.2487	0.000415804
-11.9987	0.000411989
-11.7487	0.000415804
-11.4987	0.000411989
-11.2487	0.00040436
-10.9987	0.00040436
-10.7487	0.00040436
-10.4987	0.00040436
-10.2487	0.00040436
-9.99876	0.00040436
-9.74875	0.000400545
-9.49876	0.00040436
-9.24876	0.000400545
-8.99876	0.000400545
-8.74876	0.00039673
-8.49876	0.00039673
-8.24878	0.000400545
-7.99876	0.000400545
-7.74878	0.00039673
-7.49878	0.00039673
-7.24878	0.00039673
-6.99878	0.00040436
-6.74878	0.00039673
-6.49878	0.000400545
-6.24878	0.00039673
-5.99879	0.000392916
-5.74878	0.000392916
-5.49879	0.000392916
-5.24879	0.000392916
-4.99879	0.000392916
-4.74879	0.000392916
-4.49879	0.000392916
-4.24879	0.000392916
-3.99879	0.000392916
-3.74881	0.000392916
-3.49895	0.000392916
-3.24881	0.000392916
-2.99881	0.000392916
-2.74881	0.000400545
-2.49881	0.000392916
-2.24895	0.000392916
-1.99913	0.000392916
-1.74915	0.000392916
-1.49898	0.000392916
-1.24905	0.000389101
-0.998825	0.000392916
-0.750229	0.000389101
-0.499939	0.000389101
-0.249756	0.000389101
0.00117493	0.000389101
0.25116	0.000389101
0.50116	0.000392916
0.75116	0.000392916
1.00116	0.000392916
1.25116	0.000392916
1.50116	0.000392916
1.75116	0.000392916
2.00116	0.000389101
2.25114	0.000389101
2.50104	0.000389101
2.75072	0.000385286
3.00089	0.000385286
3.25087	0.000381472
3.50055	0.000377657
3.75078	0.000389101
4.00044	0.000385286
4.25113	0.000385286
4.50113	0.000389101
4.75113	0.000389101
5.00113	0.000389101
5.25113	0.000392916
5.50113	0.000389101
5.75111	0.000389101
6.00113	0.000385286
6.25111	0.000381472
6.50111	0.000389101
6.7511	0.000381472
7.00096	0.000385286
7.25108	0.000385286
7.50098	0.000389101
7.75066	0.000385286
8.00063	0.000385286
8.25031	0.000385286
8.50021	0.000381472
8.7511	0.000389101
9.0011	0.000389101
9.2511	0.000381472
9.5011	0.000381472
9.75108	0.000385286
10.0011	0.000377657
10.2511	0.000377657
10.5011	0.000381472
10.7511	0.000381472
11.0011	0.000385286
11.2511	0.000389101
11.5011	0.000385286
11.7511	0.000389101
12.0011	0.000381472
12.2511	0.000377657
12.5011	0.000377657
12.7511	0.000377657
13.0011	0.000377657
13.2511	0.000373842
13.5011	0.000377657
13.7511	0.000373842
14.0011	0.000381472
14.2511	0.000373842
14.5011	0.000377657
14.7511	0.000370027
15.0011	0.000373842
15.2511	0.000373842
15.501	0.000373842
15.7511	0.000373842
16.001	0.000373842
16.251	0.000370027
16.501	0.000366213
16.751	0.000366213
17.001	0.000362398
17.251	0.000366213
17.501	0.000366213
17.751	0.000366213
18.001	0.000366213
18.251	0.000366213
18.501	0.000366213
18.751	0.000366213
19.001	0.000366213
19.251	0.000366213
19.501	0.000362398
19.751	0.000362398
20.0006	0.000358583
20.251	0.000362398
20.501	0.000358583
20.751	0.000358583
21.001	0.000350954
21.251	0.000354769
21.501	0.000358583
21.751	0.000358583
22.001	0.000354769
22.251	0.000350954
22.501	0.000354769
22.751	0.000354769
23.001	0.000358583
23.251	0.000354769
23.501	0.000354769
23.7505	0.000350954
24.001	0.000350954
24.251	0.000347139
24.501	0.000347139
24.751	0.000347139
25.001	0.00033951
25.251	0.000343325
25.501	0.00033951
25.751	0.00033951
26.001	0.00033951
26.251	0.00033951
26.501	0.00033951
26.751	0.00033951
27.001	0.00033951
27.251	0.00033951
27.5009	0.00033951
27.751	0.00033951
28.0009	0.000335695
28.251	0.000335695
28.5009	0.000335695
28.7509	0.000331881
29.0009	0.000331881
29.2509	0.000328066
29.5009	0.000328066
29.7509	0.000324251
30.0009	0.000328066
30.2509	0.000328066
30.5009	0.000324251
30.7509	0.000320436
31.0009	0.000320436
31.2509	0.000320436
31.5009	0.000320436
31.7509	0.000324251
32.0009	0.000324251
32.2509	0.000324251
32.5009	0.000328066
32.7509	0.000324251
33.0009	0.000320436
33.2509	0.000320436
33.5009	0.000316622
33.7509	0.000312807
34.0009	0.000308992
34.2509	0.000308992
34.499	0.000308992
34.7499	0.000305178
35.0009	0.000305178
35.2509	0.000308992
35.5009	0.000308992
35.7509	0.000308992
36.0009	0.000316622
36.2509	0.000308992
36.5009	0.000308992
36.7509	0.000301363
37.0009	0.000308992
37.2509	0.000301363
37.5009	0.000297548
37.7504	0.000297548
38.0009	0.000289919
38.2509	0.000293734
38.5009	0.000293734
38.7509	0.000289919
39.0009	0.000293734
39.2509	0.000289919
39.5009	0.000289919
39.7509	0.000289919
40.0009	0.000289919
40.2509	0.000282289
40.5008	0.000286104
40.7509	0.000282289
41.0008	0.000282289
41.2508	0.000282289
41.5008	0.000286104
41.7508	0.000278475
42.0008	0.000282289
42.2508	0.000282289
42.5008	0.000282289
42.7508	0.000278475
43.0008	0.00027466
43.2508	0.000270845
43.5008	0.000270845
43.7508	0.000267031
44.0008	0.000263216
44.2508	0.000263216
44.5008	0.000263216
44.7508	0.000263216
45.0008	0.000263216
45.2508	0.000263216
