Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
-39.9991	0.00211574
-39.4991	0.00217535
-38.9991	0.00214912
-38.4992	0.00193644
-37.9991	0.0016842
-37.4991	0.00148154
-36.9991	0.00135518
-36.4991	0.00129653
-35.9991	0.0012622
-35.4991	0.00124265
-34.9991	0.00122548
-34.4992	0.00121642
-33.9992	0.00120688
-33.4992	0.00120402
-32.9992	0.00120354
-32.4993	0.0012045
-31.9997	0.00119973
-31.4995	0.00119973
-30.9998	0.00120307
-30.5003	0.00120497
-29.9992	0.0012045
-29.4992	0.00120688
-28.9992	0.00120927
-28.4992	0.00121451
-27.9992	0.00121547
-27.4992	0.00122023
-26.9992	0.00122691
-26.4992	0.00122691
-25.9992	0.00122929
-25.4992	0.0012374
-24.9992	0.00123835
-24.4992	0.0012436
-23.9992	0.00124884
-23.4992	0.00125266
-22.9992	0.0012579
-22.4992	0.00126458
-21.9992	0.0012703
-21.4993	0.00127602
-20.9993	0.00128556
-20.4993	0.00128556
-19.9993	0.0012889
-19.4993	0.00129319
-18.9993	0.00130034
-18.4993	0.00130416
-17.9993	0.00130654
-17.4993	0.00131369
-16.9993	0.0013218
-16.4993	0.00132418
-15.9993	0.00133134
-15.4993	0.00133038
-14.9993	0.00133181
-14.4993	0.00133706
-13.9993	0.00134755
-13.4993	0.00134946
-12.9993	0.00135661
-12.4993	0.00136424
-11.9993	0.0013671
-11.4993	0.00137091
-10.9993	0.00137711
-10.4993	0.00138045
-10.0003	0.00138522
-9.50043	0.00139046
-8.99935	0.00139285
-8.49935	0.00139476
-7.99935	0.00139714
-7.49936	0.0014
-6.99937	0.00140334
-6.49937	0.00140954
-5.99937	0.00141621
-5.49937	0.00141907
-4.99938	0.00142527
-4.49938	0.00142957
-3.99938	0.00143243
-3.49939	0.0014329
-3.0004	0.00143719
-2.50088	0.00143815
-1.9994	0.00144482
-1.4994	0.00144482
-0.999413	0.00144816
-0.499413	0.00145245
0.000587463	0.00145627
0.50058	0.00145865
1.00058	0.00146342
1.50057	0.00146199
2.00056	0.00146485
2.50056	0.00146533
3.00056	0.00146485
3.50056	0.00147057
4.00055	0.0014782
4.49848	0.00148249
5.00055	0.00148583
5.50054	0.00149251
6.00053	0.00149108
6.50053	0.00149298
7.00053	0.00149394
7.50053	0.0014968
8.00052	0.00149537
8.50052	0.00150014
9.00052	0.00151015
9.50051	0.00151158
10.0005	0.00151683
10.4986	0.00151587
11.0005	0.00151587
11.5005	0.00151921
12.0005	0.00152255
12.5005	0.00152684
13.0005	0.00153304
13.5005	0.00153733
14.0005	0.00154067
14.5005	0.00154067
15.0005	0.00154067
15.5005	0.00154401
16.0005	0.00154687
16.5005	0.00154782
17.0004	0.0015483
17.5005	0.00155116
18.0004	0.0015545
18.5004	0.00154782
19.0004	0.00154782
19.5004	0.0015421
20.0004	0.00154353
20.5004	0.00154448
21.0004	0.00155021
21.5004	0.00155211
22.0004	0.00154877
22.5004	0.00154877
23	0.00154639
23.5004	0.00155021
24.0004	0.00155259
24.5004	0.00155545
25.0004	0.00155974
25.5004	0.00156546
26.0004	0.00157357
26.5004	0.00157262
27.0004	0.001575
27.5004	0.00157119
28.0004	0.00156976
28.5004	0.00156689
29.0004	0.0015626
29.5004	0.00156451
30.0004	0.00156022
30.5003	0.00156165
31.0003	0.00156213
31.5003	0.00156546
32.0003	0.00156928
32.5003	0.0015688
33.0003	0.00156976
33.5003	0.0015688
34.0002	0.0015688
34.5003	0.00156976
35.0003	0.00157071
35.5003	0.00157023
36.0003	0.001575
36.5003	0.00157834
37.0003	0.00157738
37.5003	0.00157595
38.0003	0.00157834
38.5003	0.00157452
39.0003	0.00157834
39.5003	0.00157548
40.0003	0.00158025
40.5003	0.00158358
41.0003	0.00158501
41.5003	0.00158549
42.0003	0.00159217
42.5003	0.0015955
43.0002	0.00160123
43.5002	0.00160886
44.0002	0.0016141
44.5002	0.00161982
45.0002	0.00161935
45.5002	0.00162793
46.0002	0.00163317
46.5002	0.00164462
47.0002	0.00164748
47.5002	0.00165416
48.0002	0.00166369
48.5002	0.00167323
49.0002	0.00168849
49.5002	0.00170375
50.0002	0.00172568
50.5002	0.00173808
51.0002	0.00174046
51.5002	0.00175715
52.0002	0.00177146
52.5002	0.00178529
53.0002	0.00180054
53.5002	0.00180674
54.0002	0.00182105
54.5002	0.00184346
55.0002	0.0018611
55.5002	0.00188781
56.0001	0.00191642
56.5001	0.00195075
57.0001	0.001987
57.5001	0.00202276
58.0001	0.00204851
58.5001	0.00207569
59.0001	0.00210048
59.5001	0.00212432
60.0001	0.00215675
60.5001	0.00217582
61.0001	0.00220014
61.5001	0.00222255
62.0001	0.00225164
62.5001	0.00228693
63.0001	0.00230028
63.5001	0.00233079
64.0001	0.00234653
64.5001	0.00237991
65.0001	0.00237752
65.5001	0.00238515
66.0001	0.0023966
66.5001	0.00240041
67.0001	0.00238611
67.5001	0.00239374
68.0001	0.0023966
68.5001	0.00237419
69	0.00236656
69.5	0.00236322
70	0.00235273
70.5	0.00233461
71	0.00231411
71.5	0.00232221
72	0.0023265
72.5	0.00232698
73	0.0023184
73.5	0.00231601
74	0.00232412
74.5	0.00233318
75	0.00232603
75	0.00232746
