Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
-18.9987	0.00056291
-18.7487	0.000563387
-18.4987	0.000554089
-18.2487	0.000545267
-17.9987	0.000537399
-17.7487	0.000532631
-17.4987	0.00052667
-17.2487	0.000518326
-16.9987	0.000513081
-16.7487	0.000508312
-16.4987	0.000500921
-16.2487	0.000502113
-15.9987	0.000499967
-15.7487	0.000499729
-15.4987	0.00049806
-15.2487	0.00049353
-14.9987	0.000491623
-14.7487	0.000486853
-14.4987	0.000484707
-14.2487	0.000482799
-13.9987	0.000473263
-13.7487	0.00047827
-13.4987	0.00047517
-13.2487	0.000472309
-12.9987	0.000472786
-12.7499	0.00047064
-12.4987	0.000468733
-12.2487	0.000472786
-11.9987	0.000472309
-11.7487	0.000471594
-11.4987	0.000468256
-11.2487	0.000465157
-10.9987	0.000462057
-10.7487	0.000458481
-10.4987	0.000459434
-10.2487	0.000458242
-9.99876	0.000457289
-9.74875	0.000454905
-9.49876	0.000456335
-9.24876	0.000457289
-8.99876	0.000456097
-8.74876	0.000456335
-8.49876	0.00045562
-8.24878	0.000453951
-7.99876	0.000454428
-7.74878	0.000457766
-7.49878	0.000456812
-7.24878	0.00045562
-6.99878	0.000456573
-6.74878	0.000454428
-6.49878	0.00045252
-6.24878	0.000452282
-5.99879	0.000447752
-5.74878	0.000448229
-5.49879	0.000447037
-5.24879	0.000445606
-4.99879	0.000446321
-4.74879	0.000445606
-4.49879	0.000444653
-4.24879	0.000446798
-3.99879	0.000445606
-3.74881	0.000446083
-3.49881	0.00045109
-3.24881	0.000450375
-2.99881	0.000447514
-2.74881	0.000450851
-2.49881	0.000448467
-2.24881	0.000450613
-1.99883	0.000450136
-1.74883	0.000446321
-1.49883	0.000447514
-1.24883	0.000443937
-0.998825	0.000443222
-0.748825	0.00044203
-0.498825	0.000442984
-0.248825	0.000444891
0.000976562	0.000447037
0.25116	0.00044203
0.50116	0.000444653
0.751099	0.000445845
1.00108	0.000443699
1.25116	0.000449421
1.50079	0.000449182
1.75113	0.000449421
2.00116	0.000447514
2.25114	0.00044656
2.50114	0.000441553
2.75114	0.00044656
3.00114	0.000441791
3.25114	0.000441791
3.50114	0.000440599
3.75114	0.000441076
4.00113	0.000442268
4.25082	0.000440599
4.50052	0.000445368
4.75043	0.000447037
5.00113	0.000448467
5.25113	0.000444414
5.50113	0.000446083
5.75111	0.000447037
6.00113	0.000441791
6.25111	0.00044346
6.50111	0.000440123
6.75111	0.000443699
7.00111	0.000441076
7.25111	0.000440123
7.50111	0.000443937
7.75111	0.000447275
8.0011	0.000446321
8.25111	0.000450613
8.5011	0.000451805
8.7511	0.000451805
9.00108	0.000450375
9.2511	0.000450136
9.50067	0.000449421
9.75064	0.000447514
10.0004	0.000443699
10.2501	0.000443699
10.5004	0.000441791
10.7511	0.000445129
11.0011	0.000448229
11.2511	0.000452759
11.5011	0.000452997
11.7511	0.000454428
12.0011	0.000453236
12.2511	0.000449421
12.5011	0.000448944
12.7511	0.000449421
13.0011	0.000444653
13.2511	0.000447514
13.5011	0.00044656
13.7511	0.000448944
14.0011	0.000453236
14.2511	0.000449659
14.5011	0.000452282
14.7511	0.000452282
15.0011	0.000459673
15.2511	0.000457527
15.501	0.000458481
15.7511	0.000460388
16.001	0.000461103
16.251	0.000459434
16.501	0.000461103
16.751	0.000456097
17.001	0.000456097
17.251	0.000456335
17.501	0.000454428
17.751	0.000453951
18.001	0.000457766
18.251	0.000461342
18.501	0.000463964
18.751	0.000462772
19.001	0.000464918
19.251	0.000466587
19.501	0.000470402
19.751	0.000466587
20.001	0.000467541
20.251	0.000463964
20.501	0.000462057
20.751	0.000463726
21.001	0.000468971
21.251	0.000467541
21.501	0.000474932
21.751	0.000472786
22.001	0.00047517
22.251	0.000474455
22.501	0.000481846
22.751	0.000477793
23.001	0.000484707
23.251	0.000485899
23.501	0.000492338
23.751	0.000486614
24.001	0.000489
24.251	0.000484945
24.501	0.000482084
24.751	0.000483753
25.001	0.000476601
25.251	0.000471117
25.501	0.000466349
25.751	0.000466349
26.001	0.000463726
26.251	0.000468256
26.501	0.000468494
26.751	0.000471832
27.001	0.000472786
27.251	0.000476839
27.5009	0.000478508
27.751	0.000473263
28.0009	0.000468494
28.251	0.000470402
28.5009	0.000474932
28.7509	0.000472786
29.0009	0.000474455
29.2509	0.000470402
29.5009	0.000459196
29.7509	0.000453474
30.0009	0.000449898
30.2509	0.000446798
30.5009	0.000445129
30.7509	0.000447752
31.0009	0.000450136
31.2509	0.000444653
31.5009	0.000442745
31.7509	0.000437262
32.0009	0.000440599
32.2509	0.000438215
32.5009	0.000436069
32.7509	0.000436308
33.0009	0.000436546
33.2509	0.000432255
33.5009	0.000431301
33.7509	0.000426294
34.0009	0.000418903
34.2509	0.000416281
34.5009	0.000408174
34.7509	0.000412228
35.0009	0.00040579
35.2509	0.000408174
35.5009	0.000404598
35.7509	0.000402214
36.0009	0.000406029
36.2509	0.000406744
36.5009	0.000400783
36.7509	0.000400783
37.0009	0.000399353
37.2509	0.000397207
37.5009	0.00039077
37.7509	0.000384333
38.0009	0.000376465
38.2509	0.000372889
38.5009	0.000374319
38.7509	0.000369312
39.0009	0.000373127
39.2509	0.000368835
39.5009	0.000368597
39.7509	0.000368835
40.0009	0.000366451
40.2509	0.000363113
40.5008	0.000358107
40.7509	0.00035453
41.0008	0.000347855
41.2508	0.000344517
41.5008	0.000342848
41.7508	0.00034094
42.0008	0.000338795
42.2508	0.000338795
42.5008	0.000337603
42.7508	0.000337364
43.0008	0.00033498
43.2508	0.000333788
43.5006	0.000329258
43.7508	0.000326158
44.0008	0.000323297
44.2508	0.000322582
44.5008	0.000320436
44.7508	0.000317099
45.0008	0.000313284
45.2508	0.000312092
45.5008	0.000307562
45.7508	0.000304224
46.0008	0.000306131
46.2508	0.000304939
46.5008	0.000302317
46.7508	0.000300886
47.0008	0.000295641
47.2508	0.000290634
47.5008	0.000291349
47.7508	0.000283005
48.0008	0.000280859
48.2508	0.000280144
48.5008	0.000282766
48.7508	0.000283958
49.0008	0.000283243
49.2508	0.000282528
49.5008	0.000281097
49.7508	0.000277283
50.0008	0.000275614
50.2508	0.000274422
50.5008	0.000270369
50.7508	0.0002687
51.0008	0.000261785
51.2508	0.000259163
51.5008	0.000256779
51.7508	0.00025058
52.0008	0.000249626
52.2508	0.000247957
52.5008	0.000251772
52.7507	0.000245811
53.0007	0.000243188
53.2508	0.000239373
53.5007	0.000242711
53.7508	0.000237466
54.0007	0.000240088
54.2507	0.000236035
54.5007	0.000241519
54.7507	0.000240088
55.0007	0.000235558
55.2507	0.000232936
55.5007	0.000231982
55.7507	0.00022936
56.0007	0.000233651
56.2507	0.000227214
56.5007	0.000226975
56.7507	0.000223161
57.0007	0.000215293
57.2504	0.000217439
57.5007	0.000214816
57.7507	0.000217439
58.0007	0.000214816
58.2507	0.000217677
58.5007	0.000216008
58.7507	0.00021577
59.0007	0.000208617
59.2507	0.00020814
59.5007	0.000199319
59.7507	0.000200273
60.0007	0.000199319
60.2507	0.000205279
60.5007	0.000203372
60.7507	0.000200273
61.0007	0.000195266
61.2507	0.00019455
61.5007	0.000189305
61.7507	0.000185967
62.0007	0.000179292
62.2507	0.000179292
62.5007	0.000177146
62.7507	0.000174762
63.0007	0.000169278
63.2507	0.000172139
63.5007	0.000171424
63.7507	0.000173093
64.0007	0.000171901
64.2507	0.000168801
64.5007	0.000167132
64.7507	0.00016594
65.0007	0.000162126
65.2507	0.000158788
65.5007	0.000154258
65.7507	0.000151158
66.0006	0.000149966
66.2506	0.000148774
66.5006	0.00014639
66.7506	0.000147105
67.0006	0.000142814
67.2506	0.000139953
67.5006	0.000136853
67.7506	0.000139476
68.0006	0.000134231
68.2493	0.000131131
68.4988	0.000128985
68.7491	0.000129701
69.0006	0.000125648
69.2506	0.000126601
69.5006	0.00012684
69.7506	0.000123979
70.0006	0.000120402
70.2506	0.000116826
70.5006	0.000116826
70.7506	0.000112296
71.0006	0.000117302
71.2506	0.000116826
71.5006	0.000115157
71.7506	0.000109435
72.0006	0.000105381
72.2506	9.85E-05
72.4998	9.68E-05
72.7506	9.80E-05
73.0006	9.16E-05
73.2506	9.94E-05
73.5006	9.89E-05
73.7506	9.82E-05
74.0006	9.63E-05
74.2506	8.89E-05
74.5006	8.85E-05
74.7506	8.61E-05
75.0006	8.61E-05
75.2506	8.30E-05
75.5006	7.96E-05
75.7506	7.68E-05
76.0006	7.18E-05
76.2506	6.91E-05
76.5006	6.79E-05
76.7506	7.01E-05
77.0006	6.91E-05
77.2506	6.82E-05
77.5006	6.29E-05
77.7506	6.06E-05
78.0006	5.53E-05
78.2506	5.89E-05
78.5006	5.70E-05
78.7506	5.41E-05
79.0005	5.29E-05
79.2505	4.91E-05
79.5005	4.65E-05
79.7505	4.63E-05
80.0005	4.39E-05
80.2505	3.96E-05
80.5005	3.70E-05
80.7505	3.58E-05
81.0005	3.70E-05
81.2505	3.58E-05
81.5005	3.53E-05
81.7505	3.29E-05
82.0005	3.36E-05
82.2505	2.91E-05
82.5005	2.65E-05
82.7505	2.96E-05
