Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
-18.9987	0.000381472
-18.7487	0.000366213
-18.4987	0.000350954
-18.2487	0.000354769
-17.9987	0.000373842
-17.7487	0.00040436
-17.4987	0.000457766
-17.2487	0.000499729
-16.9987	0.000534061
-16.7487	0.000560764
-16.4987	0.000579838
-16.2487	0.000587467
-15.9987	0.000587467
-15.7487	0.000583652
-15.4987	0.000579838
-15.2487	0.000579838
-14.9987	0.000576023
-14.7487	0.000568394
-14.4987	0.000568394
-14.2487	0.000560764
-13.9987	0.000553135
-13.7487	0.000545505
-13.4987	0.000522617
-13.2487	0.000495914
-12.9987	0.000453951
-12.7487	0.000408174
-12.4987	0.000362398
-12.2487	0.000328066
-11.9989	0.000305178
-11.7489	0.000293734
-11.4988	0.000301363
-11.249	0.000316622
-10.9991	0.000335695
-10.7487	0.000354769
-10.4987	0.000370027
-10.2487	0.000389101
-9.99876	0.000392916
-9.74875	0.000400545
-9.49876	0.000408174
-9.24876	0.00040436
-8.99876	0.000408174
-8.74876	0.000408174
-8.49876	0.000408174
-8.24878	0.000408174
-7.99876	0.000411989
-7.74878	0.000415804
-7.49878	0.000415804
-7.24878	0.000415804
-6.99878	0.000415804
-6.74887	0.000415804
-6.49884	0.000415804
-6.24905	0.000411989
-5.99928	0.000411989
-5.74937	0.000411989
-5.49879	0.000408174
-5.24879	0.000408174
-4.99879	0.000408174
-4.74879	0.000411989
-4.49879	0.000408174
-4.24879	0.000408174
-3.99879	0.000408174
-3.74881	0.000408174
-3.49881	0.000408174
-3.24881	0.000411989
-2.99881	0.000408174
-2.74881	0.000411989
-2.49881	0.000411989
-2.24881	0.000411989
-1.99883	0.000411989
-1.74883	0.000411989
-1.49883	0.00040436
-1.24883	0.000408174
-0.998825	0.00040436
-0.748825	0.00040436
-0.498825	0.00040436
-0.248825	0.00040436
0.00117493	0.000408174
0.25116	0.000408174
0.50116	0.000408174
0.750046	0.000408174
0.999939	0.000411989
1.24985	0.000408174
1.50023	0.000408174
1.75116	0.000408174
2.00116	0.000408174
2.25114	0.00040436
2.50114	0.00040436
2.75114	0.000400545
3.00114	0.00040436
3.25114	0.000400545
3.50114	0.000400545
3.75114	0.000400545
4.00113	0.00040436
4.25113	0.00039673
4.50113	0.00040436
4.75113	0.00040436
5.00113	0.00040436
5.25113	0.00040436
5.50113	0.00040436
5.75111	0.00040436
6.00113	0.00040436
6.25111	0.00040436
6.50111	0.000400545
6.75111	0.000400545
7.00111	0.000400545
7.25111	0.00039673
7.50111	0.00040436
7.75111	0.00040436
8.0011	0.000400545
8.25111	0.00040436
8.5011	0.000408174
8.7511	0.00040436
9.00105	0.00040436
9.2511	0.000400545
9.50098	0.000392916
9.75108	0.000392916
10.0011	0.000392916
10.2511	0.000392916
10.5011	0.000392916
10.7511	0.000392916
11.0011	0.000392916
11.2511	0.00039673
11.5011	0.000392916
11.7511	0.00039673
12.0011	0.000392916
12.2511	0.000392916
12.5011	0.000392916
12.7511	0.000389101
13.0011	0.000389101
13.2511	0.000389101
13.5011	0.000392916
13.7511	0.000389101
14.0011	0.000392916
14.2511	0.000392916
14.5011	0.000389101
14.7511	0.000392916
15.0011	0.000392916
15.2511	0.000392916
15.501	0.000389101
15.7511	0.000389101
16.001	0.000389101
16.251	0.000385286
16.501	0.000381472
16.751	0.000381472
17.001	0.000377657
17.2499	0.000377657
17.4998	0.000377657
17.7496	0.000377657
17.9993	0.000381472
18.251	0.000377657
18.501	0.000377657
18.7487	0.000377657
19.001	0.000377657
19.251	0.000377657
19.501	0.000377657
19.751	0.000373842
20.001	0.000373842
20.251	0.000373842
20.501	0.000373842
20.751	0.000366213
21.001	0.000373842
21.251	0.000370027
21.501	0.000370027
21.751	0.000366213
22.001	0.000370027
22.251	0.000366213
22.4996	0.000370027
22.751	0.000373842
22.9999	0.000370027
23.2494	0.000370027
23.4993	0.000370027
23.751	0.000366213
24.001	0.000366213
24.251	0.000366213
24.501	0.000362398
24.751	0.000362398
25.001	0.000362398
25.251	0.000354769
25.501	0.000362398
25.751	0.000358583
26.001	0.000354769
26.251	0.000358583
26.501	0.000354769
26.751	0.000358583
27.001	0.000358583
27.251	0.000354769
27.5009	0.000347139
27.751	0.000350954
28.0009	0.000350954
28.251	0.000350954
28.5009	0.000350954
28.7509	0.000350954
29.0009	0.000347139
29.2509	0.000343325
29.5009	0.000343325
29.7509	0.00033951
30.0009	0.00033951
30.2509	0.00033951
30.5009	0.00033951
30.7509	0.00033951
31.0009	0.000335695
31.2509	0.000335695
31.5009	0.000335695
31.7509	0.00033951
32.0009	0.00033951
32.2509	0.000335695
32.5009	0.000335695
32.7503	0.00033951
33.0002	0.000335695
33.2505	0.00033951
33.5009	0.000331881
33.7509	0.000328066
34.0009	0.000320436
34.2509	0.000316622
34.5009	0.000316622
34.7509	0.000316622
35.0009	0.000316622
35.2509	0.000316622
35.5009	0.000320436
35.7509	0.000320436
36.0009	0.000316622
36.2509	0.000316622
36.5009	0.000316622
36.7509	0.000316622
37.0009	0.000316622
37.2509	0.000316622
37.5004	0.000305178
37.7505	0.000305178
38.0009	0.000301363
38.2502	0.000297548
38.5	0.000301363
38.7494	0.000301363
39.0009	0.000301363
39.2509	0.000301363
39.5009	0.000301363
39.7509	0.000301363
40.0009	0.000301363
40.2509	0.000293734
40.5008	0.000289919
40.7509	0.000289919
41.0008	0.000289919
41.2508	0.000289919
41.5008	0.000286104
41.7508	0.000286104
42.0008	0.000286104
42.2508	0.000286104
42.5008	0.000282289
42.7508	0.000286104
43.0008	0.000282289
43.2508	0.000282289
43.5008	0.00027466
43.7508	0.00027466
44.0008	0.000267031
44.2508	0.000267031
44.5008	0.000263216
44.7508	0.000263216
45.0008	0.000263216
45.2508	0.000263216
45.5008	0.000263216
45.7508	0.000263216
46.0008	0.000263216
46.2508	0.000263216
46.5008	0.000259401
46.7508	0.000259401
47.0008	0.000255587
47.2508	0.000251772
47.5008	0.000244142
47.7507	0.000244142
48.0006	0.000236512
48.2505	0.000240327
48.5003	0.000240327
48.7505	0.000240327
49.0001	0.000240327
49.2508	0.000240327
49.5008	0.000240327
49.7508	0.000236512
50.0008	0.000236512
50.2508	0.000236512
50.5008	0.000232697
50.7508	0.000225068
51.0008	0.000225068
51.2508	0.000221253
51.5008	0.000213624
51.7508	0.000213624
52.0008	0.000209809
52.2508	0.000209809
52.5008	0.000205995
52.7508	0.00020218
53.0008	0.000198365
53.2508	0.00019455
53.5007	0.000190736
53.7508	0.000190736
54.0007	0.000190736
54.2507	0.00019455
54.5007	0.000198365
54.7507	0.000190736
55.0007	0.000190736
55.2507	0.000186921
55.5007	0.000183106
55.7507	0.000183106
56.0007	0.000183106
56.2507	0.000175477
56.5007	0.000175477
56.7507	0.000171662
57.0007	0.000167848
57.2507	0.000164033
57.5007	0.000160218
57.7507	0.000160218
58.0007	0.000156404
58.2507	0.000160218
58.5007	0.000156404
58.7507	0.000156404
59.0007	0.000152589
59.2507	0.000144959
59.5007	0.00013733
59.7507	0.00013733
60.0007	0.000129701
60.2507	0.000129701
60.5007	0.000129701
60.7507	0.000125886
61.0007	0.000122071
61.2507	0.000118256
61.5003	0.000110627
61.7495	0.000102997
61.9996	0.000102997
62.2491	9.92E-05
62.5007	9.92E-05
62.7507	9.54E-05
63.0007	9.16E-05
63.2507	8.77E-05
63.5007	8.39E-05
63.7507	8.01E-05
64.0007	7.63E-05
64.2507	7.63E-05
64.5007	7.25E-05
64.7507	6.49E-05
65.0007	6.10E-05
65.2507	5.72E-05
65.5007	5.34E-05
65.7507	4.96E-05
66.0006	4.96E-05
66.2506	4.96E-05
66.5006	4.58E-05
66.7506	4.96E-05
67.0006	4.20E-05
67.2506	3.43E-05
67.5006	3.43E-05
67.7506	3.43E-05
67.9982	3.43E-05
68.2506	2.67E-05
68.5006	2.67E-05
68.7506	2.67E-05
69.0006	2.67E-05
69.2506	2.29E-05
69.5006	2.29E-05
69.7506	2.29E-05
70.0006	1.91E-05
70.2506	2.29E-05
70.5006	1.91E-05
70.7506	1.53E-05
71.0006	1.91E-05
71.2506	1.91E-05
71.5006	1.91E-05
71.7506	1.91E-05
72.0006	1.53E-05
72.2506	1.53E-05
72.5006	1.53E-05
72.7506	1.91E-05
73.0006	1.53E-05
73.2506	1.53E-05
73.5006	1.14E-05
73.7506	1.53E-05
74.0006	1.53E-05
74.2506	1.53E-05
74.5006	1.91E-05
74.7506	1.91E-05
75.0006	1.53E-05
75.2506	1.14E-05
75.5006	1.53E-05
75.7506	1.14E-05
76.0006	1.53E-05
76.2506	1.53E-05
76.5006	1.53E-05
76.7506	1.53E-05
77.0006	1.53E-05
77.2506	1.53E-05
77.5006	1.53E-05
77.7506	1.91E-05
78.0006	1.91E-05
78.2506	1.53E-05
78.5006	1.53E-05
78.7506	1.53E-05
79.0005	1.53E-05
79.2505	1.91E-05
79.5005	1.91E-05
79.7505	1.91E-05
80.0005	1.91E-05
80.2505	1.91E-05
80.5005	1.91E-05
80.7505	1.14E-05
81.0005	1.53E-05
81.2505	1.53E-05
81.5005	1.53E-05
81.749	1.91E-05
82.0005	1.53E-05
82.2505	1.91E-05
82.5005	1.91E-05
82.7505	1.91E-05
83.0005	2.29E-05
83.2505	1.91E-05
83.5005	1.91E-05
83.7505	2.29E-05
84.0005	2.29E-05
84.2505	2.29E-05
84.5005	2.29E-05
84.7505	2.29E-05
85.0005	2.29E-05
85.2505	2.29E-05
85.5005	1.91E-05
85.7505	2.29E-05
86.0002	2.29E-05
86.2493	2.29E-05
86.5005	2.29E-05
86.7505	2.67E-05
87.0005	2.29E-05
87.2505	2.29E-05
87.5005	2.29E-05
87.7505	2.29E-05
88.0005	2.29E-05
88.2505	2.29E-05
88.5005	2.29E-05
88.7505	2.29E-05
89.0005	2.29E-05
89.2505	1.91E-05
89.5005	2.29E-05
89.7505	2.29E-05
90.0005	2.29E-05
90.2505	2.29E-05
90.5005	2.29E-05
90.7505	2.29E-05
91.0005	1.91E-05
91.2505	1.91E-05
91.5005	1.91E-05
91.7505	1.91E-05
92.0005	1.91E-05
92.2505	1.91E-05
92.5005	2.29E-05
92.7504	2.29E-05
93.0004	1.91E-05
93.2504	1.91E-05
93.5004	1.91E-05
93.7504	2.29E-05
94.0004	1.91E-05
94.2504	1.53E-05
94.5004	1.91E-05
94.7504	1.91E-05
95.0004	1.53E-05
95.2504	1.91E-05
95.5004	1.53E-05
95.7504	1.53E-05
96.0004	1.53E-05
96.2504	1.91E-05
96.5004	1.53E-05
96.7504	1.53E-05
97.0004	1.53E-05
97.2504	1.91E-05
97.5004	1.91E-05
97.7504	1.53E-05
98.0004	1.91E-05
98.2504	1.14E-05
98.5004	1.14E-05
98.7504	1.91E-05
99.0004	1.53E-05
99.2504	1.53E-05
99.5004	1.14E-05
99.7504	1.91E-05
100	1.14E-05
100.25	1.53E-05
100.5	1.14E-05
100.75	1.53E-05
101	1.14E-05
101.25	1.14E-05
101.5	7.63E-06
101.75	1.14E-05
102	1.14E-05
102.25	1.14E-05
102.5	1.14E-05
102.75	1.53E-05
103	1.14E-05
103.25	7.63E-06
103.5	7.63E-06
103.75	1.14E-05
104	7.63E-06
104.25	1.14E-05
104.5	1.14E-05
104.75	1.14E-05
105	7.63E-06
105.25	3.81E-06
105.5	7.63E-06
105.75	7.63E-06
106	7.63E-06
106.25	7.63E-06
106.5	7.63E-06
106.75	7.63E-06
107	7.63E-06
107.25	3.81E-06
107.5	7.63E-06
107.75	3.81E-06
