Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
-18.9987	0.000497106
-18.7487	0.000499014
-18.4988	0.000501875
-18.2487	0.000495199
-17.9988	0.000493292
-17.7489	0.000479938
-17.4988	0.000475647
-17.2493	0.000468018
-16.9994	0.00046158
-16.7487	0.000461819
-16.4987	0.000457289
-16.2487	0.000454666
-15.9987	0.000458242
-15.7487	0.000452997
-15.4987	0.000452043
-15.2487	0.000448467
-14.9987	0.000447275
-14.7487	0.000443937
-14.4987	0.000444891
-14.2487	0.000441791
-13.9987	0.000442268
-13.7487	0.000439884
-13.4987	0.000438454
-13.2487	0.000436069
-12.9987	0.000434401
-12.7487	0.000434162
-12.4987	0.000435354
-12.2487	0.000436069
-11.9987	0.000435831
-11.7487	0.000437738
-11.4987	0.00043297
-11.2487	0.000429155
-10.9987	0.000429394
-10.7487	0.000425102
-10.4987	0.000424149
-10.2487	0.000425817
-9.99876	0.000424149
-9.74876	0.000425817
-9.49887	0.000424864
-9.24876	0.000425579
-8.99881	0.000422718
-8.74876	0.000421764
-8.49876	0.000419142
-8.24878	0.000424625
-7.99876	0.000421764
-7.74878	0.000421287
-7.49878	0.000425102
-7.24878	0.000421049
-6.99878	0.000421287
-6.74878	0.000424625
-6.49878	0.000423433
-6.24878	0.000422003
-5.99879	0.000419619
-5.74878	0.00041795
-5.49884	0.000418665
-5.24879	0.00041938
-4.99879	0.000416758
-4.74879	0.000419619
-4.49879	0.000416996
-4.24879	0.000417473
-3.99879	0.000418903
-3.74881	0.000418903
-3.49881	0.000418903
-3.24881	0.000416281
-2.99881	0.000417473
-2.74881	0.000415804
-2.49881	0.000415565
-2.24881	0.000416758
-1.99883	0.000415804
-1.74883	0.000414612
-1.49883	0.000416281
-1.24883	0.000411751
-0.998825	0.000409605
-0.748825	0.000411989
-0.498825	0.000412943
-0.248825	0.000409605
0.00117493	0.000411751
0.25116	0.000410797
0.50116	0.000409128
0.75116	0.00041342
1.00116	0.000410797
1.25116	0.000411274
1.50116	0.000412466
1.75116	0.000410559
2.00116	0.000410797
2.25114	0.000406744
2.50038	0.000404837
2.75009	0.000403168
3.00114	0.000400545
3.25114	0.00040436
3.50114	0.000400307
3.75114	0.000403406
4.00113	0.000402929
4.25113	0.000403883
4.50113	0.00040126
4.75113	0.000405313
5.00113	0.000405552
5.25113	0.000406744
5.50113	0.000407936
5.75111	0.000407221
6.00113	0.000401976
6.25111	0.00040579
6.50111	0.000400307
6.75111	0.000397684
7.00111	0.000402929
7.25111	0.000400307
7.50111	0.000399115
7.75111	0.00040126
7.99995	0.000400307
8.25111	0.000400783
8.5011	0.000403883
8.7511	0.000403406
9.0011	0.000403168
9.2511	0.000399591
9.5011	0.000404121
9.75108	0.000398876
10.0011	0.000399353
10.2511	0.000396015
10.5011	0.000392439
10.7511	0.000394823
11.0011	0.000395777
11.2511	0.000394108
11.5011	0.000397207
11.7511	0.000400068
12.0011	0.000399591
12.2511	0.000397446
12.5011	0.00039673
12.7511	0.000393631
13.0011	0.000393154
13.2511	0.000389578
13.5011	0.000385763
13.7511	0.000391247
14.0011	0.000393154
