Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
-18.9987	0.000115872
-18.7487	0.000116587
-18.4987	0.000117302
-18.2487	0.000114441
-17.9988	0.000116826
-17.7487	0.000113726
-17.4989	0.000109196
-17.249	0.000113249
-16.9989	0.000109673
-16.7491	0.000112772
-16.4987	0.000107527
-16.2487	0.000109911
-15.9987	0.00010705
-15.7487	0.000112057
-15.4987	0.000109196
-15.2487	0.000106097
-14.9987	0.000108958
-14.7487	0.000106812
-14.4987	0.000106812
-14.2487	0.000104905
-13.9987	0.000106574
-13.7487	0.000103474
-13.4987	0.000103951
-13.2487	0.000103951
-12.9987	0.000102759
-12.7487	0.000103713
-12.4987	9.92E-05
-12.2487	9.97E-05
-11.9987	0.000100136
-11.7487	0.000102759
-11.4988	0.000100136
-11.2487	0.000102759
-10.9987	0.000100613
-10.7487	0.000100375
-10.4987	9.97E-05
-10.2487	9.97E-05
-9.99876	9.94E-05
-9.74875	9.82E-05
-9.49876	9.68E-05
-9.24876	9.42E-05
-8.99876	9.94E-05
-8.74876	9.63E-05
-8.49876	9.70E-05
-8.24878	9.47E-05
-7.99876	9.54E-05
-7.74878	9.61E-05
-7.49878	9.73E-05
-7.24878	9.73E-05
-6.99884	9.63E-05
-6.74878	9.80E-05
-6.49878	9.70E-05
-6.24878	9.75E-05
-5.99879	9.42E-05
-5.74878	9.54E-05
-5.49879	9.54E-05
-5.24879	9.61E-05
-4.99879	9.37E-05
-4.74879	9.30E-05
-4.49879	9.78E-05
-4.24879	9.32E-05
-3.99879	9.13E-05
-3.74881	9.44E-05
-3.49881	9.58E-05
-3.24881	9.49E-05
-2.99881	9.51E-05
-2.74881	9.47E-05
-2.49881	9.63E-05
-2.24881	9.56E-05
-1.99883	9.37E-05
-1.74883	9.63E-05
-1.49883	9.42E-05
-1.24883	9.42E-05
-0.998825	9.35E-05
-0.748825	9.23E-05
-0.498825	9.63E-05
-0.248825	9.37E-05
0.00117493	9.32E-05
0.25116	9.37E-05
0.50116	9.35E-05
0.75116	9.27E-05
1.00116	9.27E-05
1.25116	9.44E-05
1.50116	9.27E-05
1.75116	9.35E-05
2.00116	9.30E-05
2.25114	9.73E-05
2.50114	9.35E-05
