Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
-18.9987	0.000114441
-18.7487	0.000114441
-18.4987	0.000114441
-18.2487	0.000110627
-17.9987	0.000114441
-17.7487	0.000106812
-17.4987	0.000114441
-17.2487	0.000114441
-16.9987	0.000114441
-16.7487	0.000110627
-16.4987	0.000110627
-16.2487	0.000110627
-15.9987	0.000106812
-15.7487	0.000106812
-15.4987	0.000110627
-15.2487	0.000110627
-14.9987	0.000106812
-14.7487	0.000110627
-14.4987	0.000106812
-14.2487	0.000110627
-13.9987	0.000110627
-13.7487	0.000102997
-13.4987	0.000102997
-13.2487	0.000102997
-12.9992	0.000102997
-12.7487	0.000102997
-12.4987	0.000106812
-12.2487	0.000102997
-11.9987	0.000102997
-11.7487	0.000102997
-11.4987	0.000102997
-11.2487	0.000102997
-10.9987	0.000102997
-10.7487	0.000102997
-10.4987	0.000102997
-10.2487	0.000102997
-9.99876	0.000102997
-9.74875	0.000102997
-9.49876	0.000102997
-9.24876	0.000102997
-8.99876	0.000102997
-8.74876	0.000102997
-8.49876	0.000102997
-8.24878	0.000102997
-7.99876	0.000102997
-7.74878	0.000102997
-7.49878	0.000102997
-7.24878	0.000102997
-6.99878	0.000102997
-6.74878	0.000102997
-6.49878	0.000102997
-6.24878	0.000102997
-5.99879	0.000102997
-5.74878	0.000102997
-5.49879	0.000102997
-5.24879	0.000102997
-4.99879	0.000102997
-4.74879	9.92E-05
-4.49879	9.92E-05
-4.24879	0.000102997
-3.99879	0.000102997
-3.74881	0.000102997
-3.49881	0.000102997
-3.24881	0.000102997
-2.99904	0.000102997
-2.74881	9.92E-05
-2.49881	0.000102997
-2.24881	0.000102997
-1.99883	9.92E-05
-1.74883	9.92E-05
-1.49883	9.92E-05
-1.24883	0.000102997
-0.998825	0.000102997
-0.748825	9.92E-05
-0.498825	0.000102997
-0.248825	0.000102997
0.00117493	9.54E-05
0.25116	0.000102997
0.50116	9.92E-05
0.75116	9.92E-05
1.00116	9.92E-05
1.25116	9.54E-05
1.50116	9.92E-05
1.75108	9.54E-05
2.00107	0.000102997
2.25114	0.000102997
2.50114	9.92E-05
2.75114	9.92E-05
3.00114	9.92E-05
3.25114	9.92E-05
3.50114	9.92E-05
3.75114	0.000102997
4.00113	9.92E-05
4.25113	9.16E-05
4.50113	9.92E-05
4.75113	9.16E-05
5.00113	9.92E-05
5.25113	9.92E-05
5.50113	9.92E-05
5.75111	9.54E-05
6.00113	9.54E-05
6.25111	9.92E-05
6.50111	9.54E-05
6.75111	9.92E-05
7.00111	9.54E-05
7.25111	9.92E-05
7.50111	9.92E-05
7.75111	9.54E-05
7.99963	9.54E-05
8.24956	9.54E-05
8.5011	9.92E-05
8.7511	0.000102997
9.0011	9.54E-05
9.2511	9.92E-05
9.5011	9.92E-05
9.75108	9.92E-05
10.0011	9.92E-05
10.2511	9.92E-05
10.5011	9.92E-05
10.7511	9.54E-05
11.0011	9.92E-05
11.2511	9.92E-05
11.5011	9.92E-05
11.7511	9.92E-05
12.0011	9.54E-05
12.2511	9.92E-05
12.5011	9.54E-05
12.7511	0.000102997
13.0011	9.54E-05
13.2511	9.54E-05
13.4993	9.54E-05
13.7511	9.54E-05
14.0011	9.54E-05
14.2511	9.16E-05
14.5011	9.54E-05
14.7511	9.54E-05
15.0011	9.92E-05
15.2511	9.16E-05
15.501	9.92E-05
15.7511	9.54E-05
16.001	9.16E-05
16.251	9.16E-05
16.501	9.54E-05
16.751	9.54E-05
17.001	9.54E-05
17.251	9.16E-05
17.501	9.16E-05
17.751	9.54E-05
18.001	9.16E-05
18.251	9.16E-05
18.501	9.16E-05
18.751	9.16E-05
19.001	8.77E-05
19.251	9.16E-05
19.501	9.16E-05
19.751	9.54E-05
20.001	9.16E-05
20.251	8.77E-05
20.501	9.16E-05
20.751	8.77E-05
21.001	8.39E-05
21.251	9.16E-05
21.501	8.39E-05
21.751	8.77E-05
22.001	8.77E-05
22.251	9.16E-05
22.501	8.77E-05
22.751	8.39E-05
22.9996	9.16E-05
23.251	9.16E-05
23.501	8.77E-05
23.751	8.77E-05
24.001	8.77E-05
24.251	8.77E-05
24.501	8.77E-05
24.751	8.77E-05
25.001	8.77E-05
25.251	8.77E-05
25.501	8.77E-05
25.751	8.39E-05
26.001	8.39E-05
26.251	8.39E-05
26.501	8.39E-05
26.751	8.39E-05
27.0002	8.01E-05
27.2495	8.01E-05
27.4996	8.01E-05
27.751	8.01E-05
28.0009	8.39E-05
28.251	8.39E-05
28.5009	8.39E-05
28.7509	8.39E-05
29.0009	8.01E-05
29.2509	8.39E-05
29.5009	8.01E-05
29.7509	8.01E-05
30.0009	8.01E-05
30.2509	8.01E-05
30.5009	8.01E-05
30.7509	7.63E-05
31.0009	7.63E-05
31.2509	8.01E-05
31.5009	8.01E-05
31.7509	7.63E-05
32.0009	7.63E-05
32.2509	7.63E-05
32.5009	7.63E-05
32.7509	8.01E-05
33.0009	7.63E-05
33.2509	7.63E-05
33.5009	8.01E-05
33.7509	8.01E-05
34.0009	7.63E-05
34.2509	7.63E-05
34.5009	7.63E-05
34.7509	7.63E-05
35.0009	7.63E-05
35.2506	7.63E-05
35.5009	7.63E-05
35.7509	7.25E-05
36.0009	7.63E-05
36.2509	7.63E-05
36.5009	7.25E-05
36.7509	7.63E-05
37.0009	7.63E-05
37.2509	7.63E-05
37.5009	7.25E-05
37.7509	7.63E-05
38.0009	7.63E-05
38.2509	7.63E-05
38.5009	7.25E-05
38.7509	7.25E-05
39.0009	7.25E-05
39.2509	7.25E-05
39.5009	7.25E-05
39.7509	7.25E-05
39.9997	7.63E-05
40.2496	6.87E-05
40.4999	7.25E-05
40.7499	6.87E-05
41.0008	6.87E-05
41.2508	7.63E-05
41.5008	6.87E-05
41.7508	6.87E-05
42.0008	7.25E-05
42.2508	6.87E-05
42.5008	6.10E-05
42.7508	6.10E-05
43.0008	6.49E-05
43.2508	6.10E-05
43.5008	7.25E-05
43.7508	6.49E-05
44.0008	6.49E-05
44.2508	6.49E-05
44.5008	6.10E-05
44.7508	5.72E-05
45.0008	6.10E-05
45.2508	5.72E-05
45.5008	5.72E-05
45.7508	6.10E-05
46.0008	5.72E-05
46.2508	6.10E-05
46.5008	5.72E-05
46.7508	5.72E-05
47.0008	6.10E-05
47.2508	5.72E-05
47.5008	5.34E-05
47.7508	4.96E-05
48.0008	5.34E-05
48.2508	4.96E-05
48.5008	4.96E-05
48.7502	4.96E-05
49.0008	4.96E-05
49.2508	5.34E-05
49.5008	4.96E-05
49.7508	5.34E-05
50.0008	4.96E-05
50.2508	4.96E-05
50.5008	4.96E-05
50.7508	4.96E-05
51.0008	4.96E-05
51.2508	4.96E-05
51.5008	4.96E-05
51.7508	4.96E-05
52.0008	4.96E-05
52.2508	4.58E-05
52.5008	4.58E-05
52.7508	4.58E-05
53.0008	4.58E-05
53.2508	4.58E-05
53.5007	4.58E-05
