Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
-18.9987	0.000107766
-18.7487	0.000107766
-18.4987	0.000106574
-18.2487	0.000107289
-17.9987	0.000107527
-17.7487	0.000105143
-17.4987	0.000101805
-17.2487	0.000103236
-16.9987	0.000101328
-16.7487	0.000104428
-16.4987	0.000101805
-16.2487	0.000100136
-15.9987	9.87E-05
-15.7487	9.85E-05
-15.4987	0.000100613
-15.2487	9.97E-05
-14.9987	9.89E-05
-14.7487	9.80E-05
-14.4987	0.000100852
-14.2487	0.000102044
-13.9987	0.000100613
-13.7487	9.99E-05
-13.4987	9.89E-05
-13.2488	9.73E-05
-12.9987	9.82E-05
-12.7489	9.49E-05
-12.4988	9.42E-05
-12.2487	9.61E-05
-11.9987	9.44E-05
-11.7487	9.25E-05
-11.4987	9.13E-05
-11.2487	9.32E-05
-10.9987	9.58E-05
-10.7487	9.32E-05
-10.4987	9.39E-05
-10.2487	9.35E-05
-9.99876	9.47E-05
-9.74875	9.85E-05
-9.49876	9.23E-05
-9.24876	8.94E-05
-8.99876	8.99E-05
-8.74876	9.08E-05
-8.49876	8.99E-05
-8.24878	9.01E-05
-7.99876	9.30E-05
-7.74878	8.92E-05
-7.49878	9.11E-05
-7.24878	9.08E-05
-6.99878	9.16E-05
-6.74878	9.06E-05
-6.49878	9.18E-05
-6.24878	8.96E-05
-5.99879	9.30E-05
-5.74878	8.87E-05
-5.49879	9.23E-05
-5.24879	9.04E-05
-4.99879	8.89E-05
-4.74879	9.06E-05
-4.49879	9.06E-05
-4.24879	9.13E-05
-3.99879	9.04E-05
-3.74881	9.13E-05
-3.49922	9.39E-05
-3.24881	9.27E-05
-2.99881	8.80E-05
-2.74881	9.13E-05
-2.49881	9.23E-05
-2.24881	8.96E-05
-1.99883	9.01E-05
-1.74883	9.08E-05
-1.49883	9.04E-05
-1.24883	9.16E-05
-0.998825	9.13E-05
-0.748825	8.82E-05
-0.498825	9.06E-05
