Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
15.9997	0.00026405
16.9997	0.000269415
17.9997	0.000271203
18.9997	0.000275137
19.9997	0.000274422
20.9997	0.000274422
21.9997	0.00027776
22.9997	0.000279667
23.9997	0.000276567
24.9997	0.000272872
25.9997	0.000269415
26.9997	0.000262143
27.9997	0.000251414
28.9997	0.000242353
29.9997	0.000235678
30.9998	0.000226499
31.9998	0.000217677
32.9998	0.000212193
33.9998	0.000208379
34.9998	0.000204564
35.9998	0.00020361
36.9998	0.000201107
37.9998	0.000197888
38.9994	0.000201107
39.9998	0.00019765
40.9998	0.0001992
41.9998	0.000196696
42.9998	0.000198723
43.9998	0.000195027
44.9998	0.000197054
45.9998	0.000195385
46.9998	0.0001961
47.9999	0.000197173
48.9999	0.000194431
49.9999	0.000198842
50.9999	0.000196339
51.9999	0.000195385
52.9999	0.000195981
53.9992	0.000194312
54.9999	0.000193954
55.9999	0.000193716
56.9999	0.00019455
57.9999	0.000193954
58.9999	0.000190974
59.9999	0.000195504
60.9999	0.000192047
61.9999	0.000191332
62.9999	0.000192762
63.9999	0.000190974
64.9999	0.000195147
66	0.0001961
67	0.000199319
68	0.000207544
69	0.000213028
70	0.000218869
71	0.000222207
72	0.00022626
73	0.000235439
74	0.00023687
75	0.000235678
75	0.000236512
15.9997	0.000266554
16.9997	0.000268938
17.9997	0.000269296
18.9997	0.00027168
19.9997	0.000273826
20.9997	0.000275971
21.9997	0.000276567
22.9997	0.000280024
23.9997	0.000275971
24.9997	0.000276448
25.9997	0.000268938
26.9997	0.000263097
27.9997	0.000255229
28.9997	0.000243903
29.9997	0.000233651
30.9998	0.00022781
31.9998	0.000217558
32.9998	0.000212074
33.9998	0.000204802
34.9998	0.000201703
35.9998	0.00020063
36.9998	0.000201345
37.9998	0.000200273
38.9998	0.000201941
39.9998	0.000198842
40.9998	0.000200749
41.9998	0.000196815
42.9998	0.000198961
43.9998	0.000194431
44.9998	0.0001961
45.9997	0.000197888
46.9998	0.000196696
47.9999	0.000201226
48.9999	0.0001992
49.9999	0.000200273
50.9999	0.000196696
51.9999	0.000196458
52.9999	0.000195743
53.9999	0.000195862
54.9999	0.000194431
55.9999	0.000194312
56.9999	0.000193478
57.9999	0.000194312
58.9999	0.000192286
59.9999	0.000192405
60.9999	0.000191928
61.9999	0.000192643
62.9999	0.000195385
63.9999	0.000194074
64.9999	0.000194312
66	0.000198723
67	0.000201703
68	0.000206471
69	0.000211717
70	0.000219823
71	0.00022328
72	0.000227571
73	0.000235082
74	0.000235916
75	0.00023687
75	0.000235678
15.9997	0.000262978
16.9997	0.000268342
17.9997	0.00026715
18.9997	0.000267984
19.9997	0.000270965
20.9996	0.000273945
21.9997	0.000273706
22.9997	0.000273945
23.9997	0.000276091
24.9997	0.000268461
25.9997	0.000265481
26.9997	0.000257375
27.9997	0.000251414
28.9997	0.000241161
29.9997	0.000230194
30.9998	0.000221969
31.9984	0.000213386
32.9998	0.000208379
33.9998	0.000204922
34.9998	0.000201584
35.9998	0.000202299
36.9998	0.000198008
37.9998	0.00020218
38.9998	0.000199676
39.9998	0.000202299
40.9998	0.000206829
41.9998	0.000221373
42.9998	0.000224114
43.9998	0.000223518
44.9998	0.000214101
45.9998	0.000206471
46.9998	0.000201584
47.9999	0.000198127
48.9999	0.000200511
49.9999	0.000198008
50.9999	0.00019908
51.9999	0.000194193
52.9999	0.000196815
53.9999	0.000190974
54.9999	0.000193358
55.9999	0.000191689
56.9999	0.000191213
57.9999	0.000189782
58.9999	0.000193358
59.9999	0.000191451
60.9999	0.000189305
61.9999	0.00019157
62.9999	0.000190497
63.9999	0.000191451
64.9999	0.000192047
66	0.000192166
67	0.000195862
68	0.000202776
69	0.000208498
70	0.000216723
71	0.000217796
72	0.000228168
73	0.00023234
74	0.000234843
75	0.000240208
75	0.000234009
15.9997	0.000263812
16.9997	0.000267746
17.9997	0.000265481
18.9997	0.000270607
19.9997	0.000271799
20.9997	0.000273349
21.9997	0.000271799
22.9997	0.000273826
23.9997	0.000273468
24.9997	0.000268104
25.9997	0.000264408
26.9997	0.000256421
27.9997	0.000248434
28.9997	0.000242234
29.9997	0.000232101
30.9998	0.000225187
31.9998	0.000216962
32.9998	0.000208975
33.9998	0.000207067
34.9998	0.000202776
35.9998	0.000200988
36.9998	0.000199557
37.9998	0.000197054
38.9998	0.000200153
39.9998	0.000203134
40.9998	0.000206233
41.9998	0.000220777
42.9998	0.000228048
43.9998	0.000225426
44.9998	0.000214578
45.9998	0.000204206
46.9997	0.000202776
47.9999	0.0001992
48.9999	0.000199557
49.9999	0.000198365
50.9999	0.000197769
51.9999	0.000195743
52.9999	0.000195147
53.9999	0.000192405
54.9999	0.000195981
55.9999	0.00019312
56.9999	0.000189424
57.9999	0.000193478
58.9999	0.000192524
59.9999	0.000190378
60.9999	0.000190736
61.9999	0.000193001
62.9999	0.000189782
63.9999	0.000192762
64.9999	0.000192286
66	0.000194193
67	0.000198365
68	0.000206471
69	0.000210167
70	0.000214339
71	0.000223399
72	0.000226499
73	0.000232101
74	0.000234009
75	0.000233413
75	0.000233532
