Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
-0.249344	0.000374796
0.000656128	0.000375273
0.250656	0.000372889
0.500656	0.000375273
0.750648	0.000373842
1.00066	0.000379564
1.25065	0.000376703
1.50064	0.000378611
1.75064	0.000376226
2.00064	0.000376226
2.25064	0.00037718
2.50063	0.00037718
2.75064	0.000377657
3.00063	0.000374319
3.25063	0.000376703
3.50063	0.000378611
3.75063	0.000372889
4.00063	0.00037575
4.25062	0.000376226
4.50063	0.000378134
4.75062	0.000375273
5.00063	0.000379564
5.25062	0.00037718
5.50062	0.00037718
5.75061	0.000372412
6.0006	0.000376226
6.25061	0.000376703
6.5006	0.00037718
6.75061	0.000373842
7.0006	0.000372412
7.2506	0.000376703
7.5006	0.000372889
7.7506	0.000372889
8.0006	0.000373842
8.25059	0.000375273
8.5006	0.000376226
8.75059	0.00037718
9.00059	0.000379564
9.25059	0.00037718
9.50059	0.000374796
9.75058	0.000376226
10.0006	0.00037718
10.2506	0.00037718
10.5006	0.000376703
10.7506	0.000375273
11.0006	0.000379087
11.2506	0.000376226
11.5006	0.000376226
11.7506	0.000379087
12.0006	0.000373842
12.2506	0.000371458
12.5006	0.000375273
12.7506	0.000376226
13.0006	0.000376703
13.2505	0.000374796
13.5006	0.00037575
13.7505	0.000374319
14.0005	0.000372412
14.2505	0.000371458
14.5005	0.000377657
14.7505	0.000373365
15.0005	0.000373365
15.2505	0.000371935
15.5005	0.000369551
15.7505	0.000371935
16.0005	0.000370027
16.2505	0.000370027
16.5005	0.000370504
16.7505	0.000367643
17.0005	0.000368597
17.2505	0.000369551
17.5005	0.000369551
17.7505	0.00036669
18.0005	0.000368597
18.2505	0.000371458
18.5005	0.00036669
18.7505	0.000371935
19.0005	0.000368597
19.2505	0.000370027
19.5005	0.000370504
19.7505	0.000366213
20.0005	0.000368597
20.2505	0.000365736
20.5005	0.00036669
20.7505	0.000370027
21.0005	0.00036669
21.2505	0.000367643
21.5005	0.000370504
21.7505	0.000369074
22.0005	0.000369074
22.2505	0.000371935
22.5005	0.000367643
22.7505	0.000369551
23.0005	0.000370504
23.2505	0.000369551
23.5005	0.000367643
23.7505	0.000371935
24.0005	0.00036812
24.2505	0.000369551
24.5005	0.000369551
24.7505	0.000371935
25.0005	0.000365736
25.2485	0.000371935
25.4986	0.000368597
25.7505	0.000366213
26.0005	0.000361921
26.2505	0.000362398
26.5005	0.000363829
26.7505	0.000360491
27.0005	0.000360968
27.2505	0.000361921
27.5004	0.000362875
27.7504	0.000362875
28.0004	0.000361921
28.2504	0.000360014
28.5004	0.000360491
28.7504	0.000364305
29.0004	0.000358107
29.2504	0.000364305
29.5004	0.000359537
29.7504	0.000356676
30.0004	0.000359537
30.2504	0.000359537
30.5004	0.000359537
30.7504	0.00035906
31.0004	0.000359537
31.2504	0.000360014
31.5004	0.000355722
31.7504	0.000357153
32.0004	0.000352861
32.2504	0.000358583
32.5004	0.00035763
32.7504	0.000353338
33.0004	0.000356676
33.2504	0.000354292
33.5004	0.000355246
33.7504	0.000351908
34.0004	0.000352861
34.2504	0.00035
34.5004	0.000350477
34.7504	0.00034857
35.0004	0.00034857
35.2504	0.000351908
35.5004	0.000352385
35.7504	0.000350954
36.0004	0.00034857
36.2504	0.000351908
36.5004	0.000351908
36.7504	0.000350954
37.0004	0.000350954
37.2504	0.000349047
37.5004	0.000347139
37.7504	0.000347616
38.0004	0.000347139
38.2504	0.00034857
38.4989	0.000345709
38.7504	0.000353815
39.0004	0.00034857
39.2504	0.000351431
39.5004	0.000351908
39.7504	0.000350954
40.0003	0.000353815
40.2503	0.000355246
40.5003	0.000349523
40.7503	0.000349523
41.0003	0.000349523
41.2503	0.000354769
41.5003	0.000354292
41.7503	0.000352861
42.0003	0.000356199
42.2503	0.000356199
42.5003	0.000355246
42.7503	0.000355722
43.0003	0.000356199
43.2503	0.000356199
43.5003	0.000358107
