"angle relative to rotation stage (degrees) (0 is max with no sample, 180 would block laser beam) - Plot 0"	Lock-in Signal Amplitude (V) - Plot 0
104.999	0.000374796
104.749	0.000375273
104.499	0.000372889
104.249	0.000375273
103.999	0.000373842
103.749	0.000379564
103.499	0.000376703
103.249	0.000378611
102.999	0.000376226
102.749	0.000376226
102.499	0.00037718
102.249	0.00037718
101.999	0.000377657
101.749	0.000374319
101.499	0.000376703
101.249	0.000378611
100.999	0.000372889
100.749	0.00037575
100.499	0.000376226
100.249	0.000378134
99.9994	0.000375273
99.7494	0.000379564
99.4994	0.00037718
99.2494	0.00037718
98.9994	0.000372412
98.7494	0.000376226
98.4994	0.000376703
98.2494	0.00037718
97.9994	0.000373842
97.7494	0.000372412
97.4994	0.000376703
97.2494	0.000372889
96.9994	0.000372889
96.7494	0.000373842
96.4994	0.000375273
96.2494	0.000376226
95.9994	0.00037718
95.7494	0.000379564
95.4994	0.00037718
95.2494	0.000374796
94.9994	0.000376226
94.7494	0.00037718
94.4994	0.00037718
94.2494	0.000376703
93.9994	0.000375273
93.7494	0.000379087
93.4994	0.000376226
93.2494	0.000376226
92.9994	0.000379087
92.7494	0.000373842
92.4994	0.000371458
92.2494	0.000375273
91.9994	0.000376226
91.7495	0.000376703
91.4994	0.000374796
91.2495	0.00037575
90.9995	0.000374319
90.7495	0.000372412
90.4995	0.000371458
90.2495	0.000377657
89.9995	0.000373365
89.7495	0.000373365
89.4995	0.000371935
89.2495	0.000369551
88.9995	0.000371935
88.7495	0.000370027
88.4995	0.000370027
88.2495	0.000370504
87.9995	0.000367643
87.7495	0.000368597
87.4995	0.000369551
87.2495	0.000369551
86.9995	0.00036669
86.7495	0.000368597
86.4995	0.000371458
86.2495	0.00036669
85.9995	0.000371935
85.7495	0.000368597
85.4995	0.000370027
85.2495	0.000370504
84.9995	0.000366213
84.7495	0.000368597
84.4995	0.000365736
84.2495	0.00036669
83.9995	0.000370027
83.7495	0.00036669
83.4995	0.000367643
83.2495	0.000370504
82.9995	0.000369074
82.7495	0.000369074
82.4995	0.000371935
82.2495	0.000367643
81.9995	0.000369551
81.7495	0.000370504
81.4995	0.000369551
81.2495	0.000367643
80.9995	0.000371935
80.7495	0.00036812
80.4995	0.000369551
80.2495	0.000369551
79.9995	0.000371935
79.7515	0.000365736
79.5014	0.000371935
79.2495	0.000368597
78.9995	0.000366213
78.7495	0.000361921
78.4995	0.000362398
78.2495	0.000363829
77.9995	0.000360491
77.7495	0.000360968
77.4996	0.000361921
77.2496	0.000362875
76.9996	0.000362875
76.7496	0.000361921
76.4996	0.000360014
76.2496	0.000360491
75.9996	0.000364305
75.7496	0.000358107
75.4996	0.000364305
75.2496	0.000359537
74.9996	0.000356676
74.7496	0.000359537
74.4996	0.000359537
74.2496	0.000359537
73.9996	0.00035906
73.7496	0.000359537
73.4996	0.000360014
73.2496	0.000355722
72.9996	0.000357153
72.7496	0.000352861
72.4996	0.000358583
72.2496	0.00035763
71.9996	0.000353338
71.7496	0.000356676
71.4996	0.000354292
71.2496	0.000355246
70.9996	0.000351908
70.7496	0.000352861
70.4996	0.00035
70.2496	0.000350477
69.9996	0.00034857
69.7496	0.00034857
69.4996	0.000351908
69.2496	0.000352385
68.9996	0.000350954
68.7496	0.00034857
68.4996	0.000351908
68.2496	0.000351908
67.9996	0.000350954
67.7496	0.000350954
67.4996	0.000349047
67.2496	0.000347139
66.9996	0.000347616
66.7496	0.000347139
66.5011	0.00034857
66.2496	0.000345709
65.9996	0.000353815
65.7496	0.00034857
65.4996	0.000351431
65.2496	0.000351908
64.9997	0.000350954
64.7497	0.000353815
64.4997	0.000355246
64.2497	0.000349523
63.9997	0.000349523
63.7497	0.000349523
63.4997	0.000354769
63.2497	0.000354292
62.9997	0.000352861
62.7497	0.000356199
62.4997	0.000356199
62.2497	0.000355246
61.9997	0.000355722
61.7497	0.000356199
61.4997	0.000356199
61.2497	0.000358107
60.9997	0.000358583
60.7497	0.00035763
60.4997	0.000355722
60.2497	0.000355246
59.9997	0.000359537
59.7497	0.000360014
59.4997	0.000360968
59.2497	0.000358583
58.9997	0.000361921
58.7497	0.000368597
58.4997	0.000369074
58.2497	0.000368597
57.9997	0.000371458
57.7497	0.00037575
57.4997	0.000379564
57.2497	0.000383379
56.9997	0.000390531
56.7497	0.000392916
56.4997	0.000393393
56.2497	0.000398638
55.9997	0.000401022
55.7497	0.000407221
55.4997	0.000407221
55.2497	0.000414373
54.9997	0.000420572
54.7497	0.000428202
54.4997	0.000432016
54.2497	0.000433924
53.9997	0.000437262
53.7497	0.00044203
53.4997	0.000444891
53.2497	0.000454905
52.9997	0.000467779
52.7497	0.000477316
52.4998	0.000485422
52.2498	0.000494484
51.9998	0.000514511
51.7498	0.000526909
51.4998	0.000541214
51.2498	0.000551227
50.9998	0.000564579
50.7498	0.000579361
50.4998	0.000594143
50.2498	0.000600819
49.9998	0.000607971
49.7498	0.000629906
49.4998	0.000648502
49.2498	0.000665668
48.9998	0.000688557
48.7498	0.0007062
48.4998	0.000726704
48.2498	0.000740532
47.9998	0.00077391
47.75	0.000788216
47.5001	0.000823501
47.2498	0.000863079
46.9998	0.000890259
46.7498	0.000909332
46.4998	0.000954155
46.2498	0.000989921
45.9998	0.0010295
45.7498	0.00107194
45.4998	0.00111342
45.2498	0.0011468
44.9998	0.00119353
