Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
-18.9987	8.55E-05
-18.7487	8.57E-05
-18.4987	8.64E-05
-18.2487	8.17E-05
-17.9987	7.75E-05
-17.7487	7.90E-05
-17.4987	7.93E-05
-17.2487	7.98E-05
-16.9987	7.64E-05
-16.7487	7.58E-05
-16.4987	7.58E-05
-16.2487	7.74E-05
-15.9987	7.62E-05
-15.7487	7.37E-05
-15.4987	7.39E-05
-15.2487	7.38E-05
-14.9987	6.98E-05
-14.7487	6.78E-05
-14.4987	6.58E-05
-14.2487	6.84E-05
-13.9987	6.56E-05
-13.7487	6.84E-05
-13.4987	6.46E-05
-13.2487	6.29E-05
-12.9987	6.22E-05
-12.7487	6.17E-05
-12.4987	6.12E-05
-12.249	6.08E-05
-11.9989	5.93E-05
-11.7487	6.47E-05
-11.4987	5.91E-05
-11.2487	5.97E-05
-10.9987	5.97E-05
-10.7487	5.85E-05
-10.4987	5.66E-05
-10.2487	5.73E-05
-9.99876	5.72E-05
-9.74875	5.87E-05
-9.49876	5.64E-05
-9.24876	5.67E-05
-8.99876	5.71E-05
-8.74876	5.82E-05
-8.49876	5.81E-05
-8.24878	5.52E-05
-7.99876	5.72E-05
-7.74878	5.91E-05
-7.49878	5.53E-05
-7.24878	5.67E-05
-6.99878	5.61E-05
-6.74878	5.75E-05
-6.49878	5.85E-05
-6.24878	5.73E-05
-5.99982	5.88E-05
-5.75035	5.61E-05
-5.50018	5.73E-05
-5.24879	5.73E-05
-4.99879	5.97E-05
-4.74879	5.65E-05
-4.49879	5.66E-05
-4.24879	5.32E-05
-3.99879	5.61E-05
-3.74881	5.79E-05
-3.49881	5.72E-05
-3.24881	5.51E-05
-2.99881	5.45E-05
-2.74881	5.75E-05
-2.49922	5.50E-05
-2.24881	5.51E-05
-1.99883	5.32E-05
-1.74883	5.63E-05
-1.49883	5.45E-05
-1.24883	5.01E-05
-0.998825	5.00E-05
-0.748825	5.53E-05
-0.498825	5.42E-05
-0.248825	5.41E-05
0.00117493	5.48E-05
0.25116	5.51E-05
0.50116	5.56E-05
0.75116	5.28E-05
1.00116	5.56E-05
1.25116	5.29E-05
1.50116	5.20E-05
1.75116	5.09E-05
2.00116	5.37E-05
2.25114	5.32E-05
2.50114	5.00E-05
2.75114	4.87E-05
3.00114	4.89E-05
3.25114	5.17E-05
3.50114	5.22E-05
3.75114	5.15E-05
4.00113	4.99E-05
4.25113	5.11E-05
4.50113	5.47E-05
4.75113	5.31E-05
5.00113	5.23E-05
5.25113	5.44E-05
5.50113	5.25E-05
5.75111	5.39E-05
6.00113	5.35E-05
6.25111	5.10E-05
6.50111	5.16E-05
6.75111	5.38E-05
7.00111	5.05E-05
7.25111	5.20E-05
7.50111	5.30E-05
7.75111	5.37E-05
7.99966	5.22E-05
8.24957	4.97E-05
8.5011	5.30E-05
8.7511	5.29E-05
9.0011	5.33E-05
9.2511	5.28E-05
9.5011	5.07E-05
9.75108	5.19E-05
10.0011	5.29E-05
10.2511	5.05E-05
10.5011	5.41E-05
10.7511	5.11E-05
11.0011	5.09E-05
11.2511	5.35E-05
11.5011	5.58E-05
11.7511	5.10E-05
12.0011	5.23E-05
12.2511	5.15E-05
12.5011	5.33E-05
12.7511	5.30E-05
13.0011	5.29E-05
13.2511	5.05E-05
13.5011	5.21E-05
13.7511	5.22E-05
14.0011	5.19E-05
14.2511	5.27E-05
14.5011	5.41E-05
14.7511	5.16E-05
15.0011	5.33E-05
15.2511	5.19E-05
15.501	5.89E-05
15.7509	5.33E-05
16.001	5.58E-05
16.251	5.57E-05
16.501	5.67E-05
16.751	5.53E-05
17.001	5.55E-05
17.251	5.49E-05
17.501	5.50E-05
17.751	5.52E-05
18.001	5.50E-05
18.251	5.48E-05
18.501	5.35E-05
18.751	5.51E-05
19.001	5.64E-05
19.251	6.00E-05
19.501	5.58E-05
19.751	5.89E-05
20.001	5.78E-05
20.251	5.80E-05
20.501	5.50E-05
20.751	5.54E-05
21.001	5.70E-05
21.251	5.80E-05
21.501	5.90E-05
