Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
-18.9987	8.08E-05
-18.7487	8.27E-05
-18.4987	8.06E-05
-18.2487	8.08E-05
-17.9987	7.96E-05
-17.7487	8.03E-05
-17.4987	7.58E-05
-17.2487	7.30E-05
-16.9987	7.30E-05
-16.7487	7.25E-05
-16.4987	7.10E-05
-16.2487	6.91E-05
-15.9987	7.18E-05
-15.7487	7.25E-05
-15.4987	7.27E-05
-15.2487	7.01E-05
-14.9987	7.03E-05
-14.7487	7.18E-05
-14.4987	6.87E-05
-14.2487	6.75E-05
-13.9987	6.25E-05
-13.7487	6.53E-05
-13.4987	6.49E-05
-13.2487	6.51E-05
-12.9987	6.53E-05
-12.7487	6.53E-05
-12.4987	6.63E-05
-12.2487	6.75E-05
-11.9987	6.82E-05
-11.7487	6.91E-05
-11.4987	6.41E-05
-11.2487	7.13E-05
-10.9987	6.53E-05
-10.7487	6.46E-05
-10.4987	6.34E-05
-10.2487	6.46E-05
-9.99876	6.53E-05
-9.74875	6.79E-05
-9.49876	6.46E-05
-9.24876	6.51E-05
-8.99876	6.60E-05
-8.74876	6.56E-05
-8.49876	6.44E-05
-8.24878	6.41E-05
-7.99876	6.34E-05
-7.74878	6.51E-05
-7.49878	6.49E-05
-7.24878	6.29E-05
-6.99878	6.18E-05
-6.74878	6.01E-05
-6.49878	6.37E-05
-6.24878	6.41E-05
-5.99879	6.08E-05
-5.74878	6.32E-05
-5.49879	6.06E-05
-5.24879	5.79E-05
-4.99879	6.06E-05
-4.74879	6.29E-05
-4.49879	6.15E-05
-4.25063	6.20E-05
-4.00027	6.13E-05
-3.75063	5.79E-05
-3.49881	6.01E-05
-3.24881	6.15E-05
-2.99881	6.10E-05
-2.74881	6.06E-05
-2.49881	6.25E-05
-2.24881	6.18E-05
-1.99883	5.79E-05
-1.74883	5.96E-05
-1.49883	5.98E-05
-1.24883	5.89E-05
-0.998825	6.03E-05
-0.748825	6.37E-05
-0.498825	6.03E-05
-0.248825	6.03E-05
0.00117493	5.58E-05
0.25116	6.08E-05
0.50116	5.91E-05
0.75116	5.98E-05
1.00116	5.98E-05
1.25116	6.13E-05
1.50116	6.25E-05
1.75116	5.84E-05
2.00116	5.91E-05
2.25114	5.87E-05
2.50114	5.70E-05
2.75114	5.87E-05
3.00114	5.67E-05
3.25114	5.58E-05
3.50114	5.44E-05
3.75114	5.98E-05
4.00113	5.70E-05
4.25113	5.58E-05
4.50032	5.75E-05
4.75113	5.79E-05
5.00113	5.63E-05
5.25113	5.67E-05
5.50113	5.91E-05
5.75111	5.75E-05
6.00113	5.60E-05
6.25111	6.01E-05
6.50111	5.75E-05
6.75111	5.67E-05
7.00111	5.82E-05
7.25111	5.48E-05
7.50111	5.65E-05
7.75111	5.41E-05
8.0011	5.58E-05
8.25111	5.48E-05
8.5011	5.72E-05
8.7511	5.60E-05
9.00078	5.46E-05
9.25066	5.36E-05
9.50053	5.63E-05
9.75108	5.79E-05
10.0011	5.60E-05
10.2511	5.34E-05
10.5011	5.60E-05
10.7511	5.67E-05
11.0011	6.03E-05
11.2511	5.46E-05
11.5011	5.58E-05
11.7511	5.67E-05
12.0011	5.70E-05
12.2511	5.58E-05
12.5011	5.75E-05
12.7511	6.01E-05
13.0011	5.53E-05
13.2511	5.91E-05
13.5011	5.82E-05
13.7511	5.87E-05
14.0011	5.48E-05
14.2511	5.96E-05
14.5011	5.56E-05
14.7511	5.87E-05
15.0011	5.79E-05
15.2511	5.48E-05
15.501	5.58E-05
15.7511	5.58E-05
16.001	5.39E-05
16.251	5.27E-05
16.501	5.46E-05
16.751	5.41E-05
17.001	5.36E-05
17.251	5.53E-05
17.501	5.34E-05
17.751	5.29E-05
18.001	5.20E-05
18.251	5.53E-05
18.501	5.01E-05
18.751	5.20E-05
19.001	5.20E-05
19.251	5.17E-05
19.501	5.25E-05
