Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
-18.9987	7.38E-05
-18.7487	7.47E-05
-18.4987	7.05E-05
-18.2487	6.96E-05
-17.9987	7.24E-05
-17.7487	6.96E-05
-17.4987	6.53E-05
-17.2487	6.55E-05
-16.9987	6.42E-05
-16.7487	6.04E-05
-16.4987	6.20E-05
-16.2487	6.29E-05
-15.9987	6.50E-05
-15.7487	6.13E-05
-15.4987	6.27E-05
-15.2487	5.91E-05
-14.9987	5.96E-05
-14.7487	6.19E-05
-14.4987	6.06E-05
-14.2487	5.94E-05
-13.9987	6.09E-05
-13.7487	6.00E-05
-13.4987	5.84E-05
-13.2487	5.69E-05
-12.9987	5.69E-05
-12.7487	5.94E-05
-12.4987	5.87E-05
-12.2487	5.92E-05
-11.9987	5.89E-05
-11.7487	5.72E-05
-11.4987	5.73E-05
-11.2487	5.38E-05
-10.9987	5.11E-05
-10.7487	5.31E-05
-10.4987	5.56E-05
-10.2487	5.20E-05
-9.99876	5.27E-05
-9.74875	5.29E-05
-9.49876	5.13E-05
-9.24876	5.25E-05
-8.99876	5.76E-05
-8.74876	5.45E-05
-8.49876	5.41E-05
-8.24878	5.59E-05
-7.99876	5.39E-05
-7.74878	5.66E-05
-7.49878	5.56E-05
-7.24878	5.51E-05
-6.99878	5.30E-05
-6.74878	5.20E-05
-6.49878	5.37E-05
-6.24878	5.25E-05
-5.99879	5.48E-05
-5.74878	5.23E-05
-5.49879	5.57E-05
-5.24879	5.54E-05
-4.99879	5.26E-05
-4.74879	5.09E-05
-4.49879	5.51E-05
-4.24879	5.36E-05
-3.99879	5.45E-05
-3.74881	5.05E-05
-3.49881	4.88E-05
-3.24881	5.45E-05
-2.99881	5.16E-05
-2.74881	5.38E-05
-2.49881	5.18E-05
-2.24881	5.18E-05
-1.99883	4.94E-05
-1.74883	5.12E-05
-1.49883	4.87E-05
-1.24883	5.26E-05
-0.998825	5.14E-05
-0.748825	5.08E-05
-0.498825	5.19E-05
-0.248825	4.91E-05
0.00117493	5.08E-05
0.25116	4.68E-05
0.50116	5.10E-05
0.75116	5.19E-05
1.00116	5.03E-05
1.25116	5.41E-05
1.50116	4.96E-05
1.75116	5.10E-05
2.00116	5.31E-05
2.25114	4.93E-05
2.50114	4.92E-05
2.75114	4.85E-05
3.00114	4.92E-05
3.25114	4.85E-05
3.50114	5.08E-05
3.75114	5.02E-05
4.00113	4.80E-05
4.25113	4.92E-05
4.50113	4.70E-05
4.75113	4.67E-05
5.00113	4.99E-05
5.2507	4.98E-05
5.50066	4.71E-05
5.75021	5.02E-05
6.00113	4.82E-05
6.25111	4.80E-05
6.50111	4.79E-05
6.75111	4.59E-05
7.00111	4.68E-05
7.25111	4.89E-05
7.50111	4.89E-05
7.75111	4.66E-05
8.0011	4.54E-05
8.25111	4.83E-05
8.5011	4.57E-05
8.7511	4.98E-05
9.0011	4.97E-05
9.2511	4.71E-05
9.50085	4.68E-05
9.75081	4.64E-05
10.0009	4.66E-05
10.2504	4.88E-05
10.5011	4.60E-05
10.7511	4.60E-05
11.0011	4.54E-05
11.2511	4.70E-05
11.5011	4.57E-05
11.7511	4.59E-05
12.0011	4.55E-05
12.2511	4.46E-05
12.5011	4.52E-05
12.7511	4.33E-05
13.0011	4.57E-05
13.2511	4.48E-05
13.5011	4.58E-05
13.7511	4.45E-05
14.0011	4.49E-05
14.2511	4.29E-05
14.5011	4.73E-05
14.7511	4.47E-05
15.0011	4.57E-05
15.2511	4.58E-05
15.5009	4.74E-05
15.7511	4.65E-05
16.001	4.32E-05
16.251	4.47E-05
16.501	4.38E-05
16.751	4.37E-05
17.001	4.46E-05
17.251	4.34E-05
17.501	4.48E-05
17.751	4.23E-05
18.001	4.27E-05
18.251	4.31E-05
18.501	4.67E-05
18.751	4.85E-05
19.001	4.68E-05
19.251	4.63E-05
19.501	4.48E-05
19.751	4.20E-05
20.001	4.46E-05
20.251	4.48E-05
20.501	4.52E-05
20.751	4.20E-05
21.001	4.45E-05
21.251	4.33E-05
21.501	4.43E-05
21.751	4.35E-05
22.001	4.39E-05
22.251	4.17E-05
22.501	4.40E-05
22.751	4.27E-05
23.001	4.74E-05
23.251	4.65E-05
23.501	4.39E-05
23.751	4.17E-05
24.001	4.41E-05
24.251	4.23E-05
24.501	3.99E-05
24.751	4.01E-05
25.001	4.18E-05
25.251	4.08E-05
25.501	3.87E-05
25.751	4.04E-05
26.001	3.96E-05
26.251	3.98E-05
26.501	4.21E-05
26.751	4.02E-05
27.001	4.04E-05
27.251	4.04E-05
27.5009	4.06E-05
27.751	3.91E-05
28.0009	3.58E-05
28.251	3.86E-05
28.5009	3.70E-05
28.7509	3.78E-05
29.0009	3.67E-05
29.2509	3.80E-05
29.5009	4.04E-05
29.7509	3.79E-05
30.0009	3.64E-05
30.2509	3.75E-05
30.5009	3.77E-05
30.7509	3.75E-05
31.0009	3.44E-05
31.2509	3.67E-05
31.5009	3.75E-05
31.7509	3.99E-05
32.0009	3.82E-05
32.2509	3.36E-05
32.5009	3.68E-05
32.7509	3.47E-05
33.0009	3.52E-05
33.2509	3.72E-05
33.5009	3.56E-05
33.7509	3.64E-05
34.0009	3.47E-05
34.2509	3.39E-05
34.5009	3.23E-05
34.7509	3.43E-05
35.0009	3.58E-05
35.2509	3.39E-05
35.5009	3.71E-05
35.7509	3.59E-05
36.0009	3.38E-05
36.2509	3.69E-05
36.5009	3.53E-05
36.7509	3.43E-05
37.0009	3.10E-05
37.2509	3.08E-05
37.5009	2.88E-05
37.7509	3.10E-05
38.0009	3.16E-05
38.2509	2.79E-05
38.5009	2.89E-05
38.7509	3.00E-05
39.0009	3.17E-05
39.2508	2.99E-05
39.5007	2.93E-05
39.7507	2.71E-05
40.0009	2.80E-05
40.2509	2.91E-05
40.5008	3.23E-05
40.7509	2.96E-05
41.0008	2.97E-05
41.2508	2.99E-05
41.5008	2.67E-05
41.7508	2.91E-05
42.0008	2.81E-05
42.2508	2.97E-05
42.5008	3.11E-05
42.7508	2.77E-05
43.0008	2.50E-05
43.2508	2.59E-05
43.5008	2.56E-05
43.7508	2.41E-05
44.0008	2.46E-05
44.2508	2.52E-05
44.5008	2.40E-05
44.7508	2.59E-05
45.0008	2.83E-05
45.2508	2.62E-05
45.5008	2.65E-05
45.7508	2.53E-05
46.0008	2.69E-05
46.2508	2.55E-05
46.5008	2.51E-05
46.7508	1.99E-05
47.0008	2.52E-05
47.2508	2.21E-05
47.5008	2.49E-05
47.7508	2.18E-05
48.0008	2.28E-05
48.2508	2.34E-05
48.5008	2.15E-05
48.7508	2.26E-05
49.0008	2.28E-05
49.2508	2.17E-05
49.5008	2.37E-05
49.7508	2.33E-05
50.0008	1.98E-05
50.2508	2.06E-05
50.5008	2.28E-05
50.7508	2.23E-05
51.0008	1.95E-05
51.2508	1.88E-05
51.5008	1.91E-05
51.7508	1.94E-05
52.0008	2.23E-05
52.2508	2.01E-05
52.5008	1.90E-05
52.7508	1.94E-05
53.0008	1.74E-05
53.2508	2.02E-05
53.5007	2.09E-05
53.7508	1.88E-05
54.0007	2.02E-05
54.2507	1.70E-05
54.5007	1.88E-05
54.7507	1.63E-05
55.0007	1.76E-05
55.2507	1.62E-05
55.5007	1.54E-05
55.7507	1.90E-05
56.0007	1.76E-05
56.2507	1.57E-05
56.5007	1.42E-05
56.7507	1.76E-05
57.0007	1.71E-05
57.2507	1.78E-05
57.5007	1.91E-05
57.7507	1.96E-05
58.0007	1.50E-05
58.2507	1.65E-05
58.5007	1.79E-05
58.7507	1.84E-05
59.0007	1.82E-05
59.2507	1.39E-05
59.5007	1.48E-05
59.7507	1.40E-05
60.0007	1.40E-05
60.2507	1.48E-05
60.5007	1.39E-05
60.7507	1.51E-05
61.0007	1.19E-05
61.2507	1.65E-05
61.5007	1.26E-05
61.7507	1.32E-05
62.0007	1.32E-05
62.2507	1.45E-05
62.5007	1.42E-05
62.7507	1.56E-05
63.0007	1.28E-05
63.2507	1.39E-05
63.5007	1.47E-05
63.7507	1.26E-05
64.0007	1.41E-05
64.2507	1.51E-05
64.5007	1.42E-05
64.7507	1.44E-05
65.0007	1.43E-05
65.2507	1.16E-05
65.5007	1.29E-05
65.7507	1.56E-05
66.0006	1.59E-05
66.2506	1.42E-05
66.5006	1.39E-05
66.7506	1.47E-05
66.9989	1.24E-05
67.2488	1.35E-05
67.5006	1.11E-05
67.7506	8.88E-06
68.0006	1.32E-05
68.2506	1.34E-05
68.5006	1.20E-05
68.7506	1.36E-05
69.0006	1.44E-05
69.2506	1.44E-05
69.5006	1.29E-05
69.7506	1.27E-05
70.0006	1.42E-05
70.2506	1.10E-05
70.5006	1.59E-05
70.7506	1.33E-05
71.0006	1.62E-05
71.2506	1.54E-05
71.5006	1.84E-05
71.7506	1.11E-05
72.0006	1.51E-05
72.2506	1.53E-05
72.5006	1.55E-05
72.7506	1.31E-05
73.0006	1.51E-05
73.2506	1.20E-05
73.5006	1.20E-05
73.7506	1.31E-05
74.0006	1.56E-05
74.2506	1.34E-05
74.5006	1.63E-05
74.7506	1.60E-05
75.0006	1.62E-05
75.2506	1.85E-05
75.5006	1.65E-05
75.7506	1.59E-05
75.9998	1.60E-05
76.2498	1.77E-05
76.4995	1.53E-05
76.7506	1.52E-05
77.0006	1.71E-05
77.2506	1.47E-05
77.5006	1.68E-05
77.7506	1.51E-05
78.0006	1.80E-05
78.2506	1.76E-05
78.5006	1.89E-05
78.7506	1.77E-05
79.0005	1.91E-05
79.2505	1.67E-05
79.5005	1.96E-05
79.7505	1.73E-05
80.0005	2.17E-05
80.2505	2.32E-05
80.5002	2.19E-05
80.7505	2.12E-05
81.0005	1.96E-05
81.2505	1.79E-05
81.5005	1.92E-05
81.7505	2.02E-05
82.0005	1.75E-05
82.2505	2.28E-05
82.5005	2.14E-05
82.7505	1.68E-05
83.0005	1.93E-05
83.2505	1.98E-05
83.5005	2.07E-05
83.7505	1.83E-05
84.0005	2.13E-05
84.2505	2.15E-05
84.5005	2.18E-05
84.7505	2.38E-05
85.0005	2.15E-05
85.2503	2.10E-05
85.5004	2.28E-05
85.7504	2.29E-05
86.0003	2.23E-05
86.25	2.66E-05
86.5005	2.34E-05
86.7505	2.09E-05
87.0005	2.28E-05
87.2505	2.07E-05
87.5005	2.22E-05
87.7505	2.55E-05
88.0005	2.08E-05
88.2505	2.38E-05
88.5005	2.14E-05
88.7505	2.44E-05
89.0005	2.21E-05
89.2505	2.04E-05
89.5005	2.26E-05
89.7505	1.98E-05
90.0005	2.12E-05
90.2505	2.19E-05
90.5005	1.95E-05
90.7505	2.46E-05
91.0005	2.12E-05
91.2505	2.51E-05
91.5005	2.43E-05
91.7505	2.33E-05
92.0005	2.21E-05
92.2505	2.12E-05
92.5005	2.26E-05
92.7504	2.56E-05
93.0004	2.15E-05
93.2504	1.87E-05
93.5004	2.16E-05
93.7504	2.37E-05
94.0004	1.97E-05
94.2504	2.12E-05
94.5004	2.34E-05
94.7504	2.19E-05
95.0004	2.14E-05
95.2504	2.27E-05
95.5004	2.37E-05
95.7504	2.03E-05
96.0004	2.49E-05
96.2504	2.23E-05
96.4984	2.09E-05
96.7482	1.92E-05
97.0004	1.93E-05
97.2504	2.03E-05
97.5004	1.90E-05
97.7504	1.96E-05
98.0004	2.21E-05
98.2504	1.83E-05
98.5004	2.31E-05
98.7504	2.09E-05
99.0004	1.86E-05
99.2504	1.85E-05
99.5004	2.06E-05
99.7504	1.75E-05
100	2.10E-05
100.25	1.76E-05
100.5	1.88E-05
100.75	1.94E-05
101	1.55E-05
101.25	1.73E-05
101.5	1.93E-05
101.75	1.81E-05
102	1.93E-05
102.25	1.80E-05
102.5	1.67E-05
102.75	1.70E-05
103	1.81E-05
103.25	1.65E-05
103.5	1.79E-05
103.75	1.66E-05
104	1.65E-05
104.25	1.31E-05
104.5	1.08E-05
104.75	1.16E-05
105	2.02E-05
105.25	1.59E-05
105.5	1.39E-05
105.75	1.28E-05
106	1.47E-05
106.25	1.53E-05
106.5	1.28E-05
106.75	1.40E-05
107	1.18E-05
107.25	1.40E-05
107.5	1.17E-05
107.75	1.17E-05
108	1.46E-05
108.25	1.42E-05
108.5	1.13E-05
108.75	9.60E-06
109	1.04E-05
109.25	1.17E-05
109.5	9.12E-06
109.75	8.23E-06
110	7.99E-06
110.25	1.17E-05
110.5	1.07E-05
110.75	1.01E-05
111	9.42E-06
111.25	9.60E-06
111.5	8.05E-06
111.75	9.54E-06
112	1.01E-05
112.25	9.06E-06
112.5	6.62E-06
112.75	9.42E-06
113	6.56E-06
113.25	1.08E-05
113.5	7.75E-06
113.75	8.88E-06
114	1.22E-05
114.25	9.89E-06
114.5	1.18E-05
114.75	8.23E-06
115	1.06E-05
115.25	6.79E-06
115.5	4.11E-06
115.75	6.26E-06
116	4.53E-06
116.25	4.41E-06
116.5	3.64E-06
116.75	5.96E-06
117	6.14E-06
117.25	5.42E-06
117.5	3.16E-06
117.75	5.13E-06
118	3.40E-06
118.25	4.23E-06
118.5	6.91E-06
118.75	4.05E-06
119	7.45E-06
119.25	7.87E-06
119.5	7.15E-06
119.75	3.81E-06
120	9.36E-06
120.25	3.87E-06
120.5	6.85E-06
120.75	7.21E-06
121	5.48E-06
121.25	2.86E-06
121.499	4.71E-06
121.75	3.99E-06
122	5.48E-06
122.25	3.99E-06
122.5	6.50E-06
122.75	3.76E-06
123	6.26E-06
123.25	8.64E-06
123.5	6.20E-06
123.75	6.20E-06
124	4.77E-06
124.25	2.26E-06
124.5	7.45E-06
124.75	7.15E-06
125	2.15E-06
125.25	5.25E-06
125.5	4.35E-06
125.75	7.27E-06
126	6.38E-06
126.25	4.71E-06
126.5	5.19E-06
126.75	5.54E-06
127	5.07E-06
127.25	6.68E-06
127.5	2.38E-06
127.75	6.20E-06
128	4.11E-06
128.25	7.33E-06
128.5	4.35E-06
128.75	3.70E-06
129	1.01E-05
129.25	6.91E-06
129.5	8.94E-06
129.75	5.30E-06
130	6.97E-06
130.25	1.13E-05
130.5	4.59E-06
130.75	1.11E-05
131	7.39E-06
131.25	9.95E-06
131.5	6.08E-06
131.75	8.58E-06
132	2.32E-06
132.25	6.85E-06
132.5	8.58E-06
132.75	9.60E-06
133	1.09E-05
133.25	1.07E-05
133.5	7.39E-06
133.75	1.33E-05
134	1.28E-05
134.25	1.27E-05
134.5	1.08E-05
134.75	1.30E-05
135	1.18E-05
135.25	1.14E-05
135.5	1.08E-05
