Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
-39.9991	0.00260879
-39.4991	0.00268508
-38.9991	0.00268127
-38.4991	0.00242139
-37.9991	0.0021062
-37.4993	0.00183249
-36.9991	0.00164653
-36.4991	0.00157023
-35.9991	0.00153018
-35.4991	0.00149918
-34.9991	0.00147773
-34.4992	0.0014639
-33.9992	0.00145388
-33.4992	0.00143958
-32.9992	0.00143004
-32.4992	0.00142289
-31.9992	0.00142289
-31.4992	0.00141478
-30.9993	0.00140763
-30.4992	0.00140286
-29.9992	0.00140668
-29.4992	0.00140239
-28.9992	0.00140048
-28.4992	0.00140286
-27.9992	0.00140048
-27.4992	0.00139714
-26.9992	0.00140096
-26.4992	0.00140286
-25.9992	0.00139857
-25.4992	0.00140048
-24.9992	0.00140096
-24.4992	0.00140477
-23.9992	0.00140715
-23.4992	0.00141621
-22.9992	0.00141669
-22.4992	0.00142003
-21.9992	0.00141955
-21.4993	0.0014248
-20.9993	0.00142813
-20.4993	0.00142384
-19.9993	0.00142813
-19.4993	0.0014329
-18.9993	0.00143386
-18.4993	0.00144149
-17.9993	0.00144721
-17.4993	0.00145007
-16.9993	0.00145579
-16.4993	0.00145627
-15.9993	0.00145913
-15.4993	0.00146056
-14.9993	0.0014658
-14.4993	0.00146914
-13.9993	0.00147391
-13.4993	0.00147582
-12.9993	0.00148249
-12.4993	0.00148679
-11.9993	0.00149394
-11.4993	0.00149251
-10.9996	0.00149585
-10.4993	0.00150014
-9.99934	0.00150061
-9.49934	0.00150157
-8.99935	0.00150252
-8.49935	0.00150538
-7.99935	0.00150777
-7.49936	0.0015154
-6.99966	0.00151969
-6.49937	0.00152493
-5.99937	0.00152827
-5.49937	0.0015359
-4.99938	0.00153304
-4.49938	0.00153685
-3.99938	0.00153781
-3.49939	0.00154019
-2.9994	0.00154687
-2.4994	0.00155354
-1.9994	0.00155354
-1.4994	0.00156022
-0.999413	0.00156213
-0.499413	0.00156546
0.000587463	0.00156356
0.50058	0.00156213
0.998642	0.00156022
1.50057	0.00156308
2.00056	0.00156451
2.50056	0.00156356
3.00056	0.00156785
3.50056	0.00157452
4.00055	0.00157119
4.50055	0.00157786
5.00055	0.00157357
5.50054	0.00157548
6.00053	0.00157595
6.50053	0.00157643
6.99969	0.00157882
7.50053	0.00158358
8.00052	0.00158263
8.50052	0.00157977
9.00052	0.00157882
9.50051	0.00158549
10.0005	0.00158454
10.5005	0.00158644
11.0005	0.00159217
11.5005	0.00158835
12.0005	0.00158692
12.5005	0.00158788
13.0005	0.0015812
13.5005	0.00157977
14.0005	0.00157786
14.5005	0.00158644
15.0005	0.00158311
15.5005	0.00158549
16.0005	0.00157977
16.5005	0.0015812
17.0005	0.00157214
17.5005	0.00157023
18.0004	0.00155879
18.5004	0.00155164
19.0004	0.00154448
19.5004	0.00154115
20.0004	0.00153447
20.5004	0.00152255
21.0004	0.00152493
21.5004	0.0015173
22.0004	0.00151778
22.5004	0.00151921
23.0004	0.00152207
23.5004	0.00152636
24.0004	0.00153447
24.5004	0.00153352
25.0004	0.00153685
25.5004	0.0015359
26.0004	0.00153638
26.4995	0.00153209
27.0004	0.00153065
27.5004	0.00152446
28.0004	0.00152446
28.5004	0.00151778
29.0004	0.00151921
29.5004	0.00150967
30.0004	0.00151253
30.5003	0.00151253
31.0003	0.00150777
31.5003	0.00149918
32.0003	0.0014968
32.5003	0.00148726
33.0003	0.00148249
33.4987	0.00147391
34.0003	0.00147153
34.5003	0.0014701
35.0003	0.0014658
35.5003	0.00146294
36.0003	0.00145436
36.5003	0.00144578
37.0003	0.00144053
37.5003	0.00143386
38.0003	0.0014329
38.5003	0.00142718
39.0003	0.00142241
39.5003	0.00141669
40.0003	0.00141335
40.5003	0.00140954
41.0003	0.00140858
41.5003	0.00140286
42.0003	0.00140286
42.5003	0.00140048
43.0002	0.00139619
43.5002	0.00138951
44.0002	0.00138665
44.5002	0.00138379
45.0002	0.00138284
45.5002	0.00137711
46.0002	0.00136996
46.5002	0.00136519
47.0002	0.0013609
47.5002	0.00135852
48.0002	0.00135184
48.5002	0.00134612
49.0002	0.00134278
49.5002	0.00133754
50.0002	0.00133181
50.5002	0.00132943
51.0001	0.00132418
51.5002	0.00131655
52.0002	0.00130225
52.5002	0.00129367
53.0002	0.00128651
53.5002	0.00127126
54.0002	0.00126601
54.5002	0.00125933
55.0002	0.0012579
55.5002	0.00125933
56.0001	0.0012517
56.5001	0.00124932
57.0001	0.00124074
57.5001	0.00123215
58.0001	0.00122453
58.5001	0.00121213
59.0001	0.00120688
59.5001	0.00119878
60.0001	0.00118781
60.5001	0.00118018
61.0001	0.00116778
61.5001	0.00115443
62.0001	0.00114823
62.5001	0.00113488
63.0001	0.00112344
63.5001	0.00111151
64.0001	0.00110055
64.5001	0.00108577
65.0001	0.00107289
65.5001	0.00105716
66.0001	0.00103904
66.5001	0.00102616
67.0001	0.00101329
67.5001	0.000992306
68.0001	0.000980861
68.5001	0.000967506
69	0.000950817
69.5	0.000934605
70	0.000926498
70.5	0.000913147
71	0.000895504
71.5	0.000877861
72	0.000868801
72.5	0.000854973
73	0.000834946
73.5	0.000812057
74	0.000797275
74.5	0.000783924
75	0.000769619
75	0.000766758
