Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
-18.9987	0.0028782
-18.4987	0.00277902
-17.9987	0.00270177
-17.4987	0.00262834
-16.9987	0.00255968
-16.4987	0.00247289
-15.9987	0.00241567
-15.4987	0.00236036
-14.9987	0.00230505
-14.4987	0.00226595
-13.9987	0.00222112
-13.4987	0.00218488
-12.9987	0.00215913
-12.4987	0.00213243
-11.9987	0.00210764
-11.4987	0.00208379
-10.9987	0.00206091
-10.4987	0.00204183
-9.99876	0.00202562
-9.49876	0.00199606
-8.99876	0.00197889
-8.49876	0.00197317
-7.99876	0.00196077
-7.49878	0.00195695
-6.99878	0.00194741
-6.49878	0.00193883
-5.99879	0.00192643
-5.49879	0.0019188
-4.99879	0.00191022
-4.49879	0.00190354
-3.99879	0.00190068
-3.49881	0.00189782
-2.99881	0.00189305
-2.49881	0.001894
-1.99883	0.00188828
-1.49883	0.00188447
-0.998825	0.00188447
-0.498825	0.00187588
0.00117493	0.00187112
0.50116	0.0018673
1.00116	0.00186635
1.50116	0.00187112
2.00116	0.00186444
2.50114	0.00186253
3.00114	0.00185872
3.50114	0.00185109
4.00113	0.00185014
4.50113	0.00184632
5.00113	0.00184918
5.50092	0.00184632
6.00113	0.00184918
6.50111	0.00184632
7.00111	0.00184823
7.50111	0.00184632
8.0011	0.00184537
8.5011	0.00185109
9.0011	0.00184823
9.5011	0.00184823
10.0011	0.00184823
10.5011	0.00184918
11.0011	0.00185395
11.5011	0.00185681
12.0011	0.00185872
12.5011	0.00186158
13.0011	0.00186539
13.5011	0.00185777
14.0011	0.00185967
14.5011	0.00185777
15.0011	0.00186635
15.501	0.00186921
16.001	0.00187302
16.501	0.00187207
17.001	0.00187207
17.501	0.00186921
18.0003	0.00187302
18.501	0.00187112
19.001	0.00187302
19.501	0.00187302
20.001	0.00188351
20.501	0.00188447
21.001	0.00189019
21.501	0.00189114
22.001	0.00189591
22.501	0.00189973
23.001	0.00190831
23.501	0.00190831
24.001	0.00191308
24.501	0.0019045
25.001	0.0019045
25.501	0.00189019
26.001	0.00188447
26.501	0.00187684
27.001	0.00187398
27.4994	0.00187588
27.9996	0.00187207
28.5009	0.00187398
29.0009	0.00186349
29.5009	0.00183869
30.0009	0.00182057
30.5009	0.00180817
31.0009	0.00178147
31.5009	0.00176812
32.0009	0.00175477
32.5009	0.00175095
33.0009	0.00173665
33.5009	0.00171853
34.0009	0.00169946
34.5009	0.00168038
35.0009	0.00165654
35.5009	0.00163461
36.0009	0.00161267
36.5009	0.00160027
37.0009	0.0015812
37.5009	0.00156594
38.0009	0.00155164
38.5009	0.00152779
39.0009	0.001503
39.5009	0.00148297
40.0009	0.00145913
40.5001	0.00144387
41.0008	0.00142575
41.5003	0.00140858
42.0008	0.0013876
42.5008	0.00137521
43.0008	0.00135709
43.5008	0.00133992
44.0008	0.00132275
44.5008	0.00129891
45.0008	0.00127984
45.5008	0.00126267
46.0008	0.00124741
46.5008	0.00122739
47.0008	0.00121403
47.5008	0.00119592
48.0008	0.00118161
48.5008	0.00116254
49.0008	0.00115205
49.5008	0.00113107
50.0008	0.00111771
50.5008	0.00110245
51.0008	0.0010872
51.5008	0.00106717
52.0008	0.00105286
52.5008	0.00103188
53.0008	0.00101186
53.5007	0.00100041
54.0007	0.000989921
54.5007	0.00097657
55.0007	0.000956539
55.5007	0.000945095
56.0007	0.000932697
56.5007	0.000914577
57.0007	0.000896458
57.5007	0.000881199
58.0007	0.000869755
58.5007	0.000854496
59.0007	0.000839237
59.5007	0.000823025
60.0007	0.00080872
60.5007	0.000797275
61.0007	0.000780109
61.5007	0.000761036
62.0007	0.000741009
62.5007	0.000727657
63.0007	0.000710491
63.5007	0.000690464
64.0003	0.000675205
64.4998	0.000661854
65.0007	0.000646595
65.5007	0.000630382
66.0006	0.000610355
66.5006	0.000597004
67.0006	0.000579838
67.5006	0.00056744
68.0006	0.000553135
68.5006	0.000537876
69.0006	0.000525478
69.5006	0.000510219
70.0006	0.000494007
70.5006	0.000473978
71.0006	0.000464441
71.5006	0.000446321
72.0006	0.000427248
72.5006	0.000412943
73.0006	0.000398638
73.5006	0.000381472
74.0006	0.000366213
74.5006	0.000353815
75.0006	0.000338556
75.5006	0.000320436
76.0006	0.000309946
76.5006	0.000296595
77.0006	0.000284197
77.5006	0.000265123
78.0006	0.000251772
78.5006	0.000244142
79.0005	0.000226022
79.5005	0.000211717
80.0005	0.000199319
80.5005	0.000182153
81.0005	0.000169755
81.5005	0.000158311
82.0005	0.000145913
82.5005	0.000132562
83.0005	0.000120163
83.5005	0.00010109
84.0002	8.20E-05
84.5001	6.39E-05
85.0002	5.53E-05
85.5005	5.25E-05
86.0005	5.72E-05
86.5005	5.72E-05
87.0005	6.29E-05
87.5005	6.20E-05
88.0005	6.20E-05
88.5005	5.72E-05
89.0005	5.91E-05
89.5005	6.01E-05
90.0005	5.63E-05
90.5005	5.53E-05
91.0005	5.72E-05
91.5005	5.53E-05
92.0005	5.34E-05
92.5005	5.15E-05
92.9998	5.15E-05
93.4996	4.96E-05
94	4.86E-05
94.5003	5.05E-05
95.0004	4.39E-05
95.5004	4.48E-05
96.0004	4.48E-05
96.5004	4.39E-05
97.0004	4.39E-05
97.5004	4.20E-05
98.0004	4.10E-05
98.5003	3.91E-05
99.0004	4.20E-05
99.5004	4.01E-05
100	3.72E-05
100.5	3.81E-05
101	3.91E-05
101.5	3.43E-05
102	3.72E-05
102.5	3.62E-05
103	3.72E-05
103.5	3.91E-05
104	4.10E-05
104.5	4.39E-05
105	4.39E-05
105.5	5.05E-05
106	5.53E-05
106.5	5.44E-05
107	5.72E-05
107.5	6.29E-05
108	6.96E-05
108.5	7.53E-05
109	7.72E-05
109.5	8.39E-05
110	9.44E-05
110.5	9.92E-05
111	0.000107766
111.5	0.000112534
112	0.000117302
112.5	0.000127793
113	0.000134469
113.5	0.000139237
114	0.000145913
114.5	0.00015545
115	0.000164033
115.5	0.000172616
116	0.000175477
116.499	0.000181199
117	0.000185967
117.5	0.000196458
118	0.000201226
118.5	0.000207902
119	0.000218392
119.5	0.000225068
120	0.0002203
120.5	0.000207902
121	0.00018406
121.5	0.000161172
122	0.000132562
122.5	0.00010109
123	8.20E-05
123.5	7.34E-05
124	7.15E-05
124.5	7.15E-05
125	7.25E-05
125.5	7.82E-05
126	8.11E-05
126.5	8.01E-05
127	8.58E-05
127.5	8.96E-05
128	9.06E-05
128.5	9.35E-05
129	9.92E-05
129.5	0.000103951
130	0.00011158
130.5	0.000114441
131	0.000116349
131.5	0.000115395
132	0.000121117
132.5	0.000115395
133	0.000115395
133.5	0.000116349
134	0.00011921
134.5	0.000117302
135	0.000117302
135.5	0.000133515
136	0.00013733
136.5	0.000136376
137	0.000130654
137.5	0.000123025
138	0.000112534
138.5	9.82E-05
139	8.30E-05
139.5	8.11E-05
140	8.11E-05
140.5	8.39E-05
141	8.11E-05
141.5	8.30E-05
142	8.39E-05
142.5	8.11E-05
143	8.01E-05
143.5	8.39E-05
144	8.39E-05
144.5	8.58E-05
145	8.58E-05
145.5	8.49E-05
146	8.39E-05
146.5	8.11E-05
147	7.92E-05
147.5	8.11E-05
148	7.82E-05
148.5	7.72E-05
149	8.11E-05
149.5	8.30E-05
150	8.30E-05
150	8.30E-05
-33.9987	0.00265028
-33.4987	0.00254728
-32.9987	0.00247575
-32.4987	0.00240709
-31.9987	0.00233938
-31.4987	0.00226118
-30.9987	0.00220396
-30.4987	0.0021496
-29.9987	0.00210668
-29.4987	0.00206281
-28.9987	0.0020199
-28.4987	0.00198843
-27.9987	0.00197031
-27.4987	0.00193978
-26.9987	0.00192261
-26.4987	0.00189687
-25.9987	0.00188161
-25.4987	0.00186635
-24.9988	0.00184441
-24.4988	0.00182725
-23.9988	0.00181103
-23.4994	0.00180627
-22.9988	0.00179482
-22.4988	0.00179673
-21.9988	0.0017891
-21.4988	0.00178815
-20.9988	0.0017748
-20.4988	0.00177384
-19.9988	0.0017624
-19.4988	0.00176049
-18.9988	0.00175668
-18.4988	0.00175572
-17.9988	0.00175572
-17.4988	0.00175763
-16.9988	0.00175858
-16.4988	0.00175572
-16.0004	0.00175286
-15.4988	0.00174714
-14.9988	0.00174428
-14.4988	0.00174619
-13.9988	0.00174619
-13.4988	0.00174523
-12.9988	0.00174428
-12.4993	0.00174428
-11.9989	0.0017376
-11.4989	0.00173569
-10.9989	0.00173569
-10.4989	0.00173856
-9.99887	0.00173474
-9.49887	0.00173569
-8.99887	0.00174142
-8.49889	0.00174046
-7.99889	0.00173569
-7.49895	0.00173856
-6.9989	0.00174046
-6.4989	0.00174046
-5.9989	0.00174142
-5.4989	0.00173474
-4.9989	0.00173569
-4.49892	0.00173379
-3.99892	0.00173093
-3.49893	0.00172711
-2.99893	0.00172902
-2.49893	0.00172902
-1.99893	0.00172902
-1.49893	0.00172425
-0.998932	0.00172425
-0.498947	0.0017252
0.00105286	0.00172616
0.501038	0.00172902
1.00104	0.0017252
1.50104	0.00172139
2.00104	0.00171948
2.50104	0.00171567
3.00104	0.00171757
3.50102	0.00171471
4.00102	0.00171185
4.50101	0.00171185
5.00101	0.00171281
5.50101	0.00171376
6.00101	0.00170899
6.50101	0.00170708
7.001	0.0017109
7.501	0.00171853
8.00098	0.00171567
8.50021	0.00171853
8.99994	0.00171567
9.50098	0.00171376
10.001	0.00170708
10.501	0.00170518
11.001	0.00169564
11.501	0.00169659
12.001	0.00170041
12.5009	0.00169564
13.0009	0.00170041
13.5009	0.00170518
14.0009	0.00170041
14.5009	0.00169659
15.0009	0.00169183
15.5009	0.00168801
16.0009	0.00168134
16.5009	0.00168038
17.0009	0.00168229
17.5009	0.00168896
18.0009	0.00168515
18.5009	0.0016842
19.0009	0.00167943
19.5009	0.00167752
20.0009	0.0016718
20.5009	0.00166512
21.0009	0.00166226
21.5009	0.00166322
22.0009	0.00166131
22.5009	0.00165368
23.0009	0.00165463
23.5009	0.00165177
24.0003	0.0016451
24.5009	0.00164605
25.0009	0.00164128
25.5008	0.00164319
26.0008	0.00164319
