Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
-18.9987	0.00269701
-18.4987	0.00262453
-17.9987	0.00256349
-17.4987	0.0025139
-16.9987	0.00245668
-16.4988	0.00239183
-15.9987	0.00234987
-15.4987	0.00229646
-14.9987	0.00226213
-14.4987	0.00223924
-13.9987	0.00220491
-13.4987	0.00218965
-12.9987	0.00217058
-12.4987	0.00215532
-11.9987	0.00213625
-11.4987	0.0021248
-10.9987	0.00211336
-10.4987	0.00210573
-9.99876	0.00208665
-9.49876	0.0020714
-8.99876	0.00205995
-8.49876	0.00205614
-7.99876	0.00204851
-7.49878	0.00205232
-6.99878	0.00204088
-6.49878	0.00203706
-5.99879	0.00202562
-5.49879	0.0020218
-4.99879	0.00201036
-4.49879	0.00200273
-3.99879	0.00199892
-3.49881	0.00200273
-2.99881	0.00200273
-2.49881	0.00199892
-1.99883	0.00199129
-1.49883	0.00198747
-0.998825	0.00198366
-0.498825	0.00198366
0.00117493	0.00198366
0.50116	0.00197984
1.00116	0.00197984
1.50116	0.00197984
2.00084	0.00197984
2.50114	0.00197221
3.00114	0.00196458
3.50114	0.00195695
4.00113	0.00195314
4.50113	0.00195314
5.00113	0.00194932
5.50113	0.0019455
6.00113	0.00194932
6.50111	0.0019455
7.00111	0.00193787
7.50111	0.00193406
8.0011	0.00193406
8.5011	0.00193024
9.0011	0.00192643
9.5011	0.00192643
10.0011	0.00191499
10.5011	0.00191499
11.0011	0.00190736
11.5011	0.00190354
12.0011	0.00190354
12.5011	0.00189973
13.0011	0.00189591
13.5011	0.0018921
14.0011	0.00188828
14.5011	0.00187684
15.0011	0.00187302
15.501	0.00187302
16.001	0.00186539
16.501	0.00185395
17.001	0.00184251
17.501	0.00183488
18.001	0.00182725
18.501	0.0018158
19.0009	0.00181199
19.5002	0.00180817
20.001	0.00179673
20.501	0.00179292
21.001	0.0017891
21.501	0.00178147
22.001	0.00177384
22.501	0.00177384
23.001	0.00177003
23.501	0.00176621
24.001	0.00175477
24.4999	0.00174714
25	0.00173951
25.501	0.00172807
26.001	0.00171281
26.501	0.00170899
27.001	0.00169755
27.5009	0.00169373
28.0009	0.00168229
28.5009	0.00167847
29.0008	0.00166322
29.5009	0.00165559
30.0009	0.00164033
30.5009	0.00162888
31.0009	0.00161362
31.5009	0.00160981
32.0009	0.00160218
32.5009	0.00159074
33.0009	0.00158311
33.5009	0.00157166
34.0009	0.00156022
34.5009	0.00154496
35.0009	0.00153352
35.5009	0.00152207
36.0009	0.00151444
36.5009	0.001503
37.0009	0.00149918
37.5009	0.0014763
38.0009	0.00146485
38.5009	0.00145341
39.0009	0.00143815
39.5009	0.00142289
40.0009	0.00140763
40.5008	0.00139619
41.0008	0.00138093
41.5008	0.0013733
42.0008	0.00136948
42.5008	0.00135041
43.0008	0.00133897
43.5008	0.00132752
44.0008	0.00130845
44.5008	0.001297
45.0008	0.00127793
45.5008	0.00126649
46.0008	0.00124741
46.5008	0.00123978
47.0008	0.00122453
47.5008	0.00120927
48.0008	0.00119019
48.5008	0.00117493
49.0008	0.00115586
49.5008	0.00113679
50.0008	0.00112534
50.5008	0.00110245
51.0008	0.00108338
51.5008	0.00106431
52.0005	0.00103761
52.5005	0.00101472
53.0008	0.00100327
53.5007	0.000984199
54.0007	0.000968937
54.5007	0.000946049
55.0007	0.000926975
55.5007	0.000907902
56.0007	0.000885013
56.5007	0.000862125
57.0007	0.000835422
57.5007	0.000816349
58.0006	0.000789646
58.5007	0.000762943
59.0007	0.00074387
59.5007	0.000717167
60.0007	0.000686649
60.5007	0.000659946
61.0007	0.000629429
61.5007	0.000598911
62.0007	0.000560764
62.5007	0.000530247
63.0007	0.000499729
63.5007	0.000473024
64.0007	0.000442507
64.5007	0.000408174
65.0007	0.000373842
65.5007	0.000350954
66.0006	0.000320436
66.5006	0.000289919
67.0006	0.000267031
67.5006	0.000240327
68.0006	0.000217439
68.5006	0.000198365
69.0006	0.000179292
69.5006	0.000156404
70.0006	0.000148774
70.5006	0.000133515
71.0006	0.000118256
71.5006	0.000106812
72.0006	0.000102997
72.5006	8.77E-05
73.0006	8.01E-05
73.5006	7.63E-05
74.0006	7.25E-05
74.5006	6.87E-05
75.0006	6.87E-05
75.5006	6.87E-05
76.0006	5.72E-05
76.5006	5.72E-05
77.0006	6.10E-05
77.5005	5.72E-05
78.0006	6.10E-05
78.5006	5.72E-05
79.0005	5.34E-05
79.5005	6.10E-05
80.0005	6.10E-05
80.5005	6.49E-05
81.0005	6.87E-05
81.5005	6.87E-05
82.0005	7.25E-05
82.5005	7.25E-05
83.0005	7.25E-05
83.5005	7.63E-05
84.0005	7.63E-05
84.5005	7.63E-05
85.0005	7.63E-05
85.5005	8.01E-05
86.0005	8.01E-05
86.5005	8.39E-05
87.0005	8.39E-05
87.5005	8.39E-05
88.0005	8.39E-05
