Photodiode Viewing Angle (Degrees) - Plot 0	Lock-in Signal Amplitude (V) - Plot 0
-18.9987	0.00257112
-18.4987	0.00249101
-17.9987	0.00242712
-17.4987	0.00237085
-16.9987	0.00231172
-16.4987	0.00224496
-15.9987	0.00219251
-15.4987	0.00214292
-14.9987	0.0020981
-14.4987	0.00206949
-13.9987	0.00203325
-13.4987	0.00201322
-12.9987	0.00199319
-12.4987	0.00197412
-11.9987	0.00195505
-11.4987	0.00193692
-10.9987	0.00192357
-10.4987	0.0019064
-9.99876	0.00189782
-9.49876	0.0018797
-8.99876	0.00186063
-8.49876	0.00185586
-7.99876	0.00184251
-7.49878	0.00183774
-6.99878	0.00183678
-6.49878	0.0018282
-5.99879	0.00182153
-5.49879	0.00181008
-4.99879	0.00180531
-4.49879	0.00179101
-3.99879	0.0017891
-3.49881	0.0017891
-2.99881	0.00178719
-2.49889	0.00178338
-1.99883	0.00178433
-1.49883	0.00177575
-0.998825	0.00176717
-0.498825	0.0017624
0.00117493	0.00175858
0.50116	0.00175095
1.00116	0.00174905
1.50116	0.00175
2.00116	0.00174714
2.50114	0.00174046
3.00114	0.00173474
3.50114	0.00173379
4.00113	0.00172234
4.50113	0.00171853
5.00113	0.00172044
5.50113	0.00171757
6.00113	0.00171567
6.50111	0.00171185
7.00111	0.00170899
7.50111	0.00170518
8.0011	0.00170327
8.5011	0.00170041
9.0011	0.0016985
9.5011	0.00169183
10.0011	0.00168229
10.5011	0.00167561
11.0011	0.00167561
11.5011	0.00167371
12.0007	0.00166989
12.5007	0.00166322
13.0011	0.00165654
13.4992	0.00165177
13.9991	0.00165368
14.5011	0.00164414
15.0011	0.00164319
15.501	0.00164033
16.001	0.00163461
16.501	0.00162507
17.001	0.0016203
17.501	0.00161362
18.001	0.00160504
18.501	0.00160218
19.001	0.0015936
19.501	0.00159169
20.001	0.00158311
20.501	0.00157643
21.001	0.00157262
21.501	0.00156785
22.001	0.00156594
22.501	0.00156117
23.001	0.00156689
23.501	0.00156308
24.001	0.00156308
24.501	0.00155354
25.001	0.00154115
25.501	0.00153447
26.001	0.00152589
26.501	0.00151635
27.001	0.00150967
27.5009	0.00150586
28.0009	0.001503
28.5009	0.00150014
29.0009	0.00149251
29.5009	0.00148488
30.0009	0.00146771
30.5009	0.00145722
31.0009	0.00144578
31.5009	0.00143719
32.0009	0.00143052
32.5009	0.00142098
33.0009	0.0014124
33.5009	0.00140572
34.0009	0.00138856
34.4993	0.00137044
34.9992	0.00135709
35.5009	0.00134564
35.9986	0.00133706
36.5009	0.00132752
37.0009	0.00132085
37.5009	0.00130845
38.0009	0.00129987
38.5009	0.00128842
39.0009	0.00127507
39.5009	0.00126458
40.0009	0.00124741
40.5008	0.00123883
41.0008	0.00122453
41.4996	0.00121499
41.9992	0.00120259
42.5008	0.00119305
43.0008	0.00118447
43.5008	0.00117493
44.0008	0.0011654
44.5008	0.001153
45.0008	0.00113488
45.5008	0.0011263
46.0008	0.00111295
46.5008	0.00110436
47.0008	0.00109101
47.5008	0.00107671
48.0008	0.00106812
48.5008	0.00105763
49.0008	0.00104142
49.5008	0.00102616
50.0008	0.00101853
50.5008	0.00100709
51.0008	0.000991829
51.5008	0.000974659
52.0008	0.000957493
52.5008	0.000942234
53.0008	0.000927929
53.5007	0.000914577
54.0007	0.000903133
54.5007	0.000893597
55.0007	0.000879291
55.5007	0.000869755
56.0007	0.000854496
56.5007	0.000840191
57.0007	0.000824932
57.5007	0.000807766
58.0007	0.000794414
58.5007	0.000780109
59.0007	0.000770573
59.5007	0.000755314
60.0007	0.00074387
60.5007	0.00072575
61.0007	0.000710491
61.5007	0.00068951
62.0007	0.000675205
62.5007	0.000659946
63.0006	0.000643734
63.5005	0.000627521
64.0005	0.000613216
64.5007	0.000598911
65.0007	0.000580791
65.5007	0.000568394
66.0006	0.000551227
66.5006	0.000534061
67.0006	0.000523571
67.5006	0.000508312
68.0006	0.000495914
68.5006	0.000481607
69.0006	0.000468256
69.5006	0.000456812
70.0006	0.000435831
70.5006	0.000420572
71.0006	0.000405313
71.5006	0.000391008
72.0006	0.000370027
72.5006	0.000358583
73.0006	0.000345232
73.5006	0.000327112
73.9995	0.000311853
74.5006	0.00030327
75.0006	0.000286104
75.5006	0.000275614
76.0006	0.000261309
76.5006	0.000245096
77.0006	0.000229836
77.5006	0.000219346
78.0006	0.000205041
78.5006	0.000190736
79.0005	0.000182153
79.5005	0.000166894
80.0005	0.000153542
80.5002	0.000141145
81.0005	0.000129701
81.5005	0.000117302
82.0005	0.000107766
82.5005	9.44E-05
83.0005	8.39E-05
83.5005	7.34E-05
84.0005	6.39E-05
84.5005	5.53E-05
85.0005	5.53E-05
85.5005	6.01E-05
86.0005	6.87E-05
86.5005	7.72E-05
87.0005	7.63E-05
87.5005	7.53E-05
88.0005	7.53E-05
88.5005	7.72E-05
89.0005	8.01E-05
89.5001	7.82E-05
90.0002	7.82E-05
90.5005	7.53E-05
91.0005	7.82E-05
91.5005	7.53E-05
92.0005	7.63E-05
92.5005	7.34E-05
93.0004	7.44E-05
93.5004	7.34E-05
94.0004	7.06E-05
94.5004	7.72E-05
95.0004	7.25E-05
95.5004	6.87E-05
96.0004	7.06E-05
96.5004	6.96E-05
97.0004	6.96E-05
97.5004	7.25E-05
98.0004	6.58E-05
98.5004	6.58E-05
99.0004	6.58E-05
99.5004	6.58E-05
100	6.58E-05
100.5	6.20E-05
101	6.01E-05
101.5	5.72E-05
102	6.01E-05
102.5	5.53E-05
103	5.72E-05
103.5	5.25E-05
104	5.05E-05
104.5	4.58E-05
105	4.39E-05
105.5	4.10E-05
106	3.91E-05
106.5	3.53E-05
107	3.53E-05
107.5	3.05E-05
108	3.15E-05
108.5	2.57E-05
109	2.29E-05
109.5	2.38E-05
110	2.86E-05
110.5	2.29E-05
111	2.00E-05
111.5	2.19E-05
112	2.38E-05
112.5	2.57E-05
113	2.57E-05
113.5	2.86E-05
114	2.67E-05
114.5	3.15E-05
115	3.15E-05
115.5	4.10E-05
116	4.86E-05
116.5	6.01E-05
117	6.58E-05
117.5	6.96E-05
118	7.34E-05
118.5	7.82E-05
119	8.11E-05
119.5	8.58E-05
120	8.96E-05
120.5	9.92E-05
121	0.000105858
121.5	0.000110627
122	0.000117302
122.5	0.000121117
123	0.000132562
123.5	0.000141145
124	0.000148774
124.5	0.000152589
125	0.000163079
125.5	0.00017357
126	0.000181199
126.5	0.000189782
127	0.000200273
127.5	0.000208856
128	0.000209809
128.5	0.000196458
129	0.000178338
129.5	0.000153542
130	0.000129701
130.5	9.73E-05
131	7.44E-05
131.5	5.91E-05
132	6.20E-05
132.5	5.72E-05
133	5.91E-05
133.5	5.34E-05
134	5.34E-05
134.5	5.15E-05
135	5.05E-05
135.5	5.34E-05
136	5.05E-05
136.5	5.34E-05
137	5.53E-05
137.5	5.91E-05
138	6.29E-05
138.5	6.68E-05
139	7.06E-05
139.5	7.44E-05
140	7.34E-05
140.5	7.92E-05
141	7.72E-05
141.5	7.92E-05
142	7.53E-05
142.5	7.06E-05
143	6.87E-05
143.5	6.58E-05
144	6.10E-05
144.5	5.82E-05
144.999	5.53E-05
145.5	5.05E-05
146	5.44E-05
146.5	5.15E-05
147	5.25E-05
147.5	4.86E-05
148	5.05E-05
148.5	5.05E-05
149	5.05E-05
149.5	5.34E-05
150	5.15E-05
150	4.96E-05
-33.9987	0.00226785
-33.4987	0.00219251
-32.9987	0.00212862
-32.4987	0.00208093
-31.9987	0.00202276
-31.4987	0.001956
-30.9987	0.0019064
-30.4987	0.0018673
-29.9987	0.00182439
-29.4987	0.00179578
-28.9987	0.0017624
-28.4987	0.00174237
-27.9987	0.00173283
-27.4988	0.00171185
-26.9987	0.0016985
-26.4987	0.00168134
-25.9987	0.00167084
-25.4987	0.00166226
-24.9988	0.00165368
-24.4988	0.00163365
-23.9988	0.00162698
-23.4988	0.00162793
-22.9988	0.00161744
-22.4988	0.00161649
-21.9988	0.00161362
-21.4988	0.00160981
-20.9988	0.00160886
-20.4988	0.00160027
-19.9988	0.00159646
-19.4988	0.00159646
-18.9988	0.00159646
-18.4988	0.0015936
-17.9988	0.00160123
-17.4988	0.00160123
-17	0.00160027
-16.4988	0.0015936
-15.9988	0.00159264
-15.4988	0.00159169
-14.9988	0.00159169
-14.4988	0.00158978
-13.9988	0.00159741
-13.4988	0.00159455
-12.9988	0.00159646
-12.4989	0.00159169
-11.9989	0.00158788
-11.4989	0.00158978
-10.9989	0.00158883
-10.4989	0.00159169
-9.99887	0.00159264
-9.49887	0.0015955
-8.99887	0.00159741
-8.49889	0.00159932
-7.99889	0.00159837
-7.49889	0.00160123
-6.9989	0.00160123
-6.4989	0.00160313
-5.99895	0.00160695
-5.4989	0.00160123
-4.9989	0.00160123
-4.49892	0.00159646
-3.99892	0.00159646
-3.49893	0.00160027
-2.99893	0.00159837
-2.49893	0.00159741
-1.99893	0.00159837
-1.49893	0.00160123
-0.998932	0.00159932
-0.498947	0.00160504
0.00105286	0.00160313
0.501038	0.00160313
1.00104	0.00160695
1.50104	0.00160123
2.00104	0.00159646
2.50104	0.00159169
3.00104	0.00159264
3.50102	0.00158788
4.00102	0.00158978
4.50101	0.00158692
5.00101	0.00158597
5.50101	0.00158788
6.00101	0.00158597
6.50101	0.00158883
7.001	0.00158883
7.501	0.00159646
8.00098	0.00159455
8.50098	0.00159646
9.00098	0.00159455
9.50098	0.00158883
10.001	0.00158311
10.501	0.00158025
11.001	0.00157834
11.501	0.00157166
12.001	0.00157548
12.5009	0.00157643
13.0009	0.00157166
13.5009	0.00157643
14.0009	0.00157166
14.5009	0.00156594
15.0009	0.00155736
15.5009	0.0015564
16.0009	0.00155164
16.5009	0.00155068
17.0009	0.00154782
17.5009	0.00154973
18.0009	0.00154782
18.5009	0.00153828
19.0009	0.00154019
19.5009	0.00153256
20.0009	0.00152303
20.5009	0.00152016
21.0009	0.00152303
21.5009	0.0015173
22.0009	0.00151635
22.5009	0.00150967
23.0009	0.001503
23.5009	0.00150014
24.0009	0.00149251
24.5009	0.00148392
25.0009	0.00148392
25.5008	0.00147439
26.0008	0.00147916
26.5008	0.00147057
27.0008	0.0014658
27.5008	0.00146294
28.0008	0.00146104
28.5001	0.00145722
29.0008	0.00144578
29.5008	0.00144387
30.0008	0.00143433
30.5008	0.00142384
31.0008	0.00142575
31.5008	0.00141335
32.0008	0.00140763
32.5008	0.00140191
33.0008	0.00139428
33.5008	0.00138379
34.0008	0.00137997
34.5008	0.00137044
35.0008	0.00136376
35.5008	0.00135422
36.0008	0.00134373
36.5008	0.00133706
37.0008	0.00132561
37.5008	0.00131512
38.0008	0.00130749
38.5007	0.00130273
39.0007	0.00129891
39.5007	0.00128842
40.0007	0.00128556
40.5007	0.00127507
41.0007	0.00126076
41.5007	0.00125695
42.0007	0.00124455
42.5007	0.00123978
43.0007	0.00123502
43.5007	0.00122071
44.0007	0.00121499
44.5007	0.00120354
45.0007	0.00119687
45.5007	0.00118256
46.0007	0.00117207
46.5007	0.00115681
47.0007	0.00114919
47.5007	0.00113583
48.0007	0.00112439
48.5007	0.00111199
49.0007	0.00110245
49.5007	0.00109387
50.0007	0.00108052
50.5007	0.00107194
50.999	0.0010624
51.5006	0.00105
52.0006	0.00104237
52.5006	0.00103379
53.0006	0.00102521
53.5006	0.00101376
54.0006	0.00100327
54.5006	0.00098706
55.0006	0.000983246
55.5006	0.000972752
56.0006	0.000954632
56.5006	0.000944141
57.0006	0.000929836
57.5006	0.000918392
57.9992	0.000906948
58.5006	0.000900272
